,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.9057739002311391,0.10251463765974801,1.7139104344744869,1.8376105328206926,1.9015590732996481,1.9694026491047218,2.1214636326215706,0.002441914758716814
a_std,0.45753677428217193,0.08662422467993094,0.3306448307838036,0.39640942765279125,0.44355899616626815,0.5039241888219856,0.666832000241406,0.0022262230273655467
a_subj.2,1.8544563150054183,0.07201453842773187,1.7147916877240197,1.805965968907889,1.8548346646131249,1.901969222327519,1.9974296029116974,0.002159867113623144
a_subj.3,1.6877610891427732,0.05527888153125648,1.583497850452303,1.6481413170439303,1.6856793503570142,1.7251571451765086,1.8008875293184856,0.0014637439644482602
a_subj.7,2.15620167354132,0.08577732201094498,1.9895902073117815,2.0991575427005262,2.1559861948359185,2.211904665929957,2.32965332477025,0.002709097016913181
a_subj.8,1.6951848720160438,0.0642001699399934,1.5746258365752883,1.6504694652927878,1.6945328928253804,1.7374949045528427,1.8245617998728396,0.002098763838064832
a_subj.9,2.054469606781397,0.07757762946635938,1.913280679440772,1.9996957205491301,2.0511276679276964,2.1057028191287968,2.2127284498423094,0.002573226532682691
a_subj.10,1.5907854167835083,0.05369278701748294,1.4880675581789535,1.5534551298643984,1.5888226465661641,1.6267620325148409,1.7020034569532827,0.0013445675657556117
a_subj.11,1.5854314704941377,0.07329654544957434,1.4491486853129012,1.533224745028974,1.5833413724655407,1.6351897689408084,1.733094405928326,0.002751140683013075
a_subj.12,1.938247706281325,0.07156972281954359,1.8028701897814936,1.8887236971446169,1.9367999856104552,1.9846480466379086,2.0839067282553345,0.002352302351660773
a_subj.13,1.0351011394089553,0.03770470497997636,0.9641100904660284,1.0090942186584344,1.035151094113748,1.060155563972049,1.1099677470160885,0.0009606735683301247
a_subj.15,1.69354771674289,0.0673930643617631,1.5642536192521437,1.6477503141162924,1.691661907916717,1.737928716930197,1.8321370733390705,0.0021506984123777846
a_subj.16,1.2895057137015407,0.05033663133669825,1.1837023581770647,1.2575374821503371,1.290167334078677,1.3239741543356058,1.383959047586271,0.0021125584359032706
a_subj.17,1.7318227450823491,0.06710531466561857,1.6089558103661816,1.6841036844055004,1.7296489882201191,1.7766154676702828,1.8644512491843486,0.0019199878515129166
a_subj.18,2.024269082436645,0.08424809722969667,1.861957512506204,1.9679993405873129,2.020571271965547,2.0812680187328136,2.1979661127288628,0.0029959275261052442
a_subj.19,2.2682455861843134,0.10620377782339815,2.077036057618138,2.191873659198404,2.263778596164458,2.3377231644228362,2.4905016249560434,0.003719647089506706
a_subj.20,2.2510436041048063,0.08581537463288902,2.0947915876924927,2.19051263760864,2.2501677957101873,2.306688655479024,2.433819649829415,0.002697334751650488
a_subj.21,2.672827381197707,0.11621316846492133,2.453234243824527,2.590889496623256,2.6690093925435265,2.7489071222730943,2.9096656350066556,0.004965339267129012
a_subj.22,2.407089598824766,0.1241805808777709,2.171613851006775,2.3226978526678432,2.4078056864834734,2.4909707549055065,2.6509674307458377,0.005615529160951371
a_subj.23,1.8291375301378345,0.06505278495289797,1.7095236253509993,1.7843937945484065,1.826586300162375,1.8705970095214581,1.9599190211778255,0.0021214071861188214
a_subj.24,1.445068475613538,0.04116966504117447,1.3681715542656736,1.416714764665535,1.443020265165038,1.4717420814406874,1.5304845549844348,0.0010527324818441367
