parameter,n,pearson_r,r2,p_value
z,20,-0.5199625479759492,0.27036105129764126,0.018773742865591282
t,20,0.4504964143485606,0.20294701934090997,0.046225642460304917
a(medium),20,0.2929884660810015,0.08584224125649816,0.2099694320453002
theta_InatWS,20,0.2874961344235833,0.08265402730850308,0.21903840583156928
a(high),20,0.27523796643359416,0.07575593816650031,0.2401941422997023
v_ES_InattentionW_S,20,0.2287813911194261,0.052340924922539826,0.33194073354728115
a(low),20,0.18068231703734655,0.03264609968998421,0.4458725741858225
v_ES_InattentionW_E,20,-0.14798700465258657,0.02190015354604468,0.5335161898960596
v_ES_AttentionW,20,0.11990863883322374,0.014378081666836491,0.6145830664737162
theta_InatWE,20,0.11245225611362274,0.012645509905043803,0.6369109039780321
