parameter,n,pearson_r,r2,p_value
t,20,0.5282703411517978,0.2790695533406369,0.016649018969713637
z,20,-0.49390827497568823,0.24394538408946007,0.026872696351306076
a(medium),20,0.45420087788952934,0.20629843747561916,0.04424463433323191
theta_InatWS,20,0.4517764851232243,0.20410199251029493,0.045533549891641
a(high),20,0.41039777438237207,0.16842633321800438,0.0722853095234962
v_ES_InattentionW_S,20,0.3469371814041954,0.12036540784068757,0.13396456860331846
a(low),20,0.32981891550354925,0.10878051702393736,0.1555715747862405
theta_InatWE,20,0.2705742206719846,0.07321040889225182,0.2485767324006681
v_ES_AttentionW,20,0.11923623147320386,0.014217278895931452,0.6165836031490386
v_ES_InattentionW_E,20,-0.017410897531897868,0.00030313935286624725,0.9419211902463624
