parameter,n,pearson_r,r2,p_value
v_ES_InattentionW_E,20,-0.2521167190098525,0.06356284000429292,0.2835653326737484
theta_InatWE,20,-0.19969879571078109,0.03987960900833628,0.3985987451074209
a(high),20,-0.09699651069980643,0.009408323087937664,0.6841459117967756
z,20,-0.09362132765246642,0.008764952991410474,0.6946205113905455
t,20,-0.0674527522331417,0.004549873783825604,0.777517260268294
a(medium),20,-0.061250622489901325,0.003751638755400406,0.7975463026770288
v_ES_InattentionW_S,20,-0.05818642223004008,0.003385659731932502,0.8074877437428454
theta_InatWS,20,-0.04038517544907221,0.001630962396052345,0.8657596651846773
a(low),20,-0.032947728457329406,0.001085552810497914,0.8903226715051002
v_ES_AttentionW,20,-0.0069841134595901,4.877784081642759e-05,0.9766867760667104
