parameter,n,pearson_r,r2,p_value
v_ES_InattentionW_E,20,0.48151087209428106,0.2318527199449951,0.03158626787367207
v_ES_AttentionW,20,-0.31989166415372966,0.10233067679504257,0.16915220269300987
t,20,0.21101806831619174,0.044528625155896964,0.3718285757886176
v_ES_InattentionW_S,20,-0.18526886062809794,0.03432455071843358,0.43421209651535053
theta_InatWE,20,0.07053813699160873,0.004975628770246959,0.7676026518195866
a(high),20,-0.0650287449102758,0.004228737664605721,0.7853299650011588
a(medium),20,-0.04526960557692508,0.0020493371890903667,0.849691132046952
a(low),20,-0.03184351370228865,0.0010140093649078448,0.893978220144825
z,20,0.010769233779670088,0.0001159763962011873,0.9640583475798912
theta_InatWS,20,-0.00875117026675272,7.658298103769687e-05,0.9707904420551307
