parameter,n,pearson_r,r2,p_value
theta_InatWS,20,-0.22260414694935038,0.049552606239047975,0.34551445471608055
a(medium),20,-0.17737459749527149,0.03146174783660957,0.454381869351533
a(low),20,-0.16303808702031386,0.026581417819243433,0.49221007814084006
v_ES_InattentionW_S,20,-0.16000731109530622,0.025602339603950103,0.500399471859623
z,20,0.15115639328179323,0.022848255229960146,0.5246871972585809
t,20,-0.13956363323308177,0.019478007721218167,0.5573090371686373
a(high),20,-0.11264090997749081,0.012687974600557188,0.6363421513784693
theta_InatWE,20,-0.10005141774690485,0.010010286193165666,0.6747128439646801
v_ES_InattentionW_E,20,0.08081284511970958,0.006530715936342169,0.734843344748723
v_ES_AttentionW,20,-0.06938813813173797,0.004814713713389149,0.7712940969105905
