draw,dwell_quintile,p_choose_s,draw_subject_sd,n_subjects,draw_subject_sem
0,E>>S,0.4549302212725597,0.10322589153705226,20,0.02308201105148691
0,E>S,0.4509034433346585,0.08620848129775534,20,0.01927680244188002
0,S~E,0.4396142751735205,0.08106867816670647,20,0.01812750752268087
0,S>E,0.5004495244894774,0.07254458173620079,20,0.01622146161614347
0,S>>E,0.5036144211149374,0.14294498028679786,20,0.03196346929636474
1,E>>S,0.4801984515075614,0.10357030055877288,20,0.02315902324995006
1,E>S,0.4595430633015206,0.08700808028946756,20,0.019455598211900904
1,S~E,0.45389191822608355,0.09813756159588538,20,0.021944225887447245
1,S>E,0.4593958539397063,0.09526549106438915,20,0.021302011392987295
1,S>>E,0.5112042338942168,0.14123598413410005,20,0.031581326139292945
2,E>>S,0.50876898513326,0.1402560047568534,20,0.0313621960888858
2,E>S,0.4622541275568225,0.10792195850215403,20,0.024132083547572777
2,S~E,0.4550261049991887,0.0883518629388269,20,0.019756077146996127
2,S>E,0.48063293967458354,0.07262628820183009,20,0.016239731737278305
2,S>>E,0.47938759895331995,0.11332974334640271,20,0.025341300999516096
3,E>>S,0.49048645171865657,0.11262399504062953,20,0.02518349088084468
3,E>S,0.45613439620306,0.08952726314681046,20,0.020018904623577992
3,S~E,0.44044744051221346,0.09485919841101181,20,0.021211161593816245
3,S>E,0.4950424662715352,0.11468157449342459,20,0.02564357963340034
3,S>>E,0.48815065234321764,0.11764492058782698,20,0.026306203964194565
4,E>>S,0.4704351615192614,0.10379588957940257,20,0.02320946648846062
4,E>S,0.47096895585099185,0.06439216493268277,20,0.014398525800785683
4,S~E,0.4355813204695336,0.08402455113006622,20,0.018788460810573483
4,S>E,0.4894163781269912,0.07077183758815414,20,0.015825063973968743
4,S>>E,0.5169242824136966,0.14328614717395954,20,0.03203975653150129
5,E>>S,0.4809925870712314,0.13012008348835674,20,0.02909573519179136
5,E>S,0.46840986334766,0.07325196526533505,20,0.016379637381874257
5,S~E,0.45933091433532314,0.08283725987933846,20,0.018522974416001682
5,S>E,0.4890043471381359,0.11067084064579681,20,0.024746752281104838
5,S>>E,0.49293087524975976,0.15034800622767994,20,0.0336188362206654
6,E>>S,0.5065305925373048,0.11975875147539221,20,0.02677887091994802
6,E>S,0.46858944383917595,0.10701063521401612,20,0.023928305465397277
6,S~E,0.4483961928764866,0.10929706805279395,20,0.02443956739074678
6,S>E,0.4852408066190109,0.08611896699979292,20,0.019256786436359807
6,S>>E,0.48277207659849397,0.113555582512063,20,0.02539180017215592
7,E>>S,0.5001377371546041,0.12529632969283847,20,0.028017111052441215
7,E>S,0.4642649373328508,0.1164838703165909,20,0.026046585231016717
7,S~E,0.43762530624308826,0.08716417665046083,20,0.019490502419323034
7,S>E,0.47842381484239677,0.09770444214591559,20,0.021847377434196267
7,S>>E,0.5016714899259437,0.10494931931752985,20,0.023467381218632857
8,E>>S,0.45013746650050096,0.14298483642046972,20,0.0319723813987858
8,E>S,0.4664250866750656,0.08854834810052993,20,0.01980001256480993
8,S~E,0.46025028282570385,0.09949787174030779,20,0.02224840048278835
8,S>E,0.485515971174876,0.09703586154183709,20,0.02169787826628053
8,S>>E,0.5011986398538711,0.08193435683125945,20,0.01832107915674204
9,E>>S,0.4949636485687517,0.11263340235811234,20,0.025185594420982428
9,E>S,0.4775383265513201,0.10644504073811431,20,0.023801834695815798
9,S~E,0.44502255902387056,0.08097739431765738,20,0.01810709583350871
9,S>E,0.49156107782858544,0.10648865027207638,20,0.023811586084056424
9,S>>E,0.49809582383323503,0.16294860177513562,20,0.03643641504077461
10,E>>S,0.4852599375820311,0.11130077555248603,20,0.024887610008380547
10,E>S,0.47656341374572325,0.09845821637441415,20,0.022015926475657293
10,S~E,0.44917588392351904,0.07992146022479459,20,0.01787098179236863
10,S>E,0.48735955966365135,0.10430841936659593,20,0.023324071632926404
10,S>>E,0.49386099881544715,0.11594839408211693,20,0.02592684910495478
11,E>>S,0.4635879742870343,0.11982352606120146,20,0.026793354957656407
11,E>S,0.49247862601570935,0.08348972430236301,20,0.01866886989627999
11,S~E,0.44405892498732136,0.11360440046403758,20,0.025402716198069667
11,S>E,0.48496487324161175,0.0777358378447674,20,0.017382261770880064
11,S>>E,0.5150089550305181,0.15279701672286244,20,0.03416645161514926
12,E>>S,0.49470579493529154,0.13391692817729153,20,0.029944735474238086
12,E>S,0.4766120481563368,0.09054505383874838,20,0.020246489540981964
12,S~E,0.44321166134823187,0.08448357255308891,20,0.018891101121074227
12,S>E,0.4721248726883623,0.0878262225122861,20,0.019638540374449405
12,S>>E,0.4918312177122798,0.14677309254950763,20,0.032819461220856695
13,E>>S,0.4852787838217111,0.12432763662833185,20,0.027800504698284274
13,E>S,0.4788715505731478,0.0980951499526376,20,0.021934742355713292
13,S~E,0.44882362426641265,0.11702042815043791,20,0.026166563210050914
13,S>E,0.4828813585661199,0.08796688345964673,20,0.019669993118457196
13,S>>E,0.4920342190039751,0.12423428597857518,20,0.027779630858424307
14,E>>S,0.4814264942450267,0.10606198786145074,20,0.02371618146869614
14,E>S,0.4686840627679875,0.08101283127609311,20,0.018115019778306523
14,S~E,0.4373188926427815,0.10038734090853467,20,0.022447291835192902
14,S>E,0.4833857326376709,0.07471691244538226,20,0.016707209529677476
14,S>>E,0.4973404734682022,0.1438829146071572,20,0.03217319778624009
15,E>>S,0.49517936517891475,0.10586952334786316,20,0.023673145095132315
15,E>S,0.45366954373672497,0.08225803152264381,20,0.01839345501799521
15,S~E,0.4324828238756532,0.0924931321672675,20,0.020682093097788255
15,S>E,0.48592913254372927,0.08571764315922357,20,0.019167047697509373
15,S>>E,0.4993141109430712,0.09739377921486353,20,0.021777911091004094
16,E>>S,0.4959796588069727,0.12413629588282889,20,0.027757719606903264
16,E>S,0.4690197178387338,0.09040887935670257,20,0.020216040001116438
