draw,subj_idx,dwell_quintile,subject_mean
0,1,E>>S,0.375
0,1,E>S,0.4
0,1,S~E,0.35185185185185186
0,1,S>E,0.49122807017543857
0,1,S>>E,0.2972972972972973
0,3,E>>S,0.5454545454545454
0,3,E>S,0.4146341463414634
0,3,S~E,0.5535714285714286
0,3,S>E,0.47540983606557374
0,3,S>>E,0.4788732394366197
0,4,E>>S,0.5064935064935064
0,4,E>S,0.4
0,4,S~E,0.4358974358974359
0,4,S>E,0.4875
0,4,S>>E,0.3790322580645161
0,5,E>>S,0.4230769230769231
0,5,E>S,0.48484848484848486
0,5,S~E,0.23529411764705882
0,5,S>E,0.3548387096774194
0,5,S>>E,0.4205607476635514
0,7,E>>S,0.49645390070921985
0,7,E>S,0.5471698113207547
0,7,S~E,0.37209302325581395
0,7,S>E,0.5098039215686274
0,7,S>>E,0.4782608695652174
0,8,E>>S,0.6153846153846154
0,8,E>S,0.4507042253521127
0,8,S~E,0.48148148148148145
0,8,S>E,0.53
0,8,S>>E,0.45454545454545453
0,10,E>>S,0.319672131147541
0,10,E>S,0.36
0,10,S~E,0.45714285714285713
0,10,S>E,0.5
0,10,S>>E,0.5714285714285714
0,11,E>>S,0.5652173913043478
0,11,E>S,0.5064935064935064
0,11,S~E,0.5346534653465347
0,11,S>E,0.46153846153846156
0,11,S>>E,0.5915492957746479
0,12,E>>S,0.5460992907801419
0,12,E>S,0.5
0,12,S~E,0.3783783783783784
0,12,S>E,0.425531914893617
0,12,S>>E,0.5384615384615384
0,13,E>>S,0.3939393939393939
0,13,E>S,0.4634146341463415
0,13,S~E,0.45161290322580644
0,13,S>E,0.5882352941176471
0,13,S>>E,0.53125
0,15,E>>S,0.5925925925925926
0,15,E>S,0.5316455696202531
0,15,S~E,0.46534653465346537
0,15,S>E,0.4177215189873418
0,15,S>>E,0.5540540540540541
0,16,E>>S,0.4744525547445255
0,16,E>S,0.5416666666666666
0,16,S~E,0.4262295081967213
0,16,S>E,0.4117647058823529
0,16,S>>E,0.32432432432432434
0,17,E>>S,0.42857142857142855
0,17,E>S,0.4411764705882353
0,17,S~E,0.48148148148148145
0,17,S>E,0.6060606060606061
0,17,S>>E,0.625
0,19,E>>S,0.3867924528301887
0,19,E>S,0.36363636363636365
0,19,S~E,0.34782608695652173
0,19,S>E,0.4946236559139785
0,19,S>>E,0.46808510638297873
0,21,E>>S,0.5932203389830508
0,21,E>S,0.625
0,21,S~E,0.55
0,21,S>E,0.5897435897435898
0,21,S>>E,0.4931506849315068
0,22,E>>S,0.4074074074074074
0,22,E>S,0.42857142857142855
0,22,S~E,0.4017094017094017
0,22,S>E,0.48314606741573035
0,22,S>>E,0.46511627906976744
0,23,E>>S,0.4418604651162791
0,23,E>S,0.4725274725274725
0,23,S~E,0.4158415841584158
0,23,S>E,0.5432098765432098
0,23,S>>E,0.5
0,24,E>>S,0.4444444444444444
0,24,E>S,0.4675324675324675
0,24,S~E,0.49333333333333335
0,24,S>E,0.5319148936170213
0,24,S>>E,0.42857142857142855
0,25,E>>S,0.2857142857142857
0,25,E>S,0.4
0,25,S~E,0.5555555555555556
0,25,S>E,0.6521739130434783
0,25,S>>E,1.0
0,27,E>>S,0.25675675675675674
0,27,E>S,0.21904761904761905
0,27,S~E,0.40298507462686567
0,27,S>E,0.45454545454545453
0,27,S>>E,0.4727272727272727
1,1,E>>S,0.3875
1,1,E>S,0.43157894736842106
1,1,S~E,0.35185185185185186
1,1,S>E,0.42105263157894735
1,1,S>>E,0.33783783783783783
1,3,E>>S,0.6363636363636364
1,3,E>S,0.4146341463414634
1,3,S~E,0.5446428571428571
1,3,S>E,0.5163934426229508
1,3,S>>E,0.4507042253521127
1,4,E>>S,0.45454545454545453
1,4,E>S,0.325
1,4,S~E,0.41025641025641024
1,4,S>E,0.425
1,4,S>>E,0.4112903225806452
1,5,E>>S,0.46153846153846156
1,5,E>S,0.48484848484848486
1,5,S~E,0.27941176470588236
1,5,S>E,0.3655913978494624
1,5,S>>E,0.5046728971962616
1,7,E>>S,0.46808510638297873
1,7,E>S,0.49056603773584906
1,7,S~E,0.3488372093023256
1,7,S>E,0.5490196078431373
1,7,S>>E,0.5797101449275363
1,8,E>>S,0.717948717948718
1,8,E>S,0.4507042253521127
1,8,S~E,0.4567901234567901
1,8,S>E,0.47
1,8,S>>E,0.5151515151515151
1,10,E>>S,0.319672131147541
1,10,E>S,0.32
1,10,S~E,0.5428571428571428
1,10,S>E,0.18181818181818182
1,10,S>>E,0.5
1,11,E>>S,0.5652173913043478
1,11,E>S,0.5454545454545454
1,11,S~E,0.48514851485148514
1,11,S>E,0.46153846153846156
1,11,S>>E,0.6056338028169014
1,12,E>>S,0.48226950354609927
1,12,E>S,0.5192307692307693
1,12,S~E,0.40540540540540543
1,12,S>E,0.425531914893617
1,12,S>>E,0.6025641025641025
1,13,E>>S,0.42424242424242425
1,13,E>S,0.43902439024390244
1,13,S~E,0.532258064516129
1,13,S>E,0.5764705882352941
1,13,S>>E,0.578125
1,15,E>>S,0.5555555555555556
1,15,E>S,0.5443037974683544
1,15,S~E,0.504950495049505
1,15,S>E,0.379746835443038
1,15,S>>E,0.5135135135135135
1,16,E>>S,0.48175182481751827
1,16,E>S,0.4861111111111111
1,16,S~E,0.4098360655737705
1,16,S>E,0.39215686274509803
1,16,S>>E,0.35135135135135137
1,17,E>>S,0.39285714285714285
1,17,E>S,0.6470588235294118
1,17,S~E,0.4074074074074074
1,17,S>E,0.6060606060606061
1,17,S>>E,0.5625
1,19,E>>S,0.39622641509433965
1,19,E>S,0.38636363636363635
1,19,S~E,0.3333333333333333
1,19,S>E,0.46236559139784944
1,19,S>>E,0.5319148936170213
1,21,E>>S,0.6101694915254238
1,21,E>S,0.5416666666666666
1,21,S~E,0.625
1,21,S>E,0.5641025641025641
1,21,S>>E,0.5
1,22,E>>S,0.48148148148148145
1,22,E>S,0.42857142857142855
1,22,S~E,0.39316239316239315
1,22,S>E,0.47191011235955055
1,22,S>>E,0.3953488372093023
1,23,E>>S,0.4418604651162791
1,23,E>S,0.45054945054945056
1,23,S~E,0.45544554455445546
1,23,S>E,0.5555555555555556
1,23,S>>E,0.4772727272727273
1,24,E>>S,0.4444444444444444
1,24,E>S,0.5194805194805194
1,24,S~E,0.5066666666666667
1,24,S>E,0.5106382978723404
1,24,S>>E,0.44285714285714284
1,25,E>>S,0.5714285714285714
1,25,E>S,0.48
1,25,S~E,0.6666666666666666
1,25,S>E,0.43478260869565216
1,25,S>>E,1.0
1,27,E>>S,0.3108108108108108
1,27,E>S,0.2857142857142857
1,27,S~E,0.417910447761194
1,27,S>E,0.41818181818181815
1,27,S>>E,0.36363636363636365
2,1,E>>S,0.45
2,1,E>S,0.43157894736842106
2,1,S~E,0.42592592592592593
2,1,S>E,0.45614035087719296
2,1,S>>E,0.32432432432432434
2,3,E>>S,0.6363636363636364
2,3,E>S,0.5365853658536586
2,3,S~E,0.5357142857142857
2,3,S>E,0.4426229508196721
2,3,S>>E,0.4788732394366197
2,4,E>>S,0.5064935064935064
2,4,E>S,0.35
2,4,S~E,0.4358974358974359
2,4,S>E,0.475
2,4,S>>E,0.3709677419354839
2,5,E>>S,0.34615384615384615
2,5,E>S,0.3939393939393939
2,5,S~E,0.29411764705882354
2,5,S>E,0.40860215053763443
2,5,S>>E,0.48598130841121495
2,7,E>>S,0.48936170212765956
2,7,E>S,0.49056603773584906
2,7,S~E,0.3953488372093023
2,7,S>E,0.49019607843137253
2,7,S>>E,0.5507246376811594
2,8,E>>S,0.6410256410256411
2,8,E>S,0.5070422535211268
2,8,S~E,0.4074074074074074
2,8,S>E,0.48
2,8,S>>E,0.48484848484848486
2,10,E>>S,0.22131147540983606
2,10,E>S,0.42
2,10,S~E,0.4
2,10,S>E,0.5909090909090909
2,10,S>>E,0.5714285714285714
2,11,E>>S,0.6521739130434783
2,11,E>S,0.5974025974025974
2,11,S~E,0.48514851485148514
2,11,S>E,0.4461538461538462
2,11,S>>E,0.49295774647887325
2,12,E>>S,0.5390070921985816
2,12,E>S,0.5192307692307693
2,12,S~E,0.4594594594594595
2,12,S>E,0.425531914893617
2,12,S>>E,0.48717948717948717
2,13,E>>S,0.3939393939393939
2,13,E>S,0.47560975609756095
2,13,S~E,0.532258064516129
2,13,S>E,0.5882352941176471
2,13,S>>E,0.59375
2,15,E>>S,0.7037037037037037
2,15,E>S,0.5063291139240507
2,15,S~E,0.44554455445544555
2,15,S>E,0.3924050632911392
2,15,S>>E,0.47297297297297297
2,16,E>>S,0.5328467153284672
2,16,E>S,0.4861111111111111
2,16,S~E,0.47540983606557374
2,16,S>E,0.4117647058823529
2,16,S>>E,0.24324324324324326
2,17,E>>S,0.5
2,17,E>S,0.6764705882352942
2,17,S~E,0.48148148148148145
2,17,S>E,0.5757575757575758
2,17,S>>E,0.5625
2,19,E>>S,0.4716981132075472
2,19,E>S,0.25
2,19,S~E,0.2608695652173913
2,19,S>E,0.46236559139784944
2,19,S>>E,0.44680851063829785
2,21,E>>S,0.7288135593220338
2,21,E>S,0.6041666666666666
2,21,S~E,0.675
2,21,S>E,0.4358974358974359
2,21,S>>E,0.4794520547945205
2,22,E>>S,0.4444444444444444
2,22,E>S,0.39285714285714285
2,22,S~E,0.42735042735042733
2,22,S>E,0.5168539325842697
2,22,S>>E,0.46511627906976744
2,23,E>>S,0.3953488372093023
2,23,E>S,0.4175824175824176
2,23,S~E,0.46534653465346537
2,23,S>E,0.6172839506172839
2,23,S>>E,0.4090909090909091
2,24,E>>S,0.5111111111111111
2,24,E>S,0.5324675324675324
2,24,S~E,0.48
2,24,S>E,0.46808510638297873
2,24,S>>E,0.4857142857142857
2,25,E>>S,0.7142857142857143
2,25,E>S,0.4
2,25,S~E,0.5555555555555556
2,25,S>E,0.5652173913043478
2,25,S>>E,0.8
2,27,E>>S,0.2972972972972973
2,27,E>S,0.2571428571428571
2,27,S~E,0.4626865671641791
2,27,S>E,0.36363636363636365
2,27,S>>E,0.38181818181818183
3,1,E>>S,0.4375
3,1,E>S,0.4421052631578947
3,1,S~E,0.35185185185185186
3,1,S>E,0.43859649122807015
3,1,S>>E,0.2972972972972973
3,3,E>>S,0.6363636363636364
3,3,E>S,0.43902439024390244
3,3,S~E,0.5357142857142857
3,3,S>E,0.47540983606557374
3,3,S>>E,0.5352112676056338
3,4,E>>S,0.4935064935064935
3,4,E>S,0.425
3,4,S~E,0.358974358974359
3,4,S>E,0.5125
3,4,S>>E,0.4112903225806452
3,5,E>>S,0.6153846153846154
3,5,E>S,0.4090909090909091
3,5,S~E,0.20588235294117646
3,5,S>E,0.3010752688172043
3,5,S>>E,0.42990654205607476
3,7,E>>S,0.48226950354609927
3,7,E>S,0.4339622641509434
3,7,S~E,0.32558139534883723
3,7,S>E,0.5098039215686274
3,7,S>>E,0.5797101449275363
3,8,E>>S,0.6666666666666666
3,8,E>S,0.4788732394366197
3,8,S~E,0.48148148148148145
3,8,S>E,0.48
3,8,S>>E,0.5
3,10,E>>S,0.3360655737704918
3,10,E>S,0.4
3,10,S~E,0.5142857142857142
3,10,S>E,0.45454545454545453
3,10,S>>E,0.42857142857142855
3,11,E>>S,0.6086956521739131
3,11,E>S,0.5714285714285714
3,11,S~E,0.44554455445544555
3,11,S>E,0.49230769230769234
3,11,S>>E,0.5633802816901409
3,12,E>>S,0.48226950354609927
3,12,E>S,0.4423076923076923
3,12,S~E,0.5135135135135135
3,12,S>E,0.48936170212765956
3,12,S>>E,0.5256410256410257
3,13,E>>S,0.3484848484848485
3,13,E>S,0.43902439024390244
3,13,S~E,0.5
3,13,S>E,0.611764705882353
3,13,S>>E,0.59375
3,15,E>>S,0.5925925925925926
3,15,E>S,0.45569620253164556
3,15,S~E,0.5148514851485149
3,15,S>E,0.46835443037974683
3,15,S>>E,0.4864864864864865
3,16,E>>S,0.49635036496350365
3,16,E>S,0.5
3,16,S~E,0.47540983606557374
3,16,S>E,0.29411764705882354
3,16,S>>E,0.35135135135135137
3,17,E>>S,0.39285714285714285
3,17,E>S,0.5294117647058824
3,17,S~E,0.5185185185185185
3,17,S>E,0.696969696969697
3,17,S>>E,0.6458333333333334
3,19,E>>S,0.44339622641509435
3,19,E>S,0.2727272727272727
3,19,S~E,0.34782608695652173
3,19,S>E,0.45161290322580644
3,19,S>>E,0.48936170212765956
3,21,E>>S,0.711864406779661
3,21,E>S,0.6666666666666666
3,21,S~E,0.5
3,21,S>E,0.6666666666666666
3,21,S>>E,0.4657534246575342
3,22,E>>S,0.48148148148148145
3,22,E>S,0.47619047619047616
3,22,S~E,0.42735042735042733
3,22,S>E,0.4044943820224719
3,22,S>>E,0.3023255813953488
3,23,E>>S,0.3953488372093023
3,23,E>S,0.4835164835164835
3,23,S~E,0.4752475247524752
3,23,S>E,0.5802469135802469
3,23,S>>E,0.5
3,24,E>>S,0.4222222222222222
3,24,E>S,0.4805194805194805
3,24,S~E,0.5333333333333333
3,24,S>E,0.5319148936170213
3,24,S>>E,0.45714285714285713
3,25,E>>S,0.42857142857142855
3,25,E>S,0.52
3,25,S~E,0.5
3,25,S>E,0.6956521739130435
3,25,S>>E,0.8
3,27,E>>S,0.33783783783783783
3,27,E>S,0.2571428571428571
3,27,S~E,0.2835820895522388
3,27,S>E,0.34545454545454546
3,27,S>>E,0.4
4,1,E>>S,0.3625
4,1,E>S,0.45263157894736844
4,1,S~E,0.3333333333333333
4,1,S>E,0.5263157894736842
4,1,S>>E,0.3108108108108108
4,3,E>>S,0.6363636363636364
