,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.860048384262561,0.11772572310578101,1.6430567333577986,1.7803562355427773,1.8549402148844572,1.932929057257245,2.104987551885255,0.0020114358815122094
a_std,0.5188132225765519,0.09767126187075309,0.36856759916543524,0.44996459557906243,0.5049864183839865,0.5725307092526083,0.7517773838768557,0.0019328093951293643
a_subj.1,2.3130375215326064,0.07427532933378275,2.1705546288577287,2.2628397478405495,2.311951806916996,2.362228676708147,2.460412022608044,0.0015846510394327679
a_subj.3,2.2534143887461116,0.07881373641489388,2.1073217180705237,2.197735562498876,2.25140170925218,2.3043641059615134,2.416630832892275,0.002072031549867793
a_subj.4,1.8290061967857725,0.05527780688735615,1.7209933243637547,1.7919728095408614,1.8285572368559329,1.8660732494221233,1.9394252122400744,0.001230121138566594
a_subj.5,2.0613404557251678,0.07569424154342766,1.9124543955716824,2.009607176860759,2.0623329064487836,2.1130313230636952,2.208152112128662,0.0017573805325368278
a_subj.7,2.116232465525232,0.07005237454508138,1.9814289688535593,2.068255136732183,2.114428644656647,2.1631843342340593,2.258910610064483,0.0018362108356907603
a_subj.8,1.9100041661419462,0.06817413439296387,1.7848826247478402,1.8620544877417657,1.9088192094100114,1.9558763863277098,2.0451685497855,0.0018256786995380966
a_subj.10,1.2070861864045703,0.040947322515418626,1.1297687228350342,1.1793328865119257,1.2062107497257004,1.2335261624463991,1.2923740130842263,0.0007508665672287942
a_subj.11,1.721937770855239,0.05416771707918971,1.620985160126059,1.6842661448918066,1.7212358247215662,1.7572153850211651,1.8343933595932516,0.0011374893462256202
a_subj.12,2.036840445107346,0.06162564689391102,1.918044011667772,1.9956470706897258,2.0355504573255807,2.0786343287698115,2.1587979320168476,0.0011536993364130903
a_subj.13,1.9432007939902292,0.0756873058995107,1.7971224360055114,1.8914844659955063,1.941984422540365,1.9928296075658507,2.094518625671245,0.0020205007447478577
a_subj.15,1.5550419961711621,0.045438426441171895,1.4669872126421235,1.5240139871342095,1.555016307992037,1.5858174032202272,1.6469334434481817,0.0009592576705982844
a_subj.16,3.2095281838147995,0.11796328047069995,2.9817465733109767,3.1291121877918604,3.2091923102730315,3.290500170073148,3.443070815615949,0.002765374363623477
a_subj.17,2.0023032650386114,0.08436443861515203,1.8420891046319348,1.945736616701464,2.0000960771150287,2.058079200839549,2.173855553285425,0.0018756729517858453
a_subj.19,1.7128785476428428,0.056125833322781676,1.6077920585896521,1.673668754689413,1.711284247592742,1.7496631152138837,1.829353939078796,0.0013781212005292095
a_subj.21,1.6402810619436827,0.04798583192226998,1.549238792186194,1.6072834884322276,1.639051877284644,1.6707099158389749,1.7392024296566557,0.001102198475568883
a_subj.22,1.3061184696058374,0.0396188569809166,1.232661229847955,1.2785886035555687,1.3049966550817595,1.332161387296483,1.3858663160731581,0.000804906926983774
a_subj.23,1.868251991713645,0.06586050179201891,1.7411775502642306,1.8251496791966502,1.8664040198176566,1.9119922428029212,1.9994856870633493,0.0016500305286318094
a_subj.24,2.0840400864781308,0.08561956923515583,1.92330911317225,2.0261769301157617,2.080819169014929,2.140480490652101,2.257490045488721,0.002213485206505589
a_subj.25,0.9737258355974562,0.06043811545838621,0.8626229362842536,0.930765286942461,0.9706932943942697,1.0134628870801452,1.0990566156379633,0.001428545249061641
a_subj.27,1.3012709441849355,0.038413876348994805,1.2295734269345564,1.2754103860065888,1.3001529372074634,1.3257777435878373,1.3816172751943256,0.0008195574972232554
t,0.423017410487413,0.02276260118853609,0.38034327603469326,0.40806419801773713,0.4218093358547752,0.43747080294374,0.4712778343270949,0.0004361801000625199
t_std,0.09908055439175352,0.01857231951043093,0.07061961313984194,0.08622778209390045,0.0964501738276185,0.10889874990484014,0.143481218416575,0.00036039016486852577
t_subj.1,0.4210636439932341,0.011167463651285707,0.3973154297292727,0.41402399427500236,0.4217125140187749,0.4289292250012484,0.44053647507247695,0.00024205066403605921
t_subj.3,0.3681823837405522,0.015170758409961748,0.33635085780989527,0.35839639985908045,0.36902004986089443,0.378605184126899,0.3955859766499891,0.0003662406938295639
t_subj.4,0.5378087963292423,0.012755159353041707,0.5126286168939579,0.5295199693713204,0.5374470710902827,0.5459252148669367,0.5629282090631555,0.0002881843263190835
t_subj.5,0.5352717026390713,0.020318090260511942,0.49913449216686673,0.5190773710229493,0.5338209420828529,0.552633427930941,0.5709031940686132,0.0005829553784363157
t_subj.7,0.49220516414809334,0.0149916997771801,0.4612818185324967,0.48270526522488605,0.4929547524417951,0.5024813097934389,0.5203840142174346,0.00037612951544189327
t_subj.8,0.4496241555391578,0.010609286998770319,0.42774038060488095,0.4426956306136134,0.45011729530971384,0.4570830439663758,0.46949216110934666,0.0002532729671845067
t_subj.10,0.24184107679191785,0.008484570921109146,0.22439078533911164,0.2363964556537679,0.24171446901349183,0.24749316257580595,0.2581617263259465,0.000167660074771443
t_subj.11,0.45894679393286203,0.010052626470777735,0.4399064524872648,0.4524763232681931,0.4589997785387311,0.46525084113286275,0.4796561795897052,0.00021792012657025585
t_subj.12,0.4640812943518149,0.012366526637847765,0.438974204657323,0.4564659259593389,0.4649539311166961,0.4725234667765814,0.4857712122142621,0.0002259612748371545
t_subj.13,0.40854414605216705,0.013219618262656609,0.3811126815222077,0.4000823497087882,0.4090072935534253,0.4176852248332547,0.43272918610241096,0.00032861343805907085
t_subj.15,0.46184081185667764,0.008828754506204137,0.4443239386616818,0.45610549190988,0.4619273454171115,0.4675227112272787,0.47969057875851673,0.00017950411994975283
t_subj.16,0.4677964656427788,0.03517124940717401,0.3977197919361308,0.4435922798837973,0.46976334942486764,0.4923637627168067,0.5329551206169305,0.000876617393499866
t_subj.17,0.47743904041969515,0.02135160123514684,0.43303639321343446,0.46469748740335237,0.4784845905871885,0.49080803217571195,0.5197859993556363,0.0004799284373145119
t_subj.19,0.4267428376791071,0.008005544320300925,0.40923882460823147,0.4217010446261274,0.4272103737264215,0.4323411382343895,0.440625776500304,0.00024412495118944976
