draw,subj_idx,rt_quintile,subject_mean
0,1,1,0.4878048780487805
0,1,2,0.6571428571428571
0,1,3,0.46153846153846156
0,1,4,0.4533333333333333
0,1,5,0.48623853211009177
0,3,1,0.4090909090909091
0,3,2,0.6031746031746031
0,3,3,0.4868421052631579
0,3,4,0.5529411764705883
0,3,5,0.4943820224719101
0,4,1,0.6
0,4,2,0.52
0,4,3,0.5454545454545454
0,4,4,0.5666666666666667
0,4,5,0.46153846153846156
0,5,1,0.2222222222222222
0,5,2,0.4406779661016949
0,5,3,0.5
0,5,4,0.46078431372549017
0,5,5,0.5384615384615384
0,7,1,0.5333333333333333
0,7,2,0.4528301886792453
0,7,3,0.5147058823529411
0,7,4,0.514018691588785
0,7,5,0.38596491228070173
0,8,1,0.5333333333333333
0,8,2,0.5340909090909091
0,8,3,0.4838709677419355
0,8,4,0.5
0,8,5,0.39622641509433965
0,10,1,0.40476190476190477
0,10,2,0.36363636363636365
0,10,3,0.5652173913043478
0,10,4,0.42857142857142855
0,10,5,0.4
0,11,1,0.54
0,11,2,0.4742268041237113
0,11,3,0.4444444444444444
0,11,4,0.5569620253164557
0,11,5,0.4716981132075472
0,12,1,0.5217391304347826
0,12,2,0.6612903225806451
0,12,3,0.6455696202531646
0,12,4,0.4939759036144578
0,12,5,0.49074074074074076
0,13,1,0.4411764705882353
0,13,2,0.5056179775280899
0,13,3,0.5512820512820513
0,13,4,0.5081967213114754
0,13,5,0.6349206349206349
0,15,1,0.41818181818181815
0,15,2,0.4845360824742268
0,15,3,0.48514851485148514
0,15,4,0.45454545454545453
0,15,5,0.5609756097560976
0,16,1,0.0
0,16,2,0.35714285714285715
0,16,3,0.5192307692307693
0,16,4,0.47368421052631576
0,16,5,0.46511627906976744
0,17,1,0.2857142857142857
0,17,2,0.43333333333333335
0,17,3,0.5348837209302325
0,17,4,0.5116279069767442
0,17,5,0.5957446808510638
0,19,1,0.5227272727272727
0,19,2,0.4606741573033708
0,19,3,0.4583333333333333
0,19,4,0.4918032786885246
0,19,5,0.5510204081632653
0,21,1,0.5
0,21,2,0.4852941176470588
0,21,3,0.4927536231884058
0,21,4,0.5166666666666667
0,21,5,0.5641025641025641
0,22,1,0.5178571428571429
0,22,2,0.5
0,22,3,0.45652173913043476
