stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.4491447770311546,0.46023370697905586,0.09895350465693012,0.00012296436738946194,0.009914760451279423,True,45.1425,0.11206202333455886
mean_ub,1.298915619056579,1.1296225205438215,0.37300313111067823,0.02866015320405019,0.1677914890224195,True,72.09,0.45386508689259353
std_ub,1.2189932323390413,0.6044069858353961,0.30060004317932115,0.3777162543914394,0.46807664035084856,True,95.0775,2.0445314644782586
10q_ub,0.5964964415425129,0.6118893819348513,0.14241074707351864,0.00023694261392208322,0.02051776349595997,True,35.0825,0.10808833398220921
30q_ub,0.7879833135234549,0.7597583985231071,0.2040071350371819,0.0007966458267768548,0.04241555697285588,True,59.5,0.13835258749750848
50q_ub,0.9839234238038445,0.9420969060756266,0.28510818868904325,0.0017494575852689247,0.08303613684281633,True,60.2525,0.1467040210964845
70q_ub,1.304866908578333,1.2267206662471593,0.41830927400778145,0.006106835190482547,0.18108948391139817,True,61.255,0.18681451066686167
90q_ub,2.172728005944464,1.8815312560842188,0.7401184042617928,0.0847955471291701,0.63257079945619,True,72.595,0.3934461677799917
mean_lb,-1.1460665406949277,-1.1096776938929458,0.3688855445375184,0.0013241481715781124,0.1374006931403193,True,42.81,0.09864535854231865
std_lb,1.0462113682817968,0.5914194445623637,0.29705187678958095,0.20683569388042267,0.2950755113846349,True,94.6225,1.5310185164781456
10q_lb,0.5342609590284155,0.6065770868374407,0.1414295172957275,0.005229622341291266,0.025231930703793697,True,24.3975,0.5113227365247454
30q_lb,0.690108523926392,0.7491386235620826,0.20294851647026588,0.003484552662999561,0.04467265300048144,True,29.875,0.2908624347807891
50q_lb,0.856033354754345,0.924904071732238,0.28212868826788656,0.004743175657049029,0.0843397724008069,True,34.31,0.24411100268009212
70q_lb,1.148608904188859,1.2012825831193477,0.4120178482395461,0.002774516452072208,0.17253322372001856,True,45.045,0.1278431969769046
90q_lb,1.9383356583141451,1.844350395208523,0.7310823633779643,0.008833229681033023,0.5433146517233494,True,59.300000000000004,0.12855632663789546
