draw,rt_quintile,p_choose_s,draw_subject_sd,n_subjects,draw_subject_sem
0,1,0.47987489015315754,0.1806839985163766,20,0.04040217031290892
0,2,0.447430560678346,0.1540064537645378,20,0.03443688995911849
0,3,0.5074038979344065,0.1171458559049844,19,0.026875102502337076
0,4,0.4230698051418374,0.1327503301736442,20,0.02968387623038099
0,5,0.47703647364780505,0.13529787954863562,19,0.031039462327781108
1,1,0.4242745619322804,0.1618535427146945,20,0.03619155239092227
1,2,0.43397679123747357,0.1516884015181196,20,0.03391855771927977
1,3,0.4685793545526519,0.13746049849353514,20,0.030737101885255202
1,4,0.453382241002358,0.1360135877014087,20,0.03041356279639792
1,5,0.5056484652496579,0.11921957499405923,19,0.02735084628899857
2,1,0.47847821023885173,0.1593942552820082,20,0.03564163900335252
2,2,0.4662965692791107,0.11698683818573406,20,0.02615905226560695
2,3,0.47691987761020344,0.11564487572937547,20,0.025858980338039912
2,4,0.4821900561273238,0.10777461866288335,19,0.024725193233165323
2,5,0.47047422619092744,0.11551016780418484,19,0.0264998499163088
3,1,0.4732753992878118,0.1817233562112472,20,0.040634577758775735
3,2,0.47008209678396284,0.14705571555754132,20,0.032882657646653574
3,3,0.4802014833032418,0.09447125817034083,20,0.02112441551888145
3,4,0.45222673355334775,0.1422095442560476,20,0.03179902080057872
3,5,0.47466954940658324,0.19441495276436124,20,0.04347250502235224
4,1,0.4547732308640935,0.1873960796351564,20,0.04190303727811737
4,2,0.44287629410584695,0.16096746700323344,20,0.035993419838518434
4,3,0.469576722195852,0.10057407607294071,20,0.022489047087333052
4,4,0.4660404795393059,0.1367866765142585,20,0.030586430710215596
4,5,0.4542640472281259,0.17819140671325576,20,0.03984480984171522
5,1,0.48361223526381136,0.1767293031331388,20,0.03951787354218649
5,2,0.45141257060447926,0.13968456732053156,20,0.03123441879363542
5,3,0.4585540344371912,0.13011884278544542,20,0.029095457762186402
5,4,0.48007745866342455,0.14634311065185562,20,0.03272331434563227
5,5,0.49092571749631275,0.08274838290949736,18,0.019503980895842203
6,1,0.42130053334451045,0.12808018078198205,20,0.028639599079897403
6,2,0.48308868519588666,0.10676952542131679,20,0.02387439167674562
6,3,0.48464301829478407,0.12154068117316415,20,0.027177322513482392
6,4,0.4746446170073792,0.08942477150686683,20,0.01999598679617405
