,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.8515286161484514,0.11480082709462208,1.6366241631223093,1.775780498075136,1.8477003113597397,1.9239176075570428,2.093496677314019,0.0015288528794548902
a_std,0.5123682563921488,0.09740209725762115,0.3621202746567792,0.44427729648566117,0.4978179208153879,0.5659848389403224,0.7402067508525881,0.0014995352675524715
a_subj.1,2.274284503154255,0.07703403464014594,2.1275895684233097,2.2217796665650593,2.2722977034600724,2.3252274004968725,2.430830277840048,0.0014859170583477015
a_subj.3,2.24834059837305,0.07673881610837494,2.105829045912222,2.1954718983466264,2.245813061404322,2.299497541007888,2.406208023652491,0.0014495462096831527
a_subj.4,1.823202909216969,0.057123043336655174,1.7153457267586412,1.7838660555827377,1.8218830866906923,1.8611362779846465,1.9364275492444452,0.0009369514415337836
a_subj.5,2.0622473035930025,0.0684194447234246,1.9328672933720699,2.015370510657906,2.0610893892759963,2.1075324944692153,2.1972113201343335,0.0011388768985777981
a_subj.7,2.102130917105886,0.07041088774682065,1.9710577789250399,2.053906965525267,2.0989648901578675,2.1494684108247113,2.245750725456437,0.00141207133035803
a_subj.8,1.8996438995434155,0.06523764861669817,1.7736508119657923,1.8548385034382815,1.8984418321628713,1.943394272912104,2.031763381597124,0.001257707380332464
a_subj.10,1.2143793376264351,0.040840196314652646,1.1380226556895228,1.1865417279578063,1.2138559900105959,1.2408922472428208,1.2978600400226725,0.0005595124140357165
a_subj.11,1.725395204158606,0.054581267847611935,1.618565669406206,1.6894922917553967,1.7241670572735484,1.7612549124236336,1.834028088294126,0.000914539098954771
a_subj.12,2.0578664071946027,0.0735549848084457,1.9268113245863987,2.006295707009866,2.053813230799803,2.103819850518826,2.215450802412221,0.0016298178358631725
a_subj.13,1.9220370871954768,0.07198184470243807,1.7864306768355873,1.8724358608134375,1.9203042177639127,1.9695982839624224,2.066932040892276,0.0014758067010768852
a_subj.15,1.5560204870621597,0.046213208606055274,1.4698803697244696,1.5239966561591416,1.5550763682754232,1.586502045004912,1.6516592558317336,0.0009138461937802451
a_subj.16,3.14902119007181,0.11448365418021197,2.9296573032703392,3.0724467984919546,3.1477582136449422,3.2242873367649127,3.377009073611704,0.0022307349596098766
a_subj.17,2.006431487442856,0.08498722722464593,1.8479503387877123,1.947501977516936,2.003236845797839,2.062885138575109,2.178908607161779,0.0013850721521567778
a_subj.19,1.7033084677465498,0.06229178030050194,1.588022216479295,1.6599090753553987,1.7016922930102019,1.7455577911693463,1.8311486741813026,0.0012087956079266872
a_subj.21,1.6559990403583298,0.050693155130641925,1.5617266804591645,1.6214112390329682,1.654398371374727,1.6890806802028406,1.7603111938238842,0.0009445092883807521
a_subj.22,1.3013547527620501,0.03955074003052775,1.226162987687225,1.273984215695129,1.3005253966634858,1.3274826531565256,1.3826849033671638,0.0006984248182911842
a_subj.23,1.8764239526127515,0.06709794450332549,1.7488338152196565,1.8312048178530633,1.8752451270522157,1.9203090763050203,2.0108730411780305,0.0014174568982469394
a_subj.24,2.0899515802717086,0.08697185878203867,1.9261133080656687,2.0297543974981047,2.0879250598928927,2.1451645402417463,2.2688620954559164,0.002118346645460167
a_subj.25,0.9692926355172906,0.05890745433518493,0.8601645685389319,0.9297591549398447,0.9674723894936866,1.007873190844684,1.0905214511808992,0.001035445441744554
a_subj.27,1.2669865551686312,0.035812911830600674,1.2003779422314018,1.2421844344758362,1.266286800714302,1.2907694397827978,1.340162979568523,0.0005770818384622522
t,0.40895200467555237,0.021539030027056583,0.3689294864230466,0.39448508633992996,0.40812454181299335,0.42228838171203664,0.4549041034818751,0.00025194611335378503
t_std,0.09440146541243737,0.017610162217897015,0.0671987058550525,0.08193583102436452,0.09163386070267368,0.10409777607883569,0.13530797456920407,0.00027128672179437864
t_subj.1,0.3812223186425854,0.013514208853867138,0.3528497660107297,0.3724959460663098,0.3819648482668033,0.39074531973864324,0.40556444201214253,0.00022770692222821262
t_subj.3,0.3662220375322583,0.015108776557424295,0.3346999477607117,0.3564046503354732,0.36674028256240393,0.37707645235863835,0.393656222130547,0.00030457652702195156
t_subj.4,0.5294790565323207,0.014357639111620775,0.49921320405549946,0.5204420948881201,0.5298876951461107,0.5395186153083457,0.5554145567428129,0.00023517028345313752
t_subj.5,0.49678563800684694,0.0158593198786721,0.46624551074128795,0.4866143153079329,0.49633479119284923,0.5067989263801486,0.5301091722431158,0.0002509622566557458
t_subj.7,0.49189849897824883,0.014628375243055824,0.460993264650859,0.4826505675559666,0.4927038970254393,0.5022307723673727,0.5174735858524578,0.0002954947796487483
t_subj.8,0.44803522216392705,0.010357491688782791,0.4265430218354003,0.44127838414780385,0.448434039949731,0.45530107135337095,0.46685355354696884,0.00018604294732711083
t_subj.10,0.23690021289787516,0.007333863043961436,0.22192970638760962,0.23190982343562153,0.2374189348163184,0.24201691672102568,0.2498840531691045,0.00010171135745988954
t_subj.11,0.4586696932664738,0.010919212712534855,0.43868065076298157,0.4515879337614716,0.45796316889356165,0.46501765424680064,0.482733704939621,0.00020178146754773596
t_subj.12,0.44648498539511844,0.027224124239944882,0.3868179050006193,0.4338000538143883,0.4535880671749753,0.46458743098934135,0.4869443080076199,0.000664219685497323
t_subj.13,0.4130489791866026,0.012258045049739309,0.38744270456784446,0.40509356789176293,0.41355114649316493,0.4218220674432103,0.4351801088273571,0.0002442401456302531
t_subj.15,0.46113803313174057,0.008400364743740351,0.4435126860152711,0.455788724214146,0.4614280837493154,0.46661570658489027,0.4766897359702341,0.0001503339048972068
t_subj.16,0.38114298276295366,0.03389098978786544,0.3137115074453267,0.3592659315204605,0.3812493847735032,0.40392577072085795,0.446648269234668,0.0006026123275366232
t_subj.17,0.4661670190039343,0.02216261801612821,0.41735319008839655,0.45307915704296436,0.46694215383498255,0.48031027671343035,0.5093650103429687,0.00036984657532007485
t_subj.19,0.39336351041695167,0.012939096458971563,0.3672148779616006,0.3842209208740854,0.3946312305811361,0.4030716637268851,0.4154712543789994,0.0002723708054512484
t_subj.21,0.34978878645745276,0.010208898977246325,0.3270513674670925,0.34379334738134354,0.35052333328673496,0.3566745628101491,0.36804755641596104,0.00018950965970398011
t_subj.22,0.322811840808823,0.0069772471012569184,0.3083511836269542,0.3183306704634898,0.32294405373648905,0.3276131401926078,0.3359190052036921,0.00011593708956561936
t_subj.23,0.4239674113877991,0.011884591549688238,0.399491766833867,0.41613024155124906,0.4245541737937214,0.4322065312902109,0.4455862853012854,0.00023263438579538298
t_subj.24,0.4163564035830465,0.012079971022310884,0.3894045202163825,0.40883967209704547,0.41734842185590176,0.4246062005395465,0.4375038489260422,0.00027289728220025554
t_subj.25,0.22328950901144332,0.0062583005310998295,0.20927884852950257,0.21949117869750953,0.22387107035227927,0.22775549184689584,0.23386659992787018,0.00010815956273927467
t_subj.27,0.4295530456815554,0.004463611186730714,0.4200092481699161,0.42682805945004854,0.4298615111685856,0.4326503996558923,0.4372979524139402,7.59172574094568e-05
v_ES_AttentionW,0.0306400557232229,0.002753862312699256,0.025123507994495642,0.028868463605967544,0.030662603570095343,0.03241061611282132,0.036065360253259786,3.7157677466669653e-05
v_ES_AttentionW_std,0.011856150303956208,0.0023198688339395365,0.008235530926478683,0.01019387377129169,0.011556718830187615,0.013170303055483983,0.017249670089356017,3.930794205737336e-05
v_ES_AttentionW_subj.1,0.03166145770959191,0.0024795341498927387,0.026801149698294287,0.02999543465819442,0.03165465997973193,0.03335694067497204,0.0365228208317192,4.2388708111161126e-05
v_ES_AttentionW_subj.3,0.03260462217978463,0.0026268345631766544,0.02747813916232062,0.030818245798147605,0.03256108031335073,0.03438223579232317,0.03780452471249306,4.085060519721543e-05
