rep,subj,parameter,true,recovered
0,1,a,1.910830862440905,1.8371425392038414
0,3,a,1.8111378881825697,1.6961479370002068
0,4,a,1.7763000932352797,1.7716796138239408
0,5,a,2.2342040306338204,2.2775018462457752
0,7,a,1.4976648761325677,1.4877533536306358
0,8,a,2.9461797320005605,2.876209317879648
0,10,a,1.6748590330501612,1.707346828592779
0,11,a,1.3639820863797953,1.3466446456438905
0,12,a,2.1217391692834275,2.020507750204612
0,13,a,1.4739671538094332,1.412995641190099
0,15,a,0.7905675884290156,0.7646471899817293
0,16,a,1.5425313619308008,1.5033060350960847
0,17,a,1.2208524694557183,1.149784181000983
0,19,a,2.0916846396106337,1.9806202363043064
0,21,a,1.065072304109254,1.0197403235734797
0,22,a,2.1141141287620844,1.9887108793161168
0,23,a,0.9935702403822627,0.9366329046785823
0,24,a,1.5382822135422107,1.5138306741990941
0,25,a,2.212705968638238,2.0826137474451225
0,27,a,1.7797375646718,1.7411736797337378
0,1,t,0.374259365597712,0.3872563015207843
0,3,t,0.41878364509245486,0.4343285522973945
0,4,t,0.5075861731948267,0.5092389047815619
0,5,t,0.4351673375118938,0.4438822518609024
0,7,t,0.41657564814729964,0.4125484318206068
0,8,t,0.4132362747487201,0.42330660125899056
0,10,t,0.3865526789504836,0.3901814630942219
0,11,t,0.45252122783006404,0.4495180120803655
0,12,t,0.4423961954566722,0.4458093409919463
0,13,t,0.3989352571905486,0.4007110300208928
0,15,t,0.417636770016055,0.42166476884551735
0,16,t,0.40979506733792315,0.41913922236336626
0,17,t,0.46882388293470517,0.46915064377558746
0,19,t,0.4192078874062044,0.43937344485381
0,21,t,0.46819710517965274,0.4691440348975316
0,22,t,0.4321799725726496,0.4440443714885881
0,23,t,0.3768885453565495,0.3792703696180495
0,24,t,0.4836104126205136,0.48011541201258484
0,25,t,0.33197471880707546,0.3726300995585829
0,27,t,0.40566458584709836,0.41345778406931455
0,1,z,0.6093594209777542,0.5906610184721671
0,3,z,0.474450408443334,0.46881396167754663
0,4,z,0.5596086370238542,0.5333763563731593
0,5,z,0.444899542610866,0.4522701666954502
0,7,z,0.5710026494819996,0.54711165244239
0,8,z,0.38733495952978997,0.36797367378453816
0,10,z,0.33243283283921843,0.3179656012627853
0,11,z,0.49792194916730315,0.4973350928326565
0,12,z,0.5282416284663953,0.514991502825592
0,13,z,0.42902527328309725,0.42639875194101423
0,15,z,0.5060221367854882,0.4917763509488735
0,16,z,0.6282659112278434,0.6154815353375903
0,17,z,0.5024479022123843,0.5008353067572958
0,19,z,0.5577212169872191,0.5659515052742543
0,21,z,0.3948677543579101,0.37935643107689215
0,22,z,0.4029744077762968,0.4158184946593964
0,23,z,0.547698504053342,0.5632643043756328
0,24,z,0.3132429371429817,0.33363746411990913
0,25,z,0.5537910479057465,0.5598515969223637
0,27,z,0.5183169998421363,0.5209776853642265
0,1,v_ES_AttentionW,0.045745978667225205,0.045020834886257854
0,3,v_ES_AttentionW,0.019923059275437183,0.02201259061487009
0,4,v_ES_AttentionW,0.019833097942924108,0.02274733490194024
0,5,v_ES_AttentionW,0.022401022267928276,0.027264530988369194
0,7,v_ES_AttentionW,0.037465858983468374,0.03917505276298186
0,8,v_ES_AttentionW,0.020488454083283772,0.020364142115424925
0,10,v_ES_AttentionW,0.04157119853196547,0.0445367678655089
0,11,v_ES_AttentionW,0.035352993044850144,0.03739592902646716
0,12,v_ES_AttentionW,0.04129326713944025,0.039820448929191204
0,13,v_ES_AttentionW,0.053727442276635874,0.052273985162699925
0,15,v_ES_AttentionW,0.04064444502076203,0.03996559676815554
0,16,v_ES_AttentionW,0.029450248206069847,0.03337735121141838
0,17,v_ES_AttentionW,0.04214553927563469,0.03527350440783586
0,19,v_ES_AttentionW,0.02267462070244942,0.025356145572156995
0,21,v_ES_AttentionW,0.03238437254763283,0.032261861197358035
0,22,v_ES_AttentionW,0.031056774376715036,0.03109749265662796
0,23,v_ES_AttentionW,0.01916814092539216,0.013593048825182122
0,24,v_ES_AttentionW,0.02924676940517799,0.0256591025133668
0,25,v_ES_AttentionW,0.03562721634991897,0.03627840650237556
0,27,v_ES_AttentionW,0.032519101811135265,0.033961029838768884
0,1,v_ES_InattentionW_E,-0.07079968596940983,-0.06689056946266234
0,3,v_ES_InattentionW_E,-0.016270871523416528,-0.01748751452029964
0,4,v_ES_InattentionW_E,-0.026108583387572472,-0.02553695058461444
0,5,v_ES_InattentionW_E,-0.009660151632618155,-0.011192867832381171
0,7,v_ES_InattentionW_E,-0.02526126540727471,-0.023112768629926804
0,8,v_ES_InattentionW_E,-0.021345678286018816,-0.020059727039779093
0,10,v_ES_InattentionW_E,-0.018893706891304457,-0.024115154423650642
0,11,v_ES_InattentionW_E,-0.01642439956479307,-0.01303059247545318
0,12,v_ES_InattentionW_E,-0.06128500927362106,-0.05706737949417289
0,13,v_ES_InattentionW_E,-0.04989303030509354,-0.04922434779630292
0,15,v_ES_InattentionW_E,-0.01951072431877487,-0.015418121258370268
0,16,v_ES_InattentionW_E,-0.05778896611288819,-0.056692003318805764
0,17,v_ES_InattentionW_E,-0.04144373558800988,-0.045665939016893205
0,19,v_ES_InattentionW_E,-0.0402069339261596,-0.04313578602974849
0,21,v_ES_InattentionW_E,-0.02395096230127387,-0.022408512452395366
0,22,v_ES_InattentionW_E,-0.06571944252560756,-0.06439618700751211
0,23,v_ES_InattentionW_E,-0.04049800594898817,-0.03844526417933759
0,24,v_ES_InattentionW_E,-0.05151498420310124,-0.05261584099286157
0,25,v_ES_InattentionW_E,-0.04465904288830098,-0.04591542831264432
0,27,v_ES_InattentionW_E,-0.0023540705684952402,-0.0026957642588610574
0,1,v_ES_InattentionW_S,0.014779021808347004,0.013089342620811517
0,3,v_ES_InattentionW_S,0.04477339274301213,0.04699215246029899
0,4,v_ES_InattentionW_S,0.019729558402706807,0.02166549903475532
0,5,v_ES_InattentionW_S,0.03132878775557291,0.036155892631256493
0,7,v_ES_InattentionW_S,0.0397698745989747,0.04159172311145265
0,8,v_ES_InattentionW_S,0.049837613187298284,0.05138279023685461
0,10,v_ES_InattentionW_S,0.04138978416077045,0.04430359462900392
0,11,v_ES_InattentionW_S,0.03678156571405651,0.03609754250307924
0,12,v_ES_InattentionW_S,0.028947350042376883,0.027288484072837956
0,13,v_ES_InattentionW_S,0.047520315223872345,0.04649920747522607
0,15,v_ES_InattentionW_S,0.044997709010939656,0.037183718042630994
0,16,v_ES_InattentionW_S,0.01721454470881223,0.020697427155962518
0,17,v_ES_InattentionW_S,0.03584342325325613,0.03330583332419022
0,19,v_ES_InattentionW_S,0.028052313257738867,0.02922061149029843
0,21,v_ES_InattentionW_S,0.039996424227248625,0.03870604946448389
0,22,v_ES_InattentionW_S,0.012689006031542889,0.013512103928710623
0,23,v_ES_InattentionW_S,0.0522928015932283,0.04277541743567869
0,24,v_ES_InattentionW_S,0.028668141018004068,0.027768183282191456
0,25,v_ES_InattentionW_S,0.012704214223291096,0.011345970739033926
0,27,v_ES_InattentionW_S,0.030105546504044327,0.03393050165009555
1,1,a,1.8700426829640824,1.8880565208878266
1,3,a,1.7565485891519441,1.6757831238090366
1,4,a,1.4710228398220475,1.421043597574166
1,5,a,1.5689682773843634,1.5579553183931185
1,7,a,0.7119732735818212,0.7297857817968295
1,8,a,2.025180617630364,2.1855827462944806
1,10,a,0.8450362861757438,0.8028786192347328
1,11,a,2.1685422104569123,2.149735987032129
1,12,a,2.0603586176097446,1.990293941393748
1,13,a,1.7036263262215454,1.6396495193254073
1,15,a,2.379921669365282,2.3378730471020415
1,16,a,1.9033914164347963,1.8501213215978962
1,17,a,2.1270865288718257,2.1862505632757174
1,19,a,0.3653495283940347,0.3534334404826331
1,21,a,1.736677634801459,1.748573591924973
