parameter,n,pearson_r,r2,p_value
t,20,0.3714740864514087,0.13799299690490868,0.10682437755260092
theta_InatWE,20,0.2906608573326885,0.08448373398537348,0.21378195965756652
v_ES_InattentionW_S,20,0.2324774714322972,0.054045774723554554,0.32397196936606565
z,20,-0.22319829851694517,0.04981748046085937,0.34419502702363686
v_ES_AttentionW,20,0.22264852353514553,0.04957236503238025,0.3454158063301165
theta_InatWS,20,0.14730811783312397,0.021699681579537538,0.5354162476008759
a(medium),20,0.1452720953410288,0.021103981684772965,0.5411332467283785
a(low),20,0.10676254084952469,0.011398240128646427,0.6541548752589275
v_ES_InattentionW_E,20,0.07631615708233128,0.005824155831815062,0.7491297647464426
a(high),20,0.03303040450105507,0.001091007621503319,0.8900490538628621
