parameter,n,pearson_r,r2,p_value
z,20,-0.43706584472948035,0.1910265526290942,0.05398412542687506
v_ES_InattentionW_E,20,-0.31844787585767,0.10140904963826199,0.17119284845132787
t,20,0.22056554745816886,0.048649160725521744,0.3500638999963335
theta_InatWE,20,-0.16349362754451222,0.026730166247663684,0.49098488010166885
a(low),20,-0.09737070045984417,0.009481053308040697,0.6829880162780149
v_ES_AttentionW,20,0.09238437099492698,0.008534872004128306,0.698472804842051
theta_InatWS,20,-0.03987982298216373,0.0015904002810887142,0.8674251530998747
a(medium),20,-0.03086285317843672,0.0009525157063137415,0.8972264661098552
v_ES_InattentionW_S,20,-0.011923566290691967,0.00014217143308852578,0.960208613250435
a(high),20,-0.0033330857171058603,1.1109460397575087e-05,0.9888729214404904
