parameter,n,pearson_r,r2,p_value
theta_InatWE,20,-0.4181288557584021,0.1748317400178306,0.06656144842365819
v_ES_InattentionW_S,20,-0.2627752614910942,0.06905083805171294,0.263007172720593
v_ES_InattentionW_E,20,-0.22276488647386639,0.04962419464571458,0.34515721143987765
theta_InatWS,20,-0.2224458041489439,0.04948213578347031,0.3458665817373171
v_ES_AttentionW,20,-0.18207909117566848,0.03315279544335739,0.44230438214375245
a(medium),20,-0.17667883187845346,0.03121540963393482,0.45618234347337994
t,20,-0.17233300091733478,0.02969866320517411,0.46751079622748626
a(high),20,-0.15181069071780526,0.023046485816217124,0.5228730743215306
a(low),20,-0.1480497589095487,0.02191873111317549,0.5333407116590083
z,20,-0.06955635715293604,0.004838086820386796,0.7707538237075175
