parameter,n,pearson_r,r2,p_value
v_ES_InattentionW_E,20,-0.26019480906918174,0.06770133866654794,0.26789566207522625
v_ES_AttentionW,20,0.1915958438144471,0.03670896736697001,0.41839481186311644
v_ES_InattentionW_S,20,0.17882257779165714,0.03197751432805327,0.45064661012606616
theta_InatWS,20,0.16939158884313463,0.028693510370801572,0.47525830009174147
z,20,-0.11150005228665014,0.012432261659925715,0.6397845816771807
a(low),20,0.10041503576077448,0.010083179406837619,0.6735931210724095
a(medium),20,0.07529786431302939,0.005669768370103384,0.7523761214604614
theta_InatWE,20,0.06703819326407075,0.004494119356110901,0.7788519714570366
t,20,0.05779220399443466,0.0033399388425343493,0.8087688380156182
a(high),20,-0.025393472242116553,0.0006448284325111438,0.9153702206789665
