parameter,n,pearson_r,r2,p_value
v_ES_InattentionW_E,20,0.35998512309132186,0.12958928884707416,0.11898604000416474
v_ES_AttentionW,20,-0.23421010492034483,0.05485437324679893,0.32027596444180606
v_ES_InattentionW_S,20,-0.17173057927676783,0.02949139185873424,0.46909230815205116
t,20,0.10106344810150858,0.010213820542166317,0.6715980451033912
theta_InatWS,20,-0.07757822087597606,0.0060183803542817275,0.7451118929959883
a(medium),20,-0.07463548319014919,0.005570455351027043,0.7544899726243361
a(high),20,-0.06538928041953908,0.0042757579937851165,0.7841666687245691
a(low),20,-0.06423920947012493,0.004126676033346589,0.7878789911788407
z,20,0.05564525797582334,0.003096394735195931,0.8157539329705793
theta_InatWE,20,0.0248852686855487,0.0006192765975519507,0.9170582839415042
