rep,subj,parameter,true,recovered
0,1,a(high),1.9785886967558408,1.5496794642812604
0,3,a(high),1.8062386349332062,1.7263050146277823
0,4,a(high),2.012914005931986,1.8964508690439066
0,5,a(high),1.5856394966064542,1.5885833867873664
0,7,a(high),1.5406568557559117,1.4016226387373427
0,8,a(high),2.2136667920675412,2.170947178453279
0,10,a(high),2.17917696690638,1.896473737572585
0,11,a(high),1.6677547223128681,1.7021563355285803
0,12,a(high),2.1964983806993144,2.1140281026663086
0,13,a(high),1.3223719058568144,1.349892133527257
0,15,a(high),2.060099571913106,1.9516335515577394
0,16,a(high),2.0729494680391083,1.7537567706502764
0,17,a(high),1.1062109122557255,1.1550308970756407
0,19,a(high),1.3147785371139333,1.3330683144583246
0,21,a(high),1.496750433237104,1.4701254956298397
0,22,a(high),1.2665984046512833,1.2373458205225982
0,23,a(high),1.4723056779681774,1.5037460398015992
0,24,a(high),1.9833042098450229,1.979891058664578
0,25,a(high),1.3794672994399586,1.4639726780304485
0,27,a(high),0.9175300162409964,0.981465327768781
0,1,a(low),1.313894891191398,1.1335461552530264
0,3,a(low),1.4141042964963013,1.363093488881005
0,4,a(low),1.3573694063254567,1.2745981495872214
0,5,a(low),1.6826176324561195,1.7021523436118378
0,7,a(low),1.43515564863527,1.3503347571930646
0,8,a(low),2.1625372545394335,1.951590520742139
0,10,a(low),1.9076048574967568,1.70133238307043
0,11,a(low),2.672743322753317,2.521953531099791
0,12,a(low),2.2966533584330877,2.1813167145876937
0,13,a(low),2.1378823957178597,1.9191444322812439
0,15,a(low),1.5165532184322006,1.54167689114763
0,16,a(low),2.110742382593388,1.904965860539351
0,17,a(low),1.3368042374181193,1.4539770806226764
0,19,a(low),1.7612541154527224,1.693463308484557
0,21,a(low),1.0962187923344224,1.1706834385986005
0,22,a(low),1.9674798746274202,1.898001140520068
0,23,a(low),1.374687412284907,1.3959449009892135
0,24,a(low),2.3206573490746996,2.0775878718372183
0,25,a(low),1.6487265214358435,1.5669914800067146
0,27,a(low),1.6106933795915883,1.5221922108789447
0,1,a(medium),2.2233686503942445,1.9087992909552105
0,3,a(medium),2.2924906558259672,2.126929310726194
0,4,a(medium),2.291982654795356,2.323378312030467
0,5,a(medium),2.106433482816228,2.1747241369150165
0,7,a(medium),2.151284968213859,2.0410682278885397
0,8,a(medium),1.4643418801942478,1.5167007201432448
0,10,a(medium),1.9760714381686426,1.8754582733940988
0,11,a(medium),1.3569594579177184,1.3238844635802944
0,12,a(medium),1.634154491445021,1.4335351568787145
0,13,a(medium),1.8974362041706998,1.8894316727871807
0,15,a(medium),1.6264735425807508,1.7454554954348336
0,16,a(medium),2.1777689187902323,1.9711860178051166
0,17,a(medium),2.035388031265015,1.8686574950807489
0,19,a(medium),1.3118288497670596,1.3469745192786402
0,21,a(medium),1.8597538648842185,1.9818086982549705
0,22,a(medium),1.9390181616372495,1.855242658977294
0,23,a(medium),1.6121309945130358,1.526011414420245
0,24,a(medium),2.891437698251358,2.5821888905894825
0,25,a(medium),1.4929739046599937,1.57922594467773
0,27,a(medium),1.7922586233785998,1.750432992226339
0,1,t,0.5021197470138822,0.5018239329098829
0,3,t,0.4888475641691416,0.48822876937934345
0,4,t,0.4213570259075622,0.41949413715882417
0,5,t,0.45522550335492484,0.44905216571271933
0,7,t,0.5174821422964301,0.5318037869205677
0,8,t,0.44435788223246653,0.4447051020422468
0,10,t,0.4769019304481853,0.4782293757951103
0,11,t,0.5043794643407749,0.5038215063137419
0,12,t,0.3877286042563594,0.4216254331383711
0,13,t,0.48172875164701956,0.47345122850530114
0,15,t,0.39430170816599736,0.39300669069955524
0,16,t,0.4173975706789171,0.4438924390770202
0,17,t,0.3515968504138825,0.35149457783192295
0,19,t,0.3977837777773554,0.4122710405048819
0,21,t,0.3822540616851376,0.37792381510247525
0,22,t,0.5362534583923401,0.5392637353693854
0,23,t,0.3131755207026395,0.3086743255706732
0,24,t,0.6630186908372458,0.6851563706551745
0,25,t,0.41394806870377054,0.3922311380455201
0,27,t,0.5695815309285314,0.5676677163754493
0,1,z,0.0967650336353284,0.11240161906256883
0,3,z,0.4683212252347834,0.48992930694335063
0,4,z,0.4221051492401726,0.4054730726373996
0,5,z,0.5321858930571747,0.5192840129259859
0,7,z,0.435168119835401,0.42456100734946084
0,8,z,0.477652214605114,0.4719566388284294
0,10,z,0.18774071203744985,0.20835117139452372
0,11,z,0.1461627859617527,0.15811712990541468
0,12,z,0.6142024968484472,0.6178186194816697
0,13,z,0.37745533835886436,0.3825108611937242
0,15,z,0.23587679087225674,0.2353268915850328
0,16,z,0.3781837515455774,0.3704726709095107
0,17,z,0.3864980413582289,0.3657993506750519
0,19,z,0.6109479875905909,0.6575258842979355
0,21,z,0.4990183744332312,0.4992928809713762
0,22,z,0.6099906875623663,0.597394496547001
0,23,z,0.5731567458887191,0.5651381957558853
0,24,z,0.5324947741312502,0.5316092369779404
0,25,z,0.6525182030808765,0.5992892891786771
0,27,z,0.4801553406742139,0.4757238045280091
0,1,v_ES_AttentionW,0.017965199220754513,0.01859912411028465
0,3,v_ES_AttentionW,0.04187753870525098,0.040379638509724806
0,4,v_ES_AttentionW,0.024080047885073907,0.028623785745604854
0,5,v_ES_AttentionW,0.03502280323429942,0.039223540898144484
0,7,v_ES_AttentionW,0.02251280658975587,0.025021649763617416
0,8,v_ES_AttentionW,0.03293482313034872,0.03639821926583086
0,10,v_ES_AttentionW,0.027635846900318527,0.028145387694282296
0,11,v_ES_AttentionW,0.027486100142061768,0.026600676903949235
0,12,v_ES_AttentionW,0.02889933850968104,0.029888494326113298
0,13,v_ES_AttentionW,0.032342788558736374,0.02840877468135885
0,15,v_ES_AttentionW,0.035575491861482275,0.04399774987698591
0,16,v_ES_AttentionW,0.02999766002474054,0.02598405914205097
0,17,v_ES_AttentionW,0.043570375882105196,0.03989948740864226
0,19,v_ES_AttentionW,0.013780615685198342,0.010849326065297338
0,21,v_ES_AttentionW,0.030997398287728482,0.03506729274664037
0,22,v_ES_AttentionW,0.03429492759203865,0.036723292256864465
0,23,v_ES_AttentionW,0.028595014681142075,0.030003095851583592
0,24,v_ES_AttentionW,0.021042470660910535,0.019670766059769307
0,25,v_ES_AttentionW,0.03232811170417443,0.03695913740048329
0,27,v_ES_AttentionW,0.04045523519485002,0.04358645396131656
