rep,subj,parameter,true
0,1,a(high),1.8152449064257496
0,1,a(low),1.8713790530023318
0,1,a(medium),1.8210887949966954
0,1,t,0.45027394057775616
0,1,z,0.2645863590801095
0,1,v_ES_AttentionW,0.03816886420109016
0,1,v_ES_InattentionW_E,-0.025886305249094514
0,1,v_ES_InattentionW_S,-0.009428583984812982
0,3,a(high),1.8152449064257496
0,3,a(low),1.8713790530023318
0,3,a(medium),1.8210887949966954
0,3,t,0.31925065041776846
0,3,z,0.47970696081031733
0,3,v_ES_AttentionW,0.027669594213377155
0,3,v_ES_InattentionW_E,-0.03412520672523882
0,3,v_ES_InattentionW_S,0.01320694991100584
0,4,a(high),1.8152449064257496
0,4,a(low),1.8713790530023318
0,4,a(medium),1.8210887949966954
0,4,t,0.49713232729430445
0,4,z,0.5994321109413957
0,4,v_ES_AttentionW,0.03143223961769934
0,4,v_ES_InattentionW_E,-0.024279804269989567
0,4,v_ES_InattentionW_S,0.040430689625440094
0,5,a(high),1.8152449064257496
0,5,a(low),1.8713790530023318
0,5,a(medium),1.8210887949966954
0,5,t,0.3553628172831837
0,5,z,0.5240841644809402
0,5,v_ES_AttentionW,0.021344207275766615
0,5,v_ES_InattentionW_E,-0.026420849627663813
0,5,v_ES_InattentionW_S,0.029763552619227623
0,7,a(high),1.8152449064257496
0,7,a(low),1.8713790530023318
0,7,a(medium),1.8210887949966954
0,7,t,0.41035456431541806
0,7,z,0.3307264621298606
0,7,v_ES_AttentionW,0.04281556030410287
0,7,v_ES_InattentionW_E,-0.03531046946282132
0,7,v_ES_InattentionW_S,0.021962644187352373
0,8,a(high),1.8152449064257496
0,8,a(low),1.8713790530023318
0,8,a(medium),1.8210887949966954
0,8,t,0.3967155900063256
0,8,z,0.5542126482205757
0,8,v_ES_AttentionW,0.03437931009932777
0,8,v_ES_InattentionW_E,-0.030428724010752202
0,8,v_ES_InattentionW_S,0.039674344674456144
0,10,a(high),1.8152449064257496
0,10,a(low),1.8713790530023318
0,10,a(medium),1.8210887949966954
0,10,t,0.6000537600611404
0,10,z,0.3812937605342658
0,10,v_ES_AttentionW,0.025740401059731445
0,10,v_ES_InattentionW_E,-0.040983786532274115
0,10,v_ES_InattentionW_S,0.043491460375445865
0,11,a(high),1.8152449064257496
0,11,a(low),1.8713790530023318
0,11,a(medium),1.8210887949966954
0,11,t,0.5174821422964301
0,11,z,0.435168119835401
0,11,v_ES_AttentionW,0.02251280658975587
0,11,v_ES_InattentionW_E,-0.04107594165855347
0,11,v_ES_InattentionW_S,0.044205028898364626
0,12,a(high),1.8152449064257496
0,12,a(low),1.8713790530023318
0,12,a(medium),1.8210887949966954
0,12,t,0.4860314205907154
0,12,z,0.5562103805070595
0,12,v_ES_AttentionW,0.02423182249446796
0,12,v_ES_InattentionW_E,-0.03198268482780077
0,12,v_ES_InattentionW_S,0.03319832061060902
0,13,a(high),1.8152449064257496
0,13,a(low),1.8713790530023318
0,13,a(medium),1.8210887949966954
0,13,t,0.4432593417620383
0,13,z,0.6166806048243259
0,13,v_ES_AttentionW,0.032983121353246964
0,13,v_ES_InattentionW_E,-0.028138023356139446
0,13,v_ES_InattentionW_S,0.03218596531298243
0,15,a(high),1.8152449064257496
0,15,a(low),1.8713790530023318
0,15,a(medium),1.8210887949966954
0,15,t,0.4490021353421543
0,15,z,0.5724452084497035
0,15,v_ES_AttentionW,0.016439795988924116
0,15,v_ES_InattentionW_E,-0.036731646585906295
0,15,v_ES_InattentionW_S,0.021095872969265232
0,16,a(high),1.8152449064257496
0,16,a(low),1.8713790530023318
0,16,a(medium),1.8210887949966954
0,16,t,0.3733350055683486
0,16,z,0.40547502750038145
0,16,v_ES_AttentionW,0.04549674293432796
0,16,v_ES_InattentionW_E,-0.0414317907246777
0,16,v_ES_InattentionW_S,0.050754245335376175
0,17,a(high),1.8152449064257496
0,17,a(low),1.8713790530023318
0,17,a(medium),1.8210887949966954
0,17,t,0.2882098905858633
0,17,z,0.3944700328182543
0,17,v_ES_AttentionW,0.03238426002128138
0,17,v_ES_InattentionW_E,-0.028935705774748473
0,17,v_ES_InattentionW_S,0.04545501904125234
0,19,a(high),1.8152449064257496
0,19,a(low),1.8713790530023318
0,19,a(medium),1.8210887949966954
0,19,t,0.4901159137147147
0,19,z,0.39192061019907554
0,19,v_ES_AttentionW,0.026231468334234898
0,19,v_ES_InattentionW_E,-0.02659704843960573
0,19,v_ES_InattentionW_S,0.02684897944064232
0,21,a(high),1.8152449064257496
0,21,a(low),1.8713790530023318
0,21,a(medium),1.8210887949966954
0,21,t,0.32141085419260335
0,21,z,0.24739934123318125
0,21,v_ES_AttentionW,0.021732312583655627
0,21,v_ES_InattentionW_E,-0.029702152191031794
0,21,v_ES_InattentionW_S,0.03372895961398597
0,22,a(high),1.8152449064257496
0,22,a(low),1.8713790530023318
0,22,a(medium),1.8210887949966954
0,22,t,0.48172875164701956
0,22,z,0.37745533835886436
0,22,v_ES_AttentionW,0.032342788558736374
0,22,v_ES_InattentionW_E,-0.028596912009503112
0,22,v_ES_InattentionW_S,0.024415491443216548
0,23,a(high),1.8152449064257496
0,23,a(low),1.8713790530023318
0,23,a(medium),1.8210887949966954
0,23,t,0.4626724734372729
0,23,z,0.3342270450959033
0,23,v_ES_AttentionW,0.027208839681950415
0,23,v_ES_InattentionW_E,-0.037265780145477746
0,23,v_ES_InattentionW_S,0.006140077550977716
0,24,a(high),1.8152449064257496
0,24,a(low),1.8713790530023318
0,24,a(medium),1.8210887949966954
0,24,t,0.4651346991924764
0,24,z,0.36969110029552993
0,24,v_ES_AttentionW,0.03090528895797295
0,24,v_ES_InattentionW_E,-0.029843408563377673
0,24,v_ES_InattentionW_S,0.03999821624480014
0,25,a(high),1.8152449064257496
0,25,a(low),1.8713790530023318
0,25,a(medium),1.8210887949966954
0,25,t,0.479682125421314
0,25,z,0.43801631229941473
0,25,v_ES_AttentionW,0.026615864532608523
0,25,v_ES_InattentionW_E,-0.03466665845052339
0,25,v_ES_InattentionW_S,-0.003992286281134228
0,27,a(high),1.8152449064257496
0,27,a(low),1.8713790530023318
0,27,a(medium),1.8210887949966954
0,27,t,0.30743309217626524
0,27,z,0.21250838905657793
0,27,v_ES_AttentionW,0.020966595275744834
0,27,v_ES_InattentionW_E,-0.030540241309588535
0,27,v_ES_InattentionW_S,0.012125978545919791
1,1,a(high),1.7851134419243755
1,1,a(low),1.7321083460779947
1,1,a(medium),1.9112496994347328
1,1,t,0.44121827502881755
1,1,z,0.5908251188667558
1,1,v_ES_AttentionW,0.02365522099520924
1,1,v_ES_InattentionW_E,-0.04240825527552824
1,1,v_ES_InattentionW_S,0.002349717599809755
1,3,a(high),1.7851134419243755
1,3,a(low),1.7321083460779947
1,3,a(medium),1.9112496994347328
1,3,t,0.5285213773232968
1,3,z,0.4609255549207417
1,3,v_ES_AttentionW,0.031465471935795436
1,3,v_ES_InattentionW_E,-0.04113506854336655
1,3,v_ES_InattentionW_S,0.04801737171788825
1,4,a(high),1.7851134419243755
1,4,a(low),1.7321083460779947
1,4,a(medium),1.9112496994347328
1,4,t,0.5251100681007336
1,4,z,0.4337326999176942
1,4,v_ES_AttentionW,0.02394804268953346
1,4,v_ES_InattentionW_E,-0.03678956581058925
1,4,v_ES_InattentionW_S,0.01928120622402335
1,5,a(high),1.7851134419243755
1,5,a(low),1.7321083460779947
1,5,a(medium),1.9112496994347328
1,5,t,0.4150936786299188
1,5,z,0.33666088038350567
1,5,v_ES_AttentionW,0.03521445187735405
1,5,v_ES_InattentionW_E,-0.036817835172531635
1,5,v_ES_InattentionW_S,0.025590977719530103
1,7,a(high),1.7851134419243755
1,7,a(low),1.7321083460779947
1,7,a(medium),1.9112496994347328
1,7,t,0.596409332558236
1,7,z,0.315148742446292
1,7,v_ES_AttentionW,0.013958436001179466
1,7,v_ES_InattentionW_E,-0.029431011572559528
1,7,v_ES_InattentionW_S,0.0011289619969924586
1,8,a(high),1.7851134419243755
1,8,a(low),1.7321083460779947
1,8,a(medium),1.9112496994347328
1,8,t,0.443636610556109
1,8,z,0.6504301036374962
1,8,v_ES_AttentionW,0.030126851920573836
1,8,v_ES_InattentionW_E,-0.033064348582288246
1,8,v_ES_InattentionW_S,0.0015157649159760617
1,10,a(high),1.7851134419243755
1,10,a(low),1.7321083460779947
1,10,a(medium),1.9112496994347328
1,10,t,0.4785539699205067
1,10,z,0.5354726277198786
1,10,v_ES_AttentionW,0.017866401910647166
1,10,v_ES_InattentionW_E,-0.013684362247897736
1,10,v_ES_InattentionW_S,0.0132449837792987
1,11,a(high),1.7851134419243755
1,11,a(low),1.7321083460779947
1,11,a(medium),1.9112496994347328
1,11,t,0.21035388383692938
1,11,z,0.10202631563092468
