,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(0),1.6217644018408475,0.09945572877199049,1.430676409141274,1.5543245043299205,1.6202763372743312,1.6876188250518047,1.8224777318188932,0.0010894822533150804
a(1),1.6022778968938958,0.10102354698123056,1.4049703253095633,1.534266019423773,1.6014395396237513,1.6689909595192798,1.8032990616190185,0.0012944804022296153
a(2),1.7785065247160026,0.10393402548792881,1.57652752685168,1.7092631376490848,1.7769873590333563,1.847351484126504,1.9855127934253045,0.0011431923345809965
a(3),1.6307004144500703,0.09974355067290301,1.4376936467262176,1.5624387388432879,1.6298462578102504,1.6965234551724713,1.8292242536921095,0.001345605281258514
a_std,0.41466505724617814,0.049013744828821496,0.3278649241443873,0.38046409200509335,0.4114235562821898,0.4452155940054165,0.5194264950425157,0.0007614495522806349
a_subj(0).1,1.5499786027636777,0.14688309401465757,1.28349785712471,1.447479386555202,1.5429328892063616,1.6443399459352308,1.8574306174051118,0.0016976841383290475
a_subj(0).3,1.3253841460036486,0.15108709480610386,1.0493319828300565,1.220650724476319,1.3177875106270935,1.423749767764361,1.6438031381818103,0.002391785745174445
a_subj(0).4,1.498754491480896,0.177021420902226,1.1946377560185097,1.3728897572656358,1.483691555150364,1.6093660920401516,1.8857454727461218,0.002669366577916827
a_subj(0).5,1.838931022721441,0.16246515526396638,1.5423416140707702,1.7253260198298674,1.8307299037839007,1.943613343511554,2.1808002078483266,0.0020364212457283227
a_subj(0).7,1.41941981658719,0.14250369147847772,1.1681220026138157,1.3184669903926625,1.4103489892546959,1.5100793145872524,1.7240612012827095,0.0018700183031906189
a_subj(0).8,2.7431881575974035,0.2925473266428291,2.2126110942923014,2.5384541644027516,2.7275134249843176,2.9289971449403476,3.3582480203479737,0.0038625689569298993
a_subj(0).10,1.0488542683381732,0.10341435781309814,0.8594248958756833,0.975912550830946,1.0454770852804258,1.1175195461127807,1.2624581001524082,0.0009285229754328113
a_subj(0).11,1.6658624141216738,0.1545035837301751,1.3882874017859346,1.5579083817231754,1.658384619884762,1.7644686769917146,1.9910442701854951,0.001836155462455049
a_subj(0).12,1.4736546450333516,0.1556326486806027,1.1953116045553378,1.3651217117448706,1.4634211498829797,1.571641630298495,1.8025382022898646,0.0024115374758575344
a_subj(0).13,1.2635190315556692,0.12154144978099203,1.0467490813154092,1.1778863072356867,1.2565876361852364,1.342430458156216,1.518976765170288,0.0013135898539105256
a_subj(0).15,1.2139702695149288,0.15023072834281398,0.9563629258917845,1.1059998117181375,1.2030903542339895,1.309392269099276,1.537358417276792,0.0031266525332950233
a_subj(0).16,1.85756945932678,0.18713683142841964,1.512796261851283,1.7282761978110637,1.8502114666261011,1.9771106693941898,2.2475948785561997,0.003146822449477382
