,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,std,2.5q,25q,50q,75q,97.5q
a,1.208,0.054,1.112,1.318,0.001,0.0,8756.0,8750.0,1.0,,,,,,
a_std,0.231,0.047,0.154,0.319,0.001,0.0,6087.0,7323.0,1.0,,,,,,
a_subj.1,1.193,0.049,1.103,1.287,0.001,0.0,6932.0,8624.0,1.0,,,,,,
a_subj.3,0.892,0.055,0.788,0.996,0.001,0.001,3699.0,4900.0,1.0,,,,,,
a_subj.4,1.139,0.06,1.03,1.252,0.001,0.001,5535.0,7892.0,1.0,,,,,,
a_subj.5,1.356,0.074,1.223,1.497,0.001,0.001,4315.0,6387.0,1.0,,,,,,
a_subj.7,1.097,0.049,1.004,1.19,0.001,0.0,6740.0,7549.0,1.0,,,,,,
a_subj.8,1.209,0.052,1.112,1.307,0.001,0.0,7533.0,8946.0,1.0,,,,,,
a_subj.10,1.002,0.055,0.9,1.108,0.001,0.001,5899.0,8089.0,1.0,,,,,,
a_subj.11,1.212,0.057,1.104,1.319,0.001,0.001,5897.0,7874.0,1.0,,,,,,
a_subj.12,1.074,0.051,0.976,1.166,0.001,0.0,5870.0,8067.0,1.0,,,,,,
a_subj.13,1.002,0.062,0.889,1.122,0.001,0.001,3927.0,6583.0,1.0,,,,,,
a_subj.15,1.166,0.067,1.04,1.29,0.001,0.001,3679.0,6530.0,1.0,,,,,,
a_subj.16,1.583,0.083,1.433,1.741,0.001,0.001,4250.0,6172.0,1.0,,,,,,
a_subj.17,1.547,0.114,1.339,1.764,0.001,0.001,5911.0,8503.0,1.0,,,,,,
a_subj.19,1.141,0.052,1.049,1.246,0.001,0.0,5659.0,7696.0,1.0,,,,,,
a_subj.21,1.214,0.073,1.083,1.357,0.001,0.001,7007.0,8049.0,1.0,,,,,,
a_subj.22,1.085,0.047,0.997,1.174,0.001,0.0,6562.0,9119.0,1.0,,,,,,
a_subj.23,1.394,0.071,1.257,1.524,0.001,0.001,4897.0,6836.0,1.0,,,,,,
a_subj.24,1.683,0.08,1.528,1.832,0.001,0.001,5409.0,7497.0,1.0,,,,,,
a_subj.25,0.975,0.085,0.819,1.136,0.001,0.001,7053.0,8469.0,1.0,,,,,,
a_subj.27,1.056,0.049,0.963,1.146,0.001,0.0,7174.0,8256.0,1.0,,,,,,
v,4.6,0.491,3.679,5.533,0.008,0.006,3388.0,6632.0,1.0,,,,,,
v_std,1.732,0.422,0.98,2.518,0.009,0.006,2196.0,3963.0,1.0,,,,,,
v_subj.1,4.342,0.83,2.835,5.904,0.014,0.01,3747.0,5562.0,1.0,,,,,,
v_subj.3,4.527,0.999,2.696,6.403,0.016,0.012,3706.0,6743.0,1.0,,,,,,
v_subj.4,6.509,0.951,4.79,8.316,0.018,0.012,2920.0,5933.0,1.0,,,,,,
v_subj.5,3.542,0.412,2.779,4.318,0.006,0.004,5106.0,7407.0,1.0,,,,,,
v_subj.7,3.199,0.595,2.109,4.331,0.006,0.004,9200.0,10665.0,1.0,,,,,,
v_subj.8,3.522,0.689,2.253,4.831,0.01,0.007,4894.0,7348.0,1.0,,,,,,
v_subj.10,5.812,1.278,3.564,8.272,0.023,0.017,3200.0,4914.0,1.0,,,,,,
v_subj.11,5.428,0.75,4.04,6.844,0.012,0.009,3645.0,6562.0,1.0,,,,,,
v_subj.12,6.52,0.904,4.865,8.234,0.015,0.011,3582.0,5773.0,1.0,,,,,,
v_subj.13,4.253,0.557,3.224,5.307,0.007,0.005,6818.0,9306.0,1.0,,,,,,
v_subj.15,8.352,1.102,6.313,10.423,0.021,0.015,2680.0,5406.0,1.0,,,,,,
v_subj.16,4.568,0.577,3.474,5.644,0.008,0.006,4588.0,6857.0,1.0,,,,,,
v_subj.17,4.27,1.38,1.844,6.875,0.024,0.017,3307.0,6455.0,1.0,,,,,,
v_subj.19,5.183,1.068,3.317,7.192,0.02,0.015,3008.0,3959.0,1.0,,,,,,
v_subj.21,5.06,1.467,2.431,7.821,0.025,0.018,3383.0,5879.0,1.0,,,,,,
v_subj.22,3.902,1.537,1.744,6.744,0.056,0.039,807.0,2090.0,1.0,,,,,,
v_subj.23,3.969,0.528,2.981,4.958,0.008,0.006,4178.0,7017.0,1.0,,,,,,
v_subj.24,4.211,0.535,3.248,5.254,0.007,0.005,6672.0,8416.0,1.0,,,,,,
v_subj.25,3.069,1.811,-0.189,6.384,0.026,0.019,4736.0,7610.0,1.0,,,,,,
v_subj.27,2.679,0.522,1.752,3.666,0.009,0.006,3294.0,5355.0,1.0,,,,,,
t,0.277,0.009,0.259,0.294,0.0,0.0,9483.0,8931.0,1.0,,,,,,
t_std,0.038,0.008,0.025,0.053,0.0,0.0,5765.0,6588.0,1.0,,,,,,
t_subj.1,0.274,0.007,0.26,0.286,0.0,0.0,6927.0,8159.0,1.0,,,,,,
t_subj.3,0.289,0.007,0.274,0.302,0.0,0.0,3601.0,4057.0,1.0,,,,,,
t_subj.4,0.266,0.007,0.253,0.28,0.0,0.0,5581.0,7860.0,1.0,,,,,,
t_subj.5,0.324,0.009,0.306,0.34,0.0,0.0,4719.0,6928.0,1.0,,,,,,
t_subj.7,0.306,0.009,0.287,0.32,0.0,0.0,6513.0,7936.0,1.0,,,,,,
t_subj.8,0.275,0.008,0.261,0.289,0.0,0.0,7422.0,8557.0,1.0,,,,,,
t_subj.10,0.222,0.007,0.209,0.234,0.0,0.0,5776.0,7937.0,1.0,,,,,,
t_subj.11,0.289,0.006,0.277,0.3,0.0,0.0,6218.0,7960.0,1.0,,,,,,
t_subj.12,0.239,0.005,0.229,0.248,0.0,0.0,6698.0,7934.0,1.0,,,,,,
t_subj.13,0.289,0.007,0.277,0.301,0.0,0.0,4147.0,6812.0,1.0,,,,,,
t_subj.15,0.262,0.007,0.248,0.275,0.0,0.0,4044.0,6025.0,1.0,,,,,,
t_subj.16,0.286,0.012,0.263,0.307,0.0,0.0,4756.0,7231.0,1.0,,,,,,
t_subj.17,0.346,0.032,0.279,0.401,0.0,0.0,4968.0,5770.0,1.0,,,,,,
t_subj.19,0.284,0.009,0.265,0.299,0.0,0.0,5623.0,7591.0,1.0,,,,,,
t_subj.21,0.228,0.01,0.208,0.247,0.0,0.0,6811.0,8264.0,1.0,,,,,,
t_subj.22,0.228,0.006,0.216,0.239,0.0,0.0,6601.0,8312.0,1.0,,,,,,
t_subj.23,0.307,0.01,0.289,0.326,0.0,0.0,5325.0,7451.0,1.0,,,,,,
t_subj.24,0.229,0.014,0.202,0.253,0.0,0.0,5423.0,8190.0,1.0,,,,,,
t_subj.25,0.272,0.013,0.247,0.295,0.0,0.0,6872.0,7243.0,1.0,,,,,,
t_subj.27,0.301,0.006,0.291,0.312,0.0,0.0,7473.0,8448.0,1.0,,,,,,
alpha,0.279949553356228,0.257,-1.467,-0.488,0.004,0.003,3408.0,7939.0,1.0,0.05119752713453066,0.18536452397085987,0.24560084388564712,0.27703971539616246,0.31150567227373793,0.38957252788060864
alpha_std,0.16570366898162553,0.229,0.521,1.352,0.004,0.003,2589.0,5186.0,1.0,0.024470608422599915,0.11872211034518815,0.1488727285626844,0.16519258722098595,0.18201708130205843,0.21481716500408418
alpha_subj.1,0.15323450691883797,0.492,-2.702,-0.852,0.008,0.006,3556.0,5463.0,1.0,0.06577628758694591,0.06185375599923015,0.10705826598458991,0.1406788330316692,0.18547938004927852,0.31563121605505495
