Parameter,MAP,HDI_lower,HDI_upper
a(low),1.9199667377071623,1.708681411417181,2.125687496674996
a(medium),1.8060469921728253,1.5966646473696244,2.0159715071594446
a(high),1.7741247987605981,1.569446952027388,1.983993842055018
t,0.4275042132276077,0.3828210826155678,0.4740872096928712
z,0.4564784927364149,0.4338248481446918,0.4796280206665274
v_ES_AttentionW,0.03091558425403495,0.025495731674662563,0.0365740338644852
v_ES_InattentionW_E,0.03248384235433755,0.02628584247667435,0.03837023941462645
v_ES_InattentionW_S,0.029441758527910877,0.021959678292032193,0.036579143423344215
θE,1.0594728787930732,0.7937658418247904,1.3436166557572145
θS,0.9600314608384573,0.6756083962599603,1.2553732138191134
