,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.7117388289012156,0.10006124578569917,1.5238427377991723,1.6447558812598995,1.7075042737567603,1.774657990196163,1.919294307184279,0.0010654017789862471
a_std,0.41642172231500607,0.08666962163162645,0.2813343022541788,0.3548221188281226,0.40483511961835045,0.46493445345456785,0.6214865447676537,0.0010555654337577737
a_subj.1,1.887195922486067,0.13942212368355056,1.6372919334559288,1.789176519789176,1.8779171546475064,1.9749994959925987,2.1848234489298077,0.002429553654331913
a_subj.3,1.3799406098551783,0.10078952384979625,1.195191454219323,1.3107367835314583,1.3754165829894678,1.4444515949493686,1.5916641557614675,0.0015696293371243442
a_subj.4,1.5394545693576638,0.1068042554370675,1.342453541856,1.4653492653573472,1.5353056833125653,1.6074708855221722,1.76300005160499,0.0013572915560042574
a_subj.5,1.783428810166688,0.1325114657345988,1.5423939327738574,1.6912882677679186,1.7780693716342668,1.8682398496240717,2.06066453621834,0.0019344865010218996
a_subj.7,1.5956050907546397,0.1334945003474325,1.3618363423851498,1.4989415148512433,1.5862164995335741,1.683259528248524,1.8779123899831087,0.002300942200868716
a_subj.8,1.9598454293597318,0.1518644740437005,1.688626299248451,1.8531583807142153,1.9518197185294064,2.056360466396955,2.2805581577062424,0.002686918668827261
a_subj.10,1.108758217551523,0.0679615027957012,0.9824718619254366,1.061679393585715,1.1059050152044612,1.1532625852192844,1.2492464915045676,0.0007367473577650812
a_subj.11,1.6044466006757176,0.11026997150751594,1.4049555235396323,1.5274860553946215,1.598158146620745,1.6749527927165244,1.837025421323599,0.0015924518708298689
a_subj.12,1.623489840786545,0.13062766381251972,1.3929294490971311,1.5331346893116753,1.6138432369650606,1.705360458590802,1.9031079016592878,0.0023284072532226757
a_subj.13,1.168296529020585,0.08307973493777704,1.0158124072681822,1.1112720908824374,1.164552830239025,1.222071399585922,1.342204745585508,0.0011184919098824785
