,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.41292767052892615,0.010576546693155798,0.3932012847022455,0.4055803862834525,0.41289071743444317,0.4200131761803438,0.4346302174567405,0.0002729062926518619
t_std,0.06534950943174858,0.009197796963458679,0.05023003860311448,0.05873266600262059,0.06438530677451265,0.0707262367337615,0.08554043292054922,0.00028338484759592587
t_subj.2,0.3772910251137342,0.0135310581180979,0.35162231376525394,0.3681206935840901,0.3767740590437864,0.3864757331622141,0.4042593483091769,0.0004898808356598263
t_subj.3,0.38195820767225463,0.013029444216541453,0.35371558364659644,0.3736270216916825,0.3825232332291036,0.3910261197746409,0.4054396225301468,0.0004338372731859801
t_subj.7,0.3905510420233309,0.01901105895570055,0.3508259029123519,0.3785880858147138,0.39155212083718965,0.4034064191040788,0.42462642390163063,0.0006643466260808983
t_subj.8,0.32248236143296743,0.01662621520796983,0.2906596382118507,0.3121750015204666,0.3212011843156805,0.3323421751288618,0.3592246859504262,0.0006582478412101176
t_subj.9,0.41260827671882994,0.01766713066267948,0.3771452824793466,0.4009411019750642,0.41279031160612195,0.4243803059880814,0.44758558009124044,0.0006499908909294008
t_subj.10,0.5656736449521557,0.014211053792894399,0.5386489742829147,0.556447305605553,0.565831421832319,0.574678416411371,0.5932275467567186,0.0005040562209859639
t_subj.11,0.4096401069786967,0.01187059423317283,0.38421467162297235,0.4020533272451077,0.4106138760666274,0.4177237383773814,0.4305762269515718,0.0004336446262009421
t_subj.12,0.42658499244431586,0.01500244875392942,0.3924489692047601,0.41759254075935565,0.42756607557884546,0.4370855768253896,0.4523211975329785,0.0006148333950303635
t_subj.13,0.3876910272454941,0.018903648018560253,0.34630101823982523,0.3759966339795344,0.39332789093912907,0.4018653038819485,0.41294676244105305,0.000937329163997022
t_subj.15,0.4743442164940709,0.014932557415213729,0.4427997039333123,0.4645829911556821,0.475034487966625,0.4853296252751958,0.5003296885396114,0.000542144119141873
t_subj.16,0.40662806029560133,0.005643653464937836,0.39433954854237285,0.4030552603321236,0.4070097056678485,0.410564071623558,0.4165765737531465,0.00019609030381716677
t_subj.17,0.43792716682840666,0.018108202686879633,0.40066498652930066,0.4258184752319961,0.4381421696620688,0.4511885672810425,0.470234779674145,0.0007196090292705863
t_subj.18,0.36930190249687594,0.025278669119001985,0.31660583419539445,0.3530804093770789,0.3703065355893617,0.3867528852581581,0.4139772839642381,0.000872541533939749
t_subj.19,0.3738663473014065,0.03791309709466829,0.29533695925645276,0.3494528029161539,0.3760935612045494,0.4004693636206189,0.44296663934887165,0.0013485930995440197
t_subj.20,0.4377921957098628,0.016476690253339265,0.40490059976982623,0.42674435672185457,0.4386297073153425,0.4495788352975815,0.4670590483766308,0.0006523075534258434
t_subj.21,0.4247234139576787,0.024241868619620056,0.37504994905893707,0.4092861560217556,0.4252890992692634,0.4411430889781199,0.47018307614404675,0.0008919132813611072
t_subj.22,0.34963733560803906,0.02299002705509047,0.30271494193871584,0.3330328626870001,0.35134583863064384,0.36608998667283676,0.3915036319725076,0.0012947508815005922
t_subj.23,0.37979883684128235,0.012798884959754142,0.35326972572223303,0.3717235338550939,0.38057285086689663,0.3888658597837257,0.40254749175794363,0.0004396778791900746
t_subj.24,0.3851274831234052,0.009381989483800021,0.36439136731341054,0.37964558416107563,0.3856427382232523,0.3914315774688599,0.40168773988465045,0.00029231102327063874
t_subj.25,0.4020306230206612,0.022178219177431617,0.3582732443308203,0.3872547275292216,0.40173921876501917,0.4172610783050548,0.44383882003928776,0.0008062927007519318
t_subj.26,0.5011454982896464,0.019939132334292575,0.45745894350012783,0.48839875095123375,0.501657154176666,0.5147957314788516,0.5378086900251445,0.000932453662142895
t_subj.101,0.3851222543837012,0.01636586320747044,0.3506906129263261,0.37477383283526616,0.3858043580239767,0.3960362475233359,0.41596016249568984,0.0005660048257973376
t_subj.103,0.35953933270014193,0.018567400817587666,0.31980667725240153,0.34735841033482223,0.3604569915031881,0.3727302714546538,0.3929469604904131,0.0005570862675480365
t_subj.104,0.4825376180057349,0.02090706772299635,0.44391709324983475,0.4678664376842542,0.48122441051525333,0.4966094864941889,0.5253085036709139,0.000661529044644196
t_subj.105,0.4709086391028782,0.021453724476478763,0.42576548542578424,0.4568328974471909,0.4717209122673803,0.48642463530648405,0.5092985805902962,0.0007568629707256693
t_subj.107,0.4539264295362339,0.020490305799517407,0.4115597810336985,0.44068981785581235,0.45538360579227216,0.4687572505013359,0.4898028776444907,0.0007124153980224209
t_subj.108,0.42671992564095673,0.015338855231071022,0.3958913854803258,0.4165985545146416,0.4269768314105636,0.437222652473192,0.455053690356943,0.0005531930229228995
t_subj.110,0.4026724545008489,0.0183661347675852,0.36223419383813216,0.39317660985451663,0.4051754259720627,0.4152607136418268,0.4307573317583737,0.0006528363804222253
t_subj.111,0.4360469163721163,0.011687393303211297,0.4116636309793828,0.42864118957103275,0.43685254604583534,0.44394556246325156,0.4575467181411134,0.00039794918296745323
t_subj.112,0.4485681201655042,0.022827666909478187,0.40494065847200283,0.43340571545892137,0.44731469857508255,0.4632896733390822,0.49734325574249294,0.0007459598329632045
t_subj.113,0.3886477503789057,0.01419612211127601,0.3590907004871773,0.3795825947797185,0.3890233260288104,0.3984516880949334,0.4153093602423239,0.0005614530226868415
t_subj.115,0.43381398120946446,0.011096061786659365,0.41036981975564707,0.4265557627728661,0.4343248246780904,0.44137275926787384,0.45384530957402924,0.00036866763891955847
t_subj.116,0.3576896614304136,0.0351235102023212,0.2881799638704403,0.3334983671849829,0.3580380339325499,0.3816434775362675,0.426417071004932,0.0011754143901102569
t_subj.117,0.5654334737567195,0.05238402213830972,0.4552544531218762,0.5301580411298585,0.5685460886836133,0.6016283167726303,0.6592589766779173,0.0017154159139404317
t_subj.119,0.395849732797523,0.013466659346994422,0.3659281171949653,0.3874157794139897,0.3962502420802307,0.40538342983889797,0.42063289816042765,0.0005116884186837373
t_subj.121,0.39536950864833714,0.02057203418129179,0.3511661168208461,0.38271428373446514,0.396676790863726,0.4100635919774386,0.4320213994787995,0.0006918360308609138
t_subj.122,0.3858170308144326,0.010867813834123764,0.3655576470173835,0.37801627721146597,0.38593445465355924,0.3926182722791027,0.4078449104992986,0.00039117169247896496
t_subj.123,0.421230524861757,0.012959718755658168,0.39404662619330005,0.41316735666911303,0.4218837003227166,0.430453751550818,0.44469332546330154,0.00044449728825139126
t_subj.124,0.37601586160550543,0.02031359170530372,0.33332712271521275,0.3623182839636029,0.37756451567407034,0.3906350512101743,0.4114549509675781,0.000847513465051964
t_subj.125,0.2336930072667826,0.022380317798550216,0.18315618975901843,0.22018652510036202,0.23561988630668268,0.24938023471442142,0.2713695863164912,0.0005875930473757473
t_subj.127,0.4601015851337336,0.011872883790923326,0.4395132591726999,0.4517040040109404,0.4585202842118081,0.4677362412063299,0.4844652593035779,0.0004929324963924467
v_Intercept,0.36575111908878744,0.023888351249939484,0.318126603606298,0.35036678848764474,0.36606831546305835,0.3810645574583871,0.4128023862115837,0.0012648662520018574
v_Intercept_std,0.082050610135051,0.02362954120127056,0.03616064977824238,0.06531644020321628,0.08112684920811937,0.09813703838912541,0.1310539873046398,0.0016270461894184358
v_Intercept_subj.2,0.3823586687414061,0.06413526607223005,0.25459939729845266,0.3427617402462455,0.3825856549656351,0.42240215098566924,0.5100361843911463,0.001783952740707355
v_Intercept_subj.3,0.33963023000922166,0.06739930721799677,0.20256000162836335,0.29367500269110974,0.3418247588494473,0.38420934875773805,0.46854938665563245,0.0020472872445389018
v_Intercept_subj.7,0.44132773712384815,0.06838907779493457,0.3125962395564275,0.39422215959323326,0.43949076164264006,0.48532432392734515,0.5819134087896725,0.002710895240225294
v_Intercept_subj.8,0.3905358215326253,0.07044759236305677,0.2528476252438214,0.3454977927449609,0.3882419571962049,0.43671034371926787,0.5363492128866676,0.0020034167074641277
v_Intercept_subj.9,0.38328145801561886,0.06342516144611561,0.25691346147194455,0.3420317314860588,0.38116640277360897,0.4257262157860455,0.5081085439852641,0.0019564345144678706
v_Intercept_subj.10,0.38993069399826286,0.06804082731506424,0.2606490564553817,0.34535798007383894,0.387801862759909,0.43396484711178573,0.5290892200398312,0.0021215657620390718
v_Intercept_subj.11,0.4384816772422291,0.07602346038641049,0.29720343069663424,0.3869697548247055,0.4345397653020068,0.4833427367538918,0.6068931896928859,0.0029582417209151205
v_Intercept_subj.12,0.3657430937442718,0.06450592590974184,0.230860976604164,0.3247719943456833,0.36783432994598836,0.40967573065438495,0.4911762444026707,0.0019766687515550764
v_Intercept_subj.13,0.38255182393035825,0.08447327459214059,0.21929850768982895,0.32985596899884495,0.379506086080644,0.43243830221909163,0.5638587990859854,0.0023537570827399748
v_Intercept_subj.15,0.3604742715518799,0.06954831994097856,0.22357479184215456,0.31746461636497414,0.36070633274399233,0.40546004308079203,0.4993487112040172,0.0018936499664894558
v_Intercept_subj.16,0.4048125839452795,0.07737367854731042,0.25757800955593135,0.3527402091967781,0.3999313427291318,0.45274301264461814,0.5711149490994409,0.002352542206585325
v_Intercept_subj.17,0.43275365595791415,0.07311587707165491,0.3062724184492748,0.38044409733211243,0.42852932383161607,0.47917021371248364,0.586797161684034,0.0025642558533530775
v_Intercept_subj.18,0.35974752744839755,0.06820390485123026,0.22800988602432418,0.31643374299870786,0.36057844787546683,0.40350057975195064,0.49411439174069544,0.0022251647687114534
v_Intercept_subj.19,0.4114311994039467,0.07435942620027869,0.26642612712436387,0.36419132247032215,0.40924910960345706,0.4579171448212305,0.5645785090956811,0.0024999162265394617
v_Intercept_subj.20,0.36141968243370354,0.06381611093701314,0.23905737237429742,0.31793305910573966,0.3622851216080328,0.4034478618176356,0.48863238640602114,0.002275542700642892
v_Intercept_subj.21,0.43530795331871797,0.061224031396504876,0.3217598463947534,0.3919965474122162,0.4324755041076842,0.4760378923075806,0.5605794131781687,0.0022315063747813833
v_Intercept_subj.22,0.42370431674821274,0.0630329050069272,0.3069126242788851,0.38013305960244637,0.42211754391737055,0.46572433527892576,0.5501499900229809,0.0022936093453714114
v_Intercept_subj.23,0.3572639671396773,0.06773476859101657,0.22360491760847007,0.3126755294508737,0.3589195096910631,0.4009344255509123,0.4957253979047087,0.002030073072438114
v_Intercept_subj.24,0.3149019160533887,0.06758366376771012,0.17847072786000553,0.27046346551713746,0.3167220233224035,0.36083282347294765,0.4415587466555692,0.001984639342932969
v_Intercept_subj.25,0.25297675884822063,0.061537620312810716,0.12533793051872819,0.21144935680233076,0.2555402837461785,0.29481127936216783,0.37108550678013147,0.0028744964175850493
v_Intercept_subj.26,0.3261515264707237,0.05840776374243769,0.20721882838858527,0.2889007543384477,0.3293212785375317,0.36554237425479497,0.4332756015911853,0.0021499500653321606
v_Intercept_subj.101,0.33517259519673387,0.057050012668993795,0.22138978367592943,0.29619830438044936,0.3369067750785406,0.37533584440031487,0.44476419071668527,0.001819913431715355
v_Intercept_subj.103,0.3760723422540878,0.06139533642015169,0.25732926425364744,0.3349080641072011,0.37677302403049867,0.4151058614760548,0.4976907481194779,0.0019326518589419116
v_Intercept_subj.104,0.28827632722121616,0.06433902092041247,0.1541091239788415,0.24681572056328163,0.29347292355160537,0.33344496173722016,0.40872808954931866,0.0026918917750481546
v_Intercept_subj.105,0.330156327754972,0.056607447708726395,0.2100424113869989,0.2940784300909249,0.3329778628824938,0.3677811339577556,0.43291976558172285,0.0016046588670683508
v_Intercept_subj.107,0.3537589418415083,0.062426451115788616,0.2325388569379015,0.3128453776889279,0.3527331033989445,0.39397320625331994,0.47804675048784134,0.0020059573492853325
v_Intercept_subj.108,0.44244382702221124,0.07093207680654277,0.3187107931072328,0.39305975107616564,0.4360393113682013,0.4869192462165388,0.5962547175801852,0.0029489362100999566
v_Intercept_subj.110,0.39345392640369914,0.08324765613915087,0.23576279737240016,0.3388483659755275,0.3899442878488911,0.4476253468632313,0.5613489447032776,0.002019528698000866
v_Intercept_subj.111,0.3611099893190801,0.06134059510764962,0.2398026929319385,0.3217438654740641,0.3599038420830944,0.40160027959448097,0.4833962424171365,0.0017893780989476395
v_Intercept_subj.112,0.3839493008263564,0.05815684306803396,0.2712660662517567,0.34614560852452164,0.3840860115378112,0.4222204029267558,0.49742559015005605,0.0016261422480121127
v_Intercept_subj.113,0.412561467617368,0.0637165347968046,0.29273037993422807,0.3681366127881402,0.40910627200772554,0.4548644481271972,0.5429684960362928,0.0020473621258677004
v_Intercept_subj.115,0.3703848248023223,0.06138817777705862,0.24917101101903155,0.3306758601007566,0.37059532384550825,0.4105605207554515,0.489799993550865,0.0018591270651910168
v_Intercept_subj.116,0.27904336267234614,0.05342441505729713,0.1699001240515258,0.24267986696849259,0.28018186170106874,0.31678004630663,0.37848712110312,0.002131307639166291
v_Intercept_subj.117,0.3310362658464627,0.07523232583732205,0.17083421289011405,0.28414259544989373,0.3352335788229811,0.3821059349834854,0.4737945274271377,0.002280260280869474
v_Intercept_subj.119,0.31876810134687045,0.06926103929012467,0.1748717868661672,0.27530513632551074,0.32184014640700487,0.36625393748824586,0.44825733658485334,0.002123943091482696
v_Intercept_subj.121,0.2584640997984382,0.07947217393771473,0.09207422010119752,0.206306359869479,0.2626156288294571,0.31602711900689534,0.3968926608213713,0.0035578370218604604
