,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
t,0.441,0.011,0.421,0.461,0.0,0.0,1754.777,1985.06,1.004
v_Intercept,1.275,0.067,1.152,1.4,0.002,0.001,1587.398,2467.108,1.001
v_z_IAW_chart,1.117,0.074,0.987,1.26,0.002,0.001,1425.619,1829.972,1.0
v_z_IAW_image,0.813,0.058,0.708,0.927,0.002,0.001,944.038,1487.459,1.0
v_z_AttentionW:C(OVcate)[high],0.978,0.062,0.865,1.099,0.002,0.002,745.655,1336.455,1.0
v_z_AttentionW:C(OVcate)[medium],1.018,0.071,0.877,1.147,0.002,0.002,958.354,1690.157,1.004
v_z_AttentionW:C(OVcate)[low],0.996,0.093,0.821,1.167,0.003,0.002,1199.836,1559.4,1.001
a(low),2.039,0.081,1.884,2.191,0.002,0.001,2029.705,1713.241,1.002
a(medium),1.928,0.08,1.775,2.077,0.002,0.001,1810.928,1903.892,1.0
a(high),1.911,0.079,1.76,2.055,0.002,0.001,1989.197,2059.378,1.001
