parameter,n,pearson_r,r2,p_value
v_ES_AttentionW,21,-0.7178556116850794,0.5153166792277595,0.0002482436724113367
v_ES_InattentionW_E,21,0.6926472047518457,0.4797601502505453,0.0005012019582625172
v_ES_InattentionW_S,21,-0.5989161407227757,0.3587005436182636,0.004120415896822552
theta_InatWS,21,0.3924178574369172,0.15399177483538068,0.0784860962562486
theta_InatWE,21,0.27274145245450304,0.07438789988699195,0.23163056444939406
t,21,-0.18158049606524354,0.03297147655129992,0.43085123866940445
a(low),21,-0.17201879926198305,0.02959046729953442,0.4559061999159704
a(high),21,-0.16707701280593448,0.027914728208154396,0.46914387953698955
a(medium),21,-0.15341458581600365,0.023536035141095948,0.5067333252347075
z,21,-0.13974616987585886,0.019528991994972402,0.5457369066579963
