,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.8072791409167814,0.09569812362573757,1.6287290573217035,1.74304885025029,1.8026867796252646,1.8677544452634616,2.0075337114322336,0.0015392141065184682
a_std,0.38723278234942,0.08331537244892326,0.25572086789540105,0.3281015429212316,0.37727536805006034,0.4335289279015637,0.5777740369855667,0.00150090776104586
a_subj.2,1.6428500216286734,0.12655497036778032,1.4085273986100657,1.5546173398729057,1.6375198251667926,1.7256329341627514,1.9065793000826,0.002635365350766711
a_subj.3,1.6132573572300302,0.09361620531487277,1.4404530994074933,1.5485497965835449,1.609420472780418,1.6736612129578268,1.8077665239484775,0.0012013633329810444
a_subj.7,1.2969334763458737,0.09218554734006337,1.1308832683520103,1.2329492397271586,1.2925018590366129,1.3557498918237307,1.4934561076836912,0.0013578680962577632
a_subj.8,1.725588665931706,0.20087407525300252,1.3711082721379968,1.5843833839039905,1.7132648987868448,1.8506432350966737,2.155744153696352,0.005897886747460981
a_subj.9,2.02083119651379,0.1650461378596941,1.7182360186704,1.9058118143409049,2.0125628852404005,2.1273385816798625,2.3644734575017274,0.0030176893661706386
a_subj.10,2.5260301106333274,0.3074034140957865,1.990659531841033,2.3049724670484952,2.504687706061884,2.7240293854264173,3.187264746473957,0.010055395645997799
a_subj.11,1.6130300153250696,0.14929978117546666,1.3337161112926084,1.5100088911875484,1.6090101543717577,1.7108286767935574,1.9186045153975786,0.0029716144005814604
a_subj.12,1.648286880360199,0.11248465878034851,1.4447510677799225,1.569855584656835,1.6424321516450924,1.7207883228126784,1.8851187911735812,0.0015174748026644774
a_subj.13,1.6635486896972589,0.20678392957779398,1.296997161509207,1.5167553434877776,1.6510381921578046,1.796620761548596,2.1020443826065125,0.006634797798954807
a_subj.15,2.078741296061725,0.15600370263345067,1.7971679881468494,1.969345163764949,2.0706155673854103,2.1806827342426085,2.4074416558014815,0.003051370188211836
a_subj.16,1.896398070717259,0.15809271157507584,1.605719911172998,1.787883863565579,1.888991450927826,1.9990220621978254,2.2240021675953887,0.00354520557825985
a_subj.17,1.4216558645332873,0.13113830044415328,1.1883599723238,1.3295230733555146,1.4141393808224325,1.5041691094307397,1.706667679060536,0.002348832608233429
a_subj.18,1.319282615925849,0.11687516034432627,1.104267253323468,1.2380270070789323,1.314319652443049,1.3950780325752157,1.5617976644543337,0.0018408601321767385
a_subj.19,1.944745412465277,0.14365395378279397,1.6849157481119463,1.8448931901203007,1.9375515211183603,2.036210684090217,2.2481548951190455,0.0019110158741973392
a_subj.20,1.974533429483121,0.15612388273978553,1.6957985175701233,1.866385563112612,1.9652323104596474,2.0731298378539997,2.308904592763888,0.002955102975583513
a_subj.21,1.7035945216494868,0.11908969321829826,1.4879954294207698,1.6199109353560868,1.69809620138656,1.7819531737380863,1.9518820223376978,0.0017675925992295255
a_subj.22,1.9998186861854774,0.19061838795932576,1.6715034492085448,1.864300423208862,1.984239598400321,2.11999254251394,2.416001986913453,0.00475089777118981
a_subj.23,1.9747291229678108,0.1708613061117774,1.6715996812431568,1.8555034844685903,1.964667582323827,2.080436284421244,2.3442559112129016,0.003385381679085938
a_subj.24,1.442172857987198,0.10312367366867968,1.2556173041245249,1.3705287651569378,1.4374411535149763,1.5074808732041045,1.6579470802758336,0.001526287114179722
a_subj.25,1.7794927354668733,0.17514421544680012,1.4644174261062366,1.6580495614196913,1.7684401147963895,1.8913821415770808,2.151028134352717,0.003976592002990634
a_subj.26,2.5779944826371106,0.14496453109439292,2.3056881022985847,2.479291097155957,2.5726278353859993,2.673804996782664,2.876253697549177,0.002254726573721523
t(0),0.26450625517539716,0.011182431888025264,0.24289088165166595,0.25694527552234836,0.26439941491847857,0.27197932411653253,0.28664252302790605,0.00014044019940394385
t(1),0.26338371976491826,0.011405089503819126,0.24151377128177529,0.25576728840199753,0.263336697663039,0.27079339921237056,0.2863896040523207,0.00013440154746688994
t(2),0.24264940442798885,0.011165248008210815,0.2209017998814261,0.23514581324019562,0.24258636270071793,0.25006688853248266,0.2648323356700072,0.00013273758559201174
t(3),0.2528661078743103,0.011498724188049569,0.23058961703695577,0.24509714639049407,0.25280015839384323,0.260479807024905,0.2758048919104712,0.0001554959803902771
t_std,0.0466514312178929,0.005983089272910796,0.035905060669973315,0.042482398263488735,0.04634166359589538,0.05044504073350575,0.059391259258152904,0.0001413463287636885
t_subj(0).2,0.2073417951272559,0.011738900561751595,0.18252121324318082,0.19990348063810784,0.20800814649969426,0.21569232420240642,0.2281590472356806,0.00018042403351630826
t_subj(0).3,0.31597373483513186,0.019245498055551855,0.27446400329630083,0.30383705752468604,0.31746655216101455,0.3295849828354878,0.34959467526983623,0.0002021913484708898
t_subj(0).7,0.28206210689442174,0.012248838538558217,0.25520814328942465,0.27457105620456174,0.28309885690640374,0.2907983956431653,0.3029445318723926,0.00014272064855655266
t_subj(0).8,0.24342967449952965,0.013986236783790842,0.2138575497354952,0.2344090387127883,0.2442523208948261,0.2533252583245276,0.2683811536718333,0.00035560855307238687
t_subj(0).9,0.24584014536977375,0.020260334412834275,0.2036913919468658,0.2328822241757365,0.24682275906449433,0.25962447878181993,0.282439660707866,0.0002516934615201373
t_subj(0).10,0.4027925096028206,0.02865228150200734,0.3427964055896359,0.38460472945188284,0.4044504380187617,0.42229079766573185,0.4548184234517164,0.000744589097200037
t_subj(0).11,0.21627349099205226,0.017777013701535515,0.18618881022693073,0.20441643134326204,0.21348090392686495,0.22518123161610393,0.2554587086402567,0.0003301467030506913
t_subj(0).12,0.3004420281451804,0.01878845224228744,0.2638787704451337,0.2890283661324494,0.30047664449972056,0.3108590655647758,0.3449404270119136,0.00016499532085098803
t_subj(0).13,0.23931213049771857,0.010558599084465188,0.21663747033957917,0.23254853201075634,0.2399146337833623,0.2469133964208062,0.25788771568618823,0.0002642975245303478
t_subj(0).15,0.24861828118020504,0.017483312846522332,0.21195569902106332,0.23741640036664005,0.24955966426920978,0.26088542798852393,0.28006006743388323,0.0002461804477910246
t_subj(0).16,0.27911281568734786,0.015176788634757967,0.2492726897112575,0.269733190723059,0.27896442871768035,0.2879236212158754,0.31299499144120935,0.00024024976172518984
t_subj(0).17,0.2146692611463997,0.010530216373236354,0.19190507749256625,0.20812578618248814,0.21538576517608715,0.2219394889500993,0.2333187270280203,0.0001460344776080986
t_subj(0).18,0.2559743203349432,0.033672190014744134,0.20283383858349252,0.22734767491089308,0.245211192733087,0.2879648004266269,0.31042290730561783,0.0007472659993162411
