,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.8499595860551574,0.10768434350829585,1.6503115157689177,1.777491659264272,1.8443549283179177,1.9162849671680302,2.077956924542252,0.001261440841319644
a_std,0.4687617764655271,0.09109896911000265,0.3276729618587324,0.4047402676191641,0.4556768179807912,0.5179611868475754,0.6840669159693953,0.0013488385347761968
a_subj.2,1.491123936178623,0.07589953113219411,1.349663548560778,1.4390911611802677,1.4887855911585972,1.540889221692699,1.6461325984695765,0.0010038544415133382
a_subj.3,1.6005701638239245,0.10482021824713457,1.3956682923907617,1.5299476982861222,1.599621095995662,1.6698833098103925,1.8121431302457895,0.0016725171913281223
a_subj.7,2.3492191539487948,0.1513944543357643,2.075486986332247,2.2437530274852735,2.339816247476637,2.447989864416247,2.667535300531595,0.0023627734551986104
a_subj.8,1.3540869109694198,0.07477076392223472,1.215738754022129,1.3026846879372505,1.3518786778351377,1.4022868760894023,1.506964308337944,0.0009611723985861913
a_subj.9,2.3009019240061908,0.1347662602436211,2.0534707071449114,2.207438787529141,2.295895549501706,2.386489129049745,2.585182072302511,0.0020924287062631932
a_subj.10,2.7033279083451376,0.18255718006085875,2.37630071626775,2.5728728828383765,2.6949759116473286,2.8221460238530574,3.0881388392210662,0.0033499217478101403
a_subj.11,1.9353427914859058,0.12470308280707504,1.7112543798346893,1.8485155793635433,1.9293488240244452,2.0147567323851656,2.1999355612764235,0.002043830608275002
a_subj.12,1.4902939561096002,0.0808236749532366,1.3390539073183318,1.4351251404983683,1.4875169141810107,1.5432116373498017,1.6577488458421636,0.0010437511988902442
a_subj.13,1.1166167036772017,0.08965948331499682,0.9506842620493905,1.0530352164183154,1.1144512246718543,1.177212797923346,1.299849165347897,0.0015651549788783235
a_subj.15,1.6036159889931632,0.0875894838727412,1.4444754468645555,1.5432738173793565,1.5988436108444375,1.6602921315671244,1.787855725634007,0.001165264919937481
a_subj.16,1.4222758290964044,0.07383369973013004,1.2870617636373187,1.3707454629713518,1.4192168999610428,1.4696560828741356,1.576670589383481,0.0010054663387499042
a_subj.17,1.7166455927146793,0.1229072438465316,1.4957444239460882,1.6302592419172335,1.710248834028646,1.7964950809980142,1.9717378473310632,0.0022038344318634816
a_subj.18,2.117594078841977,0.13643125921125798,1.8658729321225815,2.0241815372370073,2.113283475153631,2.205005850269334,2.4013664918056445,0.002317398003909377
a_subj.19,2.1474187696463067,0.15269699643015786,1.8707025427645563,2.0428090921107516,2.1392585533201416,2.2434667073417693,2.4702662541540477,0.0026448590776746066
a_subj.20,1.6322814042458311,0.08743579855374957,1.4734357556726239,1.5712983706489034,1.6280721724557627,1.6883642008802067,1.8167382615131262,0.001208680388470331
a_subj.21,2.2901018576287653,0.13027747176861065,2.0503049515167557,2.198954921404085,2.285991115891561,2.3745804129305665,2.5611582031429605,0.0017496348984160249
a_subj.22,2.19721097420845,0.145952370503213,1.9295059010098885,2.096364950978845,2.191702069911792,2.2914754651439804,2.502118672123908,0.0023443025934815056
a_subj.23,1.5283578482626727,0.09306989520478512,1.3591016334700419,1.4647640918188733,1.5240608824837265,1.5868284106840476,1.7239468255994062,0.001400598068106339
a_subj.24,1.4443473306892138,0.07078620617956227,1.3130593682446428,1.3953107379014877,1.4419465359645538,1.490585290059096,1.588884644295593,0.0009319151593098626
a_subj.25,2.3389318223444846,0.12430276567053641,2.108059263811476,2.252666841815826,2.3339295893962944,2.4195709674906434,2.5924335047346756,0.00183669089649854
a_subj.26,1.9740609145081403,0.1270246656683145,1.7410800926836387,1.884005750277379,1.968429544861554,2.0553454465039316,2.240106146829572,0.0019377266839675107
t,0.3647777385487928,0.01637245981613118,0.33426596857802954,0.35385948265117795,0.364262175996916,0.37518858352743734,0.39863686344413685,0.00017391193400338934
t_std,0.07226765101731059,0.013736578978458872,0.05075978672669426,0.06255075585390948,0.07050436617415548,0.07993650104027097,0.10481992996976905,0.00017351410197417795
