,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.8925051205936156,0.10226546186084998,1.6979380202533632,1.8232181048995804,1.8889711317214848,1.957249136590081,2.105686690632047,0.0017283581777009325
a_std,0.45255529361674196,0.08178046500717824,0.32361861194327207,0.39467239372013174,0.44222335546226804,0.49858608938396065,0.6394248795401684,0.0015355618206583084
a_subj.2,1.830329491900208,0.0714591773625683,1.6957220050983408,1.781303278766212,1.8277789446845645,1.8772314681528415,1.974123419944382,0.001713561629114831
a_subj.3,1.6775616865556113,0.052938899525127106,1.5750069183692739,1.641520772989304,1.6765807251724454,1.7131318447949908,1.7812214753299398,0.0010301006107464388
a_subj.7,2.151734306354251,0.0879011433529059,1.986460990957601,2.0912615710991957,2.1480460325729385,2.2098840720371156,2.3371624121239893,0.0025135965835066947
a_subj.8,1.6924018376223517,0.06398356331529315,1.5703020381603365,1.64881943260118,1.6916711086512306,1.733370775805085,1.8226346500478268,0.0016375612331738423
a_subj.9,2.0280952677150004,0.07485464376486828,1.8871109455844932,1.9751488694561699,2.0266999101421073,2.0778421400575127,2.1820798125701684,0.0019547286691896032
a_subj.10,1.5904700457336864,0.053716694614306254,1.4884161973974654,1.5538472686399234,1.5887837977969848,1.6258372126667315,1.7007282322605377,0.0011114469122857143
a_subj.11,1.5805422280453367,0.06807984023095506,1.4529785441674343,1.5324916266499151,1.5789716599518682,1.6262642184855802,1.7187572441512833,0.002203576193236733
a_subj.12,1.9338570296455502,0.07180171377808583,1.7996557624240825,1.8847804749962083,1.9305529914643804,1.981175936989904,2.0827065525646895,0.0018996105463150044
a_subj.13,1.0370248389613252,0.03842406461929749,0.9635122198488413,1.0108918121100907,1.0362362009796922,1.06222994757299,1.1142687616273421,0.0009554386978820644
a_subj.15,1.6928064928012114,0.06457725049926527,1.5722215108806699,1.6484227606497923,1.6915859315916317,1.7347637203993287,1.8224742656041466,0.0015687297102173706
a_subj.16,1.2884739753167083,0.045280439192828946,1.2038274580491293,1.2576571887759784,1.2873830715536965,1.3190764282533993,1.3773413877701786,0.001210771321025841
a_subj.17,1.6904739192476126,0.06349442381207698,1.5673784885819404,1.6474739020666593,1.6896917618217469,1.7332944295571027,1.8189043852566442,0.0014657187498267631
a_subj.18,2.0186537086276863,0.08277832291615926,1.8656731608600516,1.9620845265852265,2.0152687157609868,2.0724722128857302,2.190328556205328,0.0020312530609341442
a_subj.19,2.2534553925807965,0.10367859418449789,2.0592256615213973,2.181513258314125,2.2500654628691943,2.3211250504932996,2.466305552001562,0.003012002421597594
a_subj.20,2.2500632034305856,0.08949697404111501,2.0752975343592968,2.1911133015078974,2.2481557273478723,2.306842452041255,2.4340832623606103,0.002242727644295086
a_subj.21,2.6743545750848403,0.11336360364922074,2.4599994011164874,2.594980357967838,2.670189814890856,2.7506996882446155,2.908376855271399,0.0033759703456966448
a_subj.22,2.3595948953774255,0.11970160347677238,2.132962409947441,2.2784950899780076,2.356780323293645,2.4389260644879656,2.59572731126154,0.0037920699171674357
a_subj.23,1.8281674484251256,0.06550153376144499,1.703091144211724,1.7833100882874318,1.8266004333993489,1.8715743065187793,1.9585772151938765,0.001582439336385254
a_subj.24,1.4435206459000138,0.04125929953611928,1.3653371965059042,1.4153924426049416,1.442810417060047,1.4710880958880734,1.5265698089434072,0.0008609445785965613
a_subj.25,2.2673099537605026,0.08153745875780184,2.1115234456734737,2.2106458875683996,2.2657370884418113,2.3218633730728286,2.4293559386047714,0.0022230955618706937
a_subj.26,2.439823755207059,0.10201086647873578,2.2528323655084743,2.3670164198698376,2.4362309258755728,2.5088180778521467,2.645854786092792,0.0031583977177170016
t,0.4139761949194387,0.017256420243551708,0.38225831571737523,0.40244945369637725,0.4133136970394643,0.42494273444873665,0.449542320966985,0.0002817556957884871
t_std,0.0755744334501908,0.013868695678057395,0.05476065831318791,0.06577588214745324,0.07347415505233554,0.08322696072058494,0.10782631329039918,0.0002605207263463915
t_subj.2,0.38265496653754455,0.013422300608438935,0.3574076155490208,0.3735025830783486,0.38182414782532414,0.3916181874226037,0.41090111691992953,0.0003216691293347309
t_subj.3,0.3173122226376255,0.0072784048205242315,0.30292938122518126,0.3126795249387756,0.3174102598723654,0.3217845623893182,0.33190646830601833,0.00016448960856092163
t_subj.7,0.4334597387163354,0.014633207784572277,0.4046181298625055,0.4239142288075285,0.433511096045702,0.44287046196307706,0.4631335835830498,0.0003574071121646164
t_subj.8,0.3071675027999214,0.008871089817215285,0.28971528531176555,0.3011606594781401,0.30692615861348543,0.3132395997302653,0.32408235490126164,0.00020588480329084992
t_subj.9,0.433901222198414,0.012551589241657292,0.4080031433663441,0.4255949790234134,0.4345563884959176,0.4427289856712492,0.45687073566985703,0.00030459422844762143
t_subj.10,0.5869739714368956,0.009466584811858594,0.5662798319631419,0.581426441146916,0.5873912257928363,0.5930996949634126,0.6044839594159829,0.0001884857062764003
t_subj.11,0.3828568041461137,0.01213178998916465,0.3585350155735189,0.3744511709689507,0.38365122206963775,0.3923383313419318,0.4031450013813819,0.0003651764301384788
t_subj.12,0.4498742747101402,0.011601641344560135,0.4251475500669735,0.4422737431419751,0.45045137897046994,0.45805619179688467,0.4708473239031852,0.0003067124994130564
