draw,subj_idx,rt_quintile,subject_mean
0,2,1,0.5142857142857142
0,2,2,0.40625
0,2,3,0.5606060606060606
0,2,4,0.4918032786885246
0,2,5,0.5254237288135594
0,3,1,0.839622641509434
0,3,2,0.5538461538461539
0,3,3,0.6181818181818182
0,3,4,0.5614035087719298
0,3,5,0.6176470588235294
0,7,1,0.45
0,7,2,0.5135135135135135
0,7,3,0.47058823529411764
0,7,4,0.6282051282051282
0,7,5,0.525
0,8,1,0.5503355704697986
0,8,2,0.5
0,8,3,0.4358974358974359
0,8,4,0.43333333333333335
0,8,5,0.4444444444444444
0,9,1,0.23529411764705882
0,9,2,0.49206349206349204
0,9,3,0.5394736842105263
0,9,4,0.49333333333333335
0,9,5,0.4943820224719101
0,10,1,
0,10,2,0.6785714285714286
0,10,3,0.4017857142857143
0,10,4,0.35051546391752575
0,10,5,0.45121951219512196
0,11,1,0.5504587155963303
0,11,2,0.43373493975903615
0,11,3,0.6037735849056604
0,11,4,0.45652173913043476
0,11,5,0.4642857142857143
0,12,1,0.3
0,12,2,0.3764705882352941
0,12,3,0.45454545454545453
0,12,4,0.5645161290322581
0,12,5,0.6363636363636364
0,13,1,0.46835443037974683
0,13,2,0.2826086956521739
0,13,3,0.48
0,13,4,0.38461538461538464
0,13,5,0.2
0,15,1,0.3055555555555556
0,15,2,0.5
0,15,3,0.639344262295082
0,15,4,0.46875
0,15,5,0.5588235294117647
0,16,1,0.3615819209039548
0,16,2,0.5806451612903226
0,16,3,0.6666666666666666
0,16,4,0.6
0,16,5,0.5
0,17,1,0.4423076923076923
0,17,2,0.3764705882352941
0,17,3,0.43859649122807015
0,17,4,0.5909090909090909
0,17,5,0.43333333333333335
0,18,1,0.7358490566037735
0,18,2,0.58
0,18,3,0.5813953488372093
0,18,4,0.47619047619047616
0,18,5,0.47058823529411764
0,19,1,0.42857142857142855
0,19,2,0.5714285714285714
0,19,3,0.45454545454545453
0,19,4,0.5671641791044776
0,19,5,0.55
0,20,1,0.11764705882352941
0,20,2,0.24193548387096775
0,20,3,0.46987951807228917
0,20,4,0.6233766233766234
0,20,5,0.6666666666666666
0,21,1,0.0
0,21,2,0.3333333333333333
0,21,3,0.46153846153846156
0,21,4,0.3953488372093023
0,21,5,0.6754385964912281
0,22,1,0.4444444444444444
0,22,2,0.4177215189873418
0,22,3,0.6571428571428571
0,22,4,0.5737704918032787
0,22,5,0.4939759036144578
0,23,1,0.7413793103448276
0,23,2,0.5142857142857142
0,23,3,0.40384615384615385
0,23,4,0.4166666666666667
0,23,5,0.5733333333333334
0,24,1,0.488
0,24,2,0.6363636363636364
0,24,3,0.6530612244897959
0,24,4,0.6136363636363636
0,24,5,0.44
0,25,1,0.0
0,25,2,0.21951219512195122
0,25,3,0.2982456140350877
0,25,4,0.43023255813953487
0,25,5,0.5652173913043478
0,26,1,
0,26,2,0.3448275862068966
0,26,3,0.4305555555555556
0,26,4,0.5089285714285714
0,26,5,0.5887850467289719
1,2,1,0.4868421052631579
1,2,2,0.44285714285714284
1,2,3,0.5483870967741935
1,2,4,0.5
1,2,5,0.5806451612903226
1,3,1,0.782608695652174
1,3,2,0.6527777777777778
1,3,3,0.5581395348837209
1,3,4,0.5365853658536586
1,3,5,0.5
1,7,1,0.3157894736842105
1,7,2,0.5492957746478874
1,7,3,0.5217391304347826
1,7,4,0.4864864864864865
1,7,5,0.5402298850574713
1,8,1,0.6418918918918919
1,8,2,0.35185185185185186
1,8,3,0.46153846153846156
1,8,4,0.41304347826086957
1,8,5,0.5483870967741935
1,9,1,0.23529411764705882
1,9,2,0.4909090909090909
1,9,3,0.40540540540540543
1,9,4,0.5222222222222223
1,9,5,0.4523809523809524
1,10,1,
1,10,2,0.5294117647058824
1,10,3,0.3925233644859813
1,10,4,0.3434343434343434
1,10,5,0.3709677419354839
1,11,1,0.4857142857142857
1,11,2,0.47619047619047616
1,11,3,0.6
1,11,4,0.4782608695652174
1,11,5,0.5517241379310345
1,12,1,0.35714285714285715
1,12,2,0.4788732394366197
1,12,3,0.52
1,12,4,0.5301204819277109
1,12,5,0.47619047619047616
1,13,1,0.44025157232704404
1,13,2,0.4528301886792453
1,13,3,0.42857142857142855
1,13,4,0.2857142857142857
1,13,5,
1,15,1,0.3235294117647059
1,15,2,0.5
1,15,3,0.5844155844155844
1,15,4,0.39215686274509803
1,15,5,0.46153846153846156
1,16,1,0.4406779661016949
1,16,2,0.5238095238095238
1,16,3,0.3548387096774194
1,16,4,0.5806451612903226
1,16,5,0.4117647058823529
1,17,1,0.4823529411764706
1,17,2,0.3287671232876712
1,17,3,0.5714285714285714
1,17,4,0.38333333333333336
1,17,5,0.5641025641025641
1,18,1,0.6222222222222222
1,18,2,0.625
1,18,3,0.5714285714285714
1,18,4,0.4883720930232558
1,18,5,0.4032258064516129
1,19,1,0.13333333333333333
1,19,2,0.4594594594594595
1,19,3,0.6875
1,19,4,0.6
1,19,5,0.578125
1,20,1,0.15384615384615385
1,20,2,0.36538461538461536
1,20,3,0.475
1,20,4,0.5473684210526316
1,20,5,0.5625
1,21,1,0.0
1,21,2,0.3333333333333333
1,21,3,0.4230769230769231
1,21,4,0.5476190476190477
1,21,5,0.5701754385964912
1,22,1,0.3050847457627119
1,22,2,0.5833333333333334
1,22,3,0.5666666666666667
1,22,4,0.7037037037037037
1,22,5,0.5066666666666667
1,23,1,0.6363636363636364
1,23,2,0.49230769230769234
1,23,3,0.4927536231884058
1,23,4,0.39285714285714285
1,23,5,0.5254237288135594
1,24,1,0.49074074074074076
1,24,2,0.5466666666666666
1,24,3,0.5576923076923077
1,24,4,0.6470588235294118
1,24,5,0.5294117647058824
1,25,1,0.0
1,25,2,0.22448979591836735
1,25,3,0.27586206896551724
1,25,4,0.5
1,25,5,0.56
1,26,1,
1,26,2,0.35294117647058826
1,26,3,0.4805194805194805
1,26,4,0.5
1,26,5,0.6086956521739131
2,2,1,0.47619047619047616
2,2,2,0.4868421052631579
2,2,3,0.3709677419354839
2,2,4,0.453125
2,2,5,0.6363636363636364
2,3,1,0.811965811965812
2,3,2,0.543859649122807
