stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.49044289044289047,0.4927537449842983,0.05610791392705079,5.3400487115452214e-06,0.0031534380539569883,True,49.23095238095239,0.04118589303484558
mean_ub,1.0890511172545503,1.0626430842432273,0.2671393633539089,0.000697384207527125,0.072060823660658,True,54.46190476190477,0.09885489236693795
std_ub,0.7948249511494707,0.5496123879948618,0.19780204375194066,0.060129201128853074,0.09925484964129744,True,88.10476190476192,1.239686701428246
10q_ub,0.5340530687824412,0.6080687502993714,0.12886545385481687,0.005478321110415638,0.022084626307623628,True,36.36428571428572,0.574364030877648
30q_ub,0.6967239115754182,0.7348835558595401,0.1673561946117875,0.001456158451890716,0.029464254326829187,True,44.490476190476194,0.22801453135714503
50q_ub,0.8737024189713338,0.8892475335558965,0.21493741192824428,0.0002416505874471823,0.04643974163385888,True,47.90476190476191,0.07232391255251693
70q_ub,1.1194044986498284,1.134990009581049,0.2914094950895106,0.0002429081509871976,0.08516240197931073,True,49.20714285714286,0.05348319527623255
90q_ub,1.8005100969064642,1.7271486240462177,0.49287406608671497,0.0053819057002246875,0.2483067507210742,True,57.30238095238096,0.14884425436038157
mean_lb,-1.060519007826157,-1.0283944616411784,0.21636186007371375,0.0010319864675908243,0.04784444096214835,True,50.50714285714286,0.14847601224187063
std_lb,0.8644884999148749,0.5423169127868726,0.1999581140091168,0.10379453155257598,0.1437777789106594,True,93.57857142857144,1.6111953682125315
10q_lb,0.5419935323757272,0.5889170378905676,0.09654537524409765,0.0022018153698012545,0.011522824850824821,True,32.892857142857146,0.4860254092565564
30q_lb,0.6742808129161858,0.7075417258359846,0.12171630533361835,0.0011062883282584404,0.015921147312324985,True,38.21666666666667,0.2732658769803463
50q_lb,0.8293280940833938,0.8539937746574481,0.1589221063738008,0.0006083957981812783,0.025864631692466857,True,40.32619047619048,0.15520610151012035
70q_lb,1.0595794399283478,1.0910749159144502,0.22880928502172573,0.0009919650075911506,0.05334565391974461,True,40.11190476190477,0.1376494663803168
90q_lb,1.748626132332447,1.6812907113762128,0.43900495653220495,0.0045340589153532685,0.19725941077519615,True,55.44761904761905,0.1533819150656778
