draw,subj_idx,rt_quintile,subject_mean
0,2,1,0.38571428571428573
0,2,2,0.5362318840579711
0,2,3,0.4117647058823529
0,2,4,0.5
0,2,5,0.5094339622641509
0,3,1,0.7846153846153846
0,3,2,0.6274509803921569
0,3,3,0.5769230769230769
0,3,4,0.45454545454545453
0,3,5,0.5
0,7,1,0.5882352941176471
0,7,2,0.47368421052631576
0,7,3,0.515625
0,7,4,0.5211267605633803
0,7,5,0.5
0,8,1,0.5766423357664233
0,8,2,0.4691358024691358
0,8,3,0.36363636363636365
0,8,4,0.36363636363636365
0,8,5,0.4782608695652174
0,9,1,0.42857142857142855
0,9,2,0.3287671232876712
0,9,3,0.40625
0,9,4,0.5657894736842105
0,9,5,0.5316455696202531
0,10,1,
0,10,2,0.6923076923076923
0,10,3,0.41904761904761906
0,10,4,0.33035714285714285
0,10,5,0.4605263157894737
0,11,1,0.5669291338582677
0,11,2,0.5185185185185185
0,11,3,0.4222222222222222
0,11,4,0.47368421052631576
0,11,5,0.42857142857142855
0,12,1,0.3888888888888889
0,12,2,0.5205479452054794
0,12,3,0.5
0,12,4,0.4868421052631579
0,12,5,0.5714285714285714
0,13,1,0.4382716049382716
0,13,2,0.375
0,13,3,0.6190476190476191
0,13,4,0.3333333333333333
0,13,5,0.0
0,15,1,0.3888888888888889
0,15,2,0.45161290322580644
0,15,3,0.5294117647058824
0,15,4,0.6037735849056604
0,15,5,0.5483870967741935
0,16,1,0.46153846153846156
0,16,2,0.4794520547945205
0,16,3,0.4489795918367347
0,16,4,0.47368421052631576
0,16,5,0.3333333333333333
0,17,1,0.35106382978723405
0,17,2,0.5052631578947369
0,17,3,0.5344827586206896
0,17,4,0.4666666666666667
0,17,5,0.4642857142857143
0,18,1,0.631578947368421
0,18,2,0.5957446808510638
0,18,3,0.5185185185185185
0,18,4,0.48148148148148145
0,18,5,0.4603174603174603
0,19,1,0.23076923076923078
0,19,2,0.40425531914893614
0,19,3,0.45
0,19,4,0.5
0,19,5,0.46774193548387094
0,20,1,0.15384615384615385
0,20,2,0.3924050632911392
0,20,3,0.410958904109589
0,20,4,0.48148148148148145
0,20,5,0.527027027027027
0,21,1,0.0
0,21,2,0.2962962962962963
0,21,3,0.4342105263157895
0,21,4,0.5131578947368421
0,21,5,0.5357142857142857
0,22,1,0.4
0,22,2,0.5573770491803278
0,22,3,0.5915492957746479
0,22,4,0.5483870967741935
0,22,5,0.5274725274725275
0,23,1,0.6923076923076923
0,23,2,0.46551724137931033
0,23,3,0.3404255319148936
0,23,4,0.38028169014084506
0,23,5,0.47540983606557374
0,24,1,0.5689655172413793
0,24,2,0.625
0,24,3,0.6037735849056604
0,24,4,0.6274509803921569
0,24,5,0.5
0,25,1,0.2
0,25,2,0.14705882352941177
0,25,3,0.38181818181818183
0,25,4,0.4431818181818182
0,25,5,0.5289855072463768
0,26,1,
0,26,2,0.30434782608695654
0,26,3,0.45555555555555555
0,26,4,0.58
0,26,5,0.4953271028037383
1,2,1,0.4939759036144578
1,2,2,0.49230769230769234
1,2,3,0.5846153846153846
1,2,4,0.5
1,2,5,0.39215686274509803
1,3,1,0.75
1,3,2,0.7758620689655172
1,3,3,0.6190476190476191
1,3,4,0.6363636363636364
1,3,5,0.6756756756756757
1,7,1,0.38095238095238093
1,7,2,0.5128205128205128
1,7,3,0.48
1,7,4,0.5972222222222222
1,7,5,0.44594594594594594
1,8,1,0.6323529411764706
1,8,2,0.39344262295081966
1,8,3,0.375
1,8,4,0.3
1,8,5,0.37142857142857144
1,9,1,0.68
1,9,2,0.41333333333333333
1,9,3,0.5303030303030303
1,9,4,0.4050632911392405
1,9,5,0.5066666666666667
1,10,1,
1,10,2,0.6428571428571429
1,10,3,0.3504273504273504
1,10,4,0.32608695652173914
1,10,5,0.4411764705882353
1,11,1,0.4722222222222222
1,11,2,0.5
1,11,3,0.5102040816326531
1,11,4,0.47368421052631576
1,11,5,0.7142857142857143
1,12,1,0.3125
1,12,2,0.39473684210526316
1,12,3,0.5857142857142857
1,12,4,0.5657894736842105
1,12,5,0.3902439024390244
1,13,1,0.42857142857142855
1,13,2,0.43478260869565216
1,13,3,0.45
1,13,4,0.2727272727272727
1,13,5,0.5
1,15,1,0.1951219512195122
1,15,2,0.35294117647058826
1,15,3,0.5789473684210527
1,15,4,0.676923076923077
1,15,5,0.56
1,16,1,0.4074074074074074
1,16,2,0.5915492957746479
1,16,3,0.4166666666666667
1,16,4,0.5151515151515151
1,16,5,0.6
1,17,1,0.4
1,17,2,0.38461538461538464
1,17,3,0.4
1,17,4,0.5333333333333333
1,17,5,0.47619047619047616
1,18,1,0.6486486486486487
1,18,2,0.4864864864864865
1,18,3,0.5102040816326531
1,18,4,0.5272727272727272
1,18,5,0.47435897435897434
1,19,1,0.25
1,19,2,0.4772727272727273
1,19,3,0.45652173913043476
1,19,4,0.5423728813559322
1,19,5,0.6031746031746031
1,20,1,0.13636363636363635
1,20,2,0.35443037974683544
1,20,3,0.47368421052631576
1,20,4,0.5072463768115942
1,20,5,0.4864864864864865
1,21,1,0.0
1,21,2,0.13333333333333333
1,21,3,0.4805194805194805
1,21,4,0.5306122448979592
1,21,5,0.5555555555555556
1,22,1,0.47058823529411764
1,22,2,0.4745762711864407
1,22,3,0.53125
1,22,4,0.53125
1,22,5,0.5858585858585859
1,23,1,0.6
1,23,2,0.4626865671641791
1,23,3,0.40298507462686567
1,23,4,0.5333333333333333
1,23,5,0.45454545454545453
1,24,1,0.6296296296296297
1,24,2,0.5
1,24,3,0.5714285714285714
1,24,4,0.5454545454545454
1,24,5,0.5
1,25,1,0.0
1,25,2,0.2558139534883721
1,25,3,0.4444444444444444
1,25,4,0.42528735632183906
1,25,5,0.5343511450381679
1,26,1,
1,26,2,0.07407407407407407
1,26,3,0.48
1,26,4,0.5363636363636364
