draw,dwell_quintile,p_choose_s,draw_subject_sd,n_subjects,draw_subject_sem
0,E>>S,0.5661100548745341,0.13524184293900535,21,0.02951218963777719
0,E>S,0.4977841516581484,0.10702825323898334,21,0.023355479617454464
0,S~E,0.4508894132455029,0.0922264528716529,21,0.02012546196960128
0,S>E,0.4731754503248812,0.09509732147855651,21,0.020751936860144527
0,S>>E,0.5088969691867437,0.08897331034447732,21,0.01941556807068404
1,E>>S,0.5951026950684204,0.1327398038982525,21,0.028966199957016017
1,E>S,0.49471589624995055,0.11115931743233905,21,0.024256951730158
1,S~E,0.45874964924774353,0.08813457938256254,21,0.01923254196969939
1,S>E,0.45377283327810614,0.0966302091779525,21,0.02108644037987542
1,S>>E,0.5230839892903252,0.08331292382817786,21,0.01818037046717691
2,E>>S,0.5935085002150202,0.11112722442630557,21,0.02424994846209004
2,E>S,0.48982884563190043,0.10133718185217325,21,0.022113586026242343
2,S~E,0.4415601087789364,0.09347485599353729,21,0.020397885865022915
2,S>E,0.4813491787310275,0.09200613743106952,21,0.02007738519897076
2,S>>E,0.509044012680136,0.08228441801469163,21,0.017955932098462492
3,E>>S,0.5922575966137147,0.11015586683392467,21,0.02403798085761597
3,E>S,0.49716326010819384,0.11843312447180405,21,0.025844226556293762
3,S~E,0.45646646053914725,0.09393400261208787,21,0.020498079871432012
3,S>E,0.4605664506570183,0.09388720628115747,21,0.020487868074825596
3,S>>E,0.5008186740500619,0.10613308461137955,21,0.023160137808133315
4,E>>S,0.5788383592689698,0.12294216649240178,21,0.026828180193014032
4,E>S,0.5052836234208063,0.11456773754395161,21,0.025000729975952016
4,S~E,0.45308535624218366,0.08925964755790289,21,0.01947805197329382
4,S>E,0.4539888750653203,0.08963176337861183,21,0.019559254302612357
4,S>>E,0.5057165662614187,0.09604962976910861,21,0.020959747566163048
5,E>>S,0.5839633457302817,0.11680987747390334,21,0.02549000502107996
5,E>S,0.49324084866902024,0.10360947745173268,21,0.02260944157797073
5,S~E,0.45322393280525713,0.09221342907944852,21,0.020122619945143565
5,S>E,0.4755807983628947,0.0856969005728977,21,0.01870059684278134
5,S>>E,0.5002945478260807,0.09216799985239801,21,0.020112706475061554
6,E>>S,0.5920927421116629,0.122847906417371,21,0.026807610958307332
6,E>S,0.5162086807378975,0.11265102672067023,21,0.02458246938390306
6,S~E,0.4616386813990981,0.0861948724775086,21,0.01880926322120233
6,S>E,0.46604813531893946,0.09070504432153076,21,0.019793463405606625
6,S>>E,0.48550471079416513,0.08215491078255033,21,0.017927671303494316
7,E>>S,0.5821248784005943,0.11298268714513932,21,0.02465484362200548
7,E>S,0.5006674210972536,0.10378288116143777,21,0.02264728136966167
7,S~E,0.4519344712700317,0.07913990627164987,21,0.017269743380073616
7,S>E,0.4517316118140465,0.09068825424879823,21,0.019789799511358022
7,S>>E,0.510437051465437,0.08062650982278687,21,0.017594146870620067
8,E>>S,0.5635094408862374,0.1228092085711155,21,0.02679916639594078
8,E>S,0.5098848465522908,0.10930565502700203,21,0.023852449430855578
8,S~E,0.46028908034820454,0.08747609738352827,21,0.019088849417111753
8,S>E,0.4680940192763433,0.09736670622945622,21,0.02124715721261959
8,S>>E,0.5033860019161134,0.0795193766232708,21,0.017352550599611445
9,E>>S,0.5736222143293309,0.09680300346973905,21,0.021124147185673906
9,E>S,0.49274029531789537,0.12572736951387695,21,0.027435961320239257
9,S~E,0.44767557057600016,0.08471974615341411,21,0.01848736426692686
9,S>E,0.4542803409721283,0.09340692504349284,21,0.02038306211642249
9,S>>E,0.5206314552493401,0.06280830834062397,21,0.013705896535382647
10,E>>S,0.5973400770132793,0.10406922661054202,21,0.022709767069443876
10,E>S,0.5022219601621609,0.11306639722442884,21,0.024673110658899527
10,S~E,0.4590009472963194,0.07789098035725711,21,0.01699720540197377
10,S>E,0.46059226912407264,0.09276910956518095,21,0.02024387936838541
10,S>>E,0.5352516636055553,0.08328701439679755,21,0.018174716565723885
11,E>>S,0.6054267012623047,0.12162684809696812,21,0.02654115418777391
11,E>S,0.47965234320101463,0.12005271464575,21,0.02619765010709919
11,S~E,0.4509514593963335,0.09709617499365521,21,0.02118812245710016
11,S>E,0.44887366945251195,0.08714226054949517,21,0.019016000247505986
11,S>>E,0.5298521985684094,0.08733024570400308,21,0.01905702197131839
12,E>>S,0.6009995649187752,0.14936792086556186,21,0.03259475256021958
12,E>S,0.4910019103057513,0.12744789060187553,21,0.02781140980216884
12,S~E,0.4449935314095016,0.07696451939750634,21,0.016795035045950948
12,S>E,0.45463481200232214,0.10416968510645569,21,0.02273168891047844
12,S>>E,0.5053151519798019,0.09701501405180751,21,0.02117041168760059
13,E>>S,0.5854351598771438,0.13643649741328318,21,0.029772884616715088
13,E>S,0.5001677687261717,0.12421155249963035,21,0.027105182929406543
13,S~E,0.44348186218548685,0.10107896315268737,21,0.02205723808642105
13,S>E,0.4596589049205248,0.10167929681572022,21,0.022188241631805723
13,S>>E,0.49240623284312607,0.09042560834776486,21,0.01973248547695539
14,E>>S,0.582996384257045,0.10478013593382302,21,0.022864900202119353
14,E>S,0.4918711661521633,0.1121933414487956,21,0.024482594269482495
14,S~E,0.4531889865369756,0.0962544089334004,21,0.021004434043359093
14,S>E,0.4641624473069741,0.0931225393902589,21,0.020321004079160394
14,S>>E,0.5033446601738296,0.0829333737362121,21,0.018097545846869265
15,E>>S,0.6037902203987701,0.14018738912715298,21,0.03059139629301942
15,E>S,0.5036367585156643,0.11650768022581597,21,0.02542406017516721
15,S~E,0.44785016414567036,0.08675647971748847,21,0.018931815968251997
15,S>E,0.4483799048204637,0.09681619039709166,21,0.02112702480913949
15,S>>E,0.48901394049866564,0.07772658316741797,21,0.01696133099404635
16,E>>S,0.5810393205774145,0.13745018552423163,21,0.02999408949764357
16,E>S,0.5015887396760882,0.11253681534016545,21,0.024557546417408368
16,S~E,0.43882426989469814,0.09939656087472244,21,0.021690107810795316
16,S>E,0.45058760701175016,0.08393040623007575,21,0.018315116174176922
16,S>>E,0.5050153455433073,0.0978747071738362,21,0.021358012106940084
17,E>>S,0.5965636139933049,0.14315194297701828,21,0.031238314979628017
17,E>S,0.4893828340165414,0.1079800142050238,21,0.023563170887472784
17,S~E,0.4655797079968605,0.08673482912425037,21,0.018927091421473224
17,S>E,0.4665030457958637,0.10250524451081851,21,0.022368478195275356
17,S>>E,0.5086705971664617,0.07042196282557608,21,0.015367332154074698
18,E>>S,0.5944538656120877,0.11277297777036324,21,0.024609081284679136
18,E>S,0.4957039878581447,0.12020411245168594,21,0.02623068781689689
18,S~E,0.4553208749130402,0.09826831057350906,21,0.02144390341040641
18,S>E,0.45625721382328793,0.09619759596848951,21,0.020992036438018186
18,S>>E,0.5192466036241477,0.07018930449106559,21,0.015316561943171998
19,E>>S,0.5994614462223873,0.13977730883067122,21,0.03050190943589382
19,E>S,0.49320636432303033,0.1193136115019457,21,0.026036364578391424
19,S~E,0.45505690496360757,0.09349265145277853,21,0.02040176915259432
19,S>E,0.45950599579417606,0.0936121163393148,21,0.020427838528091546
19,S>>E,0.505969954475956,0.07986374856142679,21,0.017427698717412326
20,E>>S,0.5789818026853878,0.11380714596176036,21,0.02483475528555499
20,E>S,0.5026826456997369,0.10883566856020489,21,0.023749889975631638
20,S~E,0.45238014173134433,0.09105767024758976,21,0.019870412691233734
20,S>E,0.45073185724691345,0.09180501180343471,21,0.0200334959888359
20,S>>E,0.517875018495003,0.09091446690156456,21,0.019839163159189377
21,E>>S,0.5923797599410998,0.12711336963637684,21,0.02773841134283801
21,E>S,0.4938944679518065,0.11294926068657424,21,0.024647549370739347
21,S~E,0.45024622193459896,0.09864345777737853,21,0.021525767241762736
21,S>E,0.46207550664581665,0.07813566094340958,21,0.01705059908326567
21,S>>E,0.5226327987419428,0.07908869248031251,21,0.017258567614576992
22,E>>S,0.5866149118932009,0.12221012192382516,21,0.026668434971700527
22,E>S,0.48312287433500717,0.11127775648236206,21,0.024282797249775574
22,S~E,0.45527888101614183,0.10977270220357918,21,0.023954367480368922
22,S>E,0.4828168423996098,0.09808668574823255,21,0.02140426962422009
22,S>>E,0.5206427613719014,0.08363598630977985,21,0.0182508684803265
23,E>>S,0.6023719110353851,0.10208966013769548,21,0.0222777902501574
23,E>S,0.49438692814231233,0.10479633254580766,21,0.022868434592615613
23,S~E,0.4635298441814653,0.09466392345455835,21,0.020657361657715197
23,S>E,0.45980296333168724,0.10257118570897424,21,0.022382867744416533
23,S>>E,0.5071953130501473,0.07311877886653917,21,0.015955825660888243
24,E>>S,0.606908562114277,0.13228949561749503,21,0.028867934634033327
24,E>S,0.5047077980830137,0.12179537945844499,21,0.02657793074591399
24,S~E,0.44055321823449184,0.08638264357690467,21,0.018850238234359835
24,S>E,0.45541067334023405,0.08573035168199096,21,0.018707896473233728
24,S>>E,0.5003139524242017,0.07993085712796877,21,0.01744234300721988
25,E>>S,0.6005537699276888,0.13513968894112785,21,0.029489897807881194
25,E>S,0.5016081073810637,0.11665177205491399,21,0.025455503590113226
25,S~E,0.45372640165645023,0.094423756190238,21,0.020604952863991464
25,S>E,0.45364905549962825,0.08784687545711849,21,0.019169759826076375
25,S>>E,0.49264971673998736,0.0666757469630858,21,0.01454984083219346
26,E>>S,0.5911357757752705,0.12470219080800447,21,0.0272122489859289
26,E>S,0.5027230347395226,0.11260011361904831,21,0.024571359234281758
26,S~E,0.45317806796647403,0.09178380865265177,21,0.020028869082005695
26,S>E,0.4681633693419594,0.09226271557312078,21,0.020133375139809857
