,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.8924963442552878,0.10121036214595978,1.6997925992776945,1.8258154813597782,1.8891124800492642,1.9595373553319968,2.101884297270461,0.0017119581355441046
a_std,0.450554408244911,0.08112410419432967,0.32224365656438064,0.3938021981577996,0.4393036602964316,0.49661086782195774,0.6378584766658127,0.0016266035210635323
a_subj.2,1.8293985534377535,0.07192156789938212,1.6931434363380886,1.7776552174052067,1.8276269153125182,1.8768293300993861,1.975981832087557,0.0019001573607889792
a_subj.3,1.6806671692016477,0.053868638520744624,1.5797207320426274,1.6437642507782364,1.6790769911815535,1.7153320708623492,1.7921683597874034,0.001250960553105444
a_subj.7,2.1557945256916256,0.09105362591596801,1.9832439874405887,2.0928302400252172,2.1539126137743754,2.214253463783297,2.3410916167168203,0.0026003803030307335
a_subj.8,1.6949662695375387,0.06420936319449914,1.5750901743381798,1.6503651264382369,1.6940817971020015,1.73779757218182,1.8245050681364159,0.0014795098302547223
a_subj.9,2.035900833283555,0.07666729299257176,1.889133116562503,1.9835461827837542,2.0350182878970515,2.0862341146723082,2.1924833546837106,0.001824561745561513
a_subj.10,1.6235033530113128,0.058581279079414766,1.5115765267304961,1.5831146963725182,1.6218531947238162,1.663351831438147,1.7391727316994692,0.0012837745247747869
a_subj.11,1.572342575105926,0.070783217286074,1.4402857216913627,1.524092782607187,1.5692398283170332,1.6207268857027726,1.7142522575769785,0.0022726808359069843
a_subj.12,1.937346054620671,0.07060197038785075,1.8039694734125988,1.8873759573922873,1.9356836858821629,1.9839819586057061,2.080385694673089,0.001792665530206835
a_subj.13,1.0564545414928885,0.04114989649498151,0.9792093003371762,1.02876178792987,1.0545586400337283,1.0833367355183199,1.1397342951683302,0.0010200492349652312
a_subj.15,1.6890745816192807,0.06751744633218318,1.5625626612103458,1.6436486847312461,1.6865933973101783,1.7319809170918383,1.8318246383893126,0.001796623450923658
a_subj.16,1.2291745137954297,0.053111287707899794,1.1251434092441448,1.1917821696260404,1.2320071953923653,1.2664359972503882,1.3286754738705329,0.0018236324070916086
a_subj.17,1.6948328814407025,0.06238438604384133,1.574734852908232,1.653445111182957,1.6938058280502235,1.7353097033738045,1.8207604859365967,0.0016598795315367725
a_subj.18,2.0219040764791383,0.08169627294914039,1.867576487985675,1.9667395170218778,2.020758706886488,2.0756763667974254,2.188377798755667,0.0022633412133335005
a_subj.19,2.238382452599985,0.10166126192724981,2.0458873250897245,2.170244460401414,2.2355229636488323,2.306128940536887,2.44327863358738,0.0025175837856523386
a_subj.20,2.18742394200719,0.08096128395323027,2.036183586441639,2.131625695874414,2.1851716474379916,2.2392582459831125,2.3557449939320256,0.002249153795778215
a_subj.21,2.6568827929174867,0.11625667376699436,2.435198855189392,2.576985095448233,2.6563296473577473,2.7324971469011676,2.89002470552497,0.0034998383395078735
a_subj.22,2.355752635198686,0.1232303040612612,2.121901628932822,2.2701138051013205,2.353209935140739,2.4391095378815266,2.606079267663958,0.004542115581684196
a_subj.23,1.835840654670662,0.06511160076487715,1.7160433444051622,1.791127818167586,1.8339323689553086,1.8780490222525132,1.973317403687397,0.0016458186127280366
a_subj.24,1.4508821622353252,0.04261901863131916,1.3714935856858828,1.4215493002655688,1.4498950339463672,1.4796466033279219,1.5359439541558846,0.00084456385282677
a_subj.25,2.291785749661188,0.08067894270051962,2.1402939182939464,2.2350014388461132,2.2888474828957532,2.345640717494447,2.454655918943807,0.002087260216455873
a_subj.26,2.422981085190352,0.10002220243305246,2.2352015036451927,2.3545801125124193,2.41927202139195,2.4882566889030397,2.6311536220323206,0.00273671030485982
