draw,rt_quintile,p_choose_s,draw_subject_sd,n_subjects,draw_subject_sem
0,1,0.4699710969201876,0.13280472093266574,19,0.030467492514242665
0,2,0.4921786292045554,0.09488531578657476,21,0.020705673425322247
0,3,0.47948645659875877,0.06521392179878303,21,0.014230844428945427
0,4,0.4538498989842249,0.1011661877060855,21,0.02207627204444037
0,5,0.5322365567007905,0.06787177938076679,20,0.015176591244926312
1,1,0.4563580878182057,0.15667567435749566,19,0.03594386481239002
1,2,0.46758045107739016,0.08966593281288911,21,0.019566710684470905
1,3,0.47725770706300646,0.07059309197545696,21,0.015404675596119582
1,4,0.4700496972445023,0.09509439603101813,21,0.020751298475154705
1,5,0.5160403951468664,0.14878120082353183,21,0.03246671975048861
2,1,0.5188287160647872,0.14013490442826151,19,0.032149151940290645
2,2,0.4809034360180346,0.09433836661564934,21,0.020586319331176578
2,3,0.4947776884823744,0.0934270199861975,21,0.020387447192423913
2,4,0.4740490665401654,0.10294091169936127,21,0.022463548570004203
2,5,0.5052316483202418,0.09017539860843403,20,0.020163832118659842
3,1,0.4577118597743506,0.1554480996347359,19,0.035662239856487137
3,2,0.4940212034243441,0.07042329210206218,21,0.015367622225985034
3,3,0.48498778119994607,0.08868956245575972,21,0.019353649205049166
3,4,0.49678662889739233,0.07031179222378188,21,0.015343290957785137
3,5,0.49098477541670943,0.12937650994964575,21,0.028232269047307575
4,1,0.5415787361106871,0.16171661398307574,19,0.037100335675989665
4,2,0.4901783960231465,0.11184324629307382,21,0.024406197243219047
4,3,0.45487405581183976,0.08948137939825629,21,0.019526437827693883
4,4,0.48725309728206834,0.07545293566787453,21,0.01646518043355564
4,5,0.4689595367671473,0.11681758257655168,21,0.02549168641232393
5,1,0.47790692350119474,0.09631039270829135,19,0.02209511942253466
5,2,0.48675167443920014,0.10715214203807127,21,0.023382514369815303
5,3,0.4915726803958478,0.08310026274379856,21,0.018133964014008363
5,4,0.47726331705539726,0.08646696312980927,21,0.018868638269300318
5,5,0.517804854944331,0.07738598755983465,21,0.016887006939135873
6,1,0.4776158669238052,0.14797948308080605,19,0.0339488217087695
6,2,0.45277952594453436,0.08708942691004339,21,0.01900447100217133
6,3,0.48694013465373864,0.08800456089088741,21,0.019204169608754377
6,4,0.48308951394013055,0.08102024854101857,21,0.017680067703016812
6,5,0.5498123379491786,0.13888217884579526,21,0.030306576059107214
7,1,0.5260045802549645,0.16206421156900994,19,0.037180080031258396
7,2,0.47549344832244567,0.07905923472447358,21,0.017252139405246735
