,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.669127015317068,0.07633152561908249,1.5259895468553506,1.6183612633814521,1.665987957921094,1.7173023901700009,1.824402238537152,0.0016170495087399583
a_std,0.3339973672985595,0.0629017430253535,0.23549460007926482,0.2894291820516387,0.32392362344197606,0.3693039234042277,0.4827685496467089,0.0015230602484638095
a_subj.2,1.619581902077994,0.05709636038461203,1.5129112444630584,1.5800540373738574,1.6204512656004877,1.6571703725345301,1.733511757602813,0.0016309168374085054
a_subj.3,1.571194151426964,0.046353020905899614,1.481188572270017,1.5403124156638544,1.5699578919698842,1.6019126646856117,1.665875737933128,0.001076524035542177
a_subj.7,1.8673655447905426,0.07044435016154797,1.731568286908299,1.820606595122217,1.8659319160861985,1.9140766634725868,2.0094094396249607,0.002178195739984047
a_subj.8,1.4920125122055548,0.04943401845720404,1.398626351228982,1.45802473354787,1.4915078681195615,1.5249133707498017,1.5927776309178803,0.0013643863736143703
a_subj.9,1.785143004200765,0.05905657775713452,1.6746508271973966,1.745810704941616,1.7826436031738035,1.8230252713756314,1.9083592144992085,0.0016506857432081537
a_subj.10,1.54848952706764,0.05169088964772169,1.4507706422948095,1.5133468111372537,1.548014125072751,1.582801690970994,1.655786983496874,0.0013639996914894166
a_subj.11,1.3993046730852403,0.05752560873647139,1.2914230649773992,1.3589297120038313,1.3969505498528836,1.437766638183493,1.5208442466606225,0.002143014580627077
a_subj.12,1.764397547143662,0.06180809009784437,1.6477468644110433,1.7231019229179347,1.7620183600544401,1.8038284600299825,1.8913174453242116,0.0018474481486203092
a_subj.13,0.9739398349917218,0.034397387046116674,0.9092949355609938,0.949431742948826,0.9743816698032709,0.9965199000519483,1.0434862150414221,0.0008716498840719196
a_subj.15,1.5215393810021178,0.0504813950640404,1.4249824477721122,1.487012542419811,1.5207018046360505,1.5547750649652938,1.6231277212745314,0.0012252787305324466
a_subj.16,1.180531865438931,0.040732500939460965,1.0953843321326464,1.1554299459242996,1.1819722384442193,1.2079223974971431,1.2570425644118919,0.0014388993311081034
a_subj.17,1.5454449400705443,0.054584523492532525,1.444622051196916,1.5080312729356864,1.5440470268358504,1.5792654621617763,1.6603941506835123,0.001653535756497984
a_subj.18,1.7205216351672612,0.05966798345844484,1.6112362700943355,1.6786862371758369,1.7196126717883888,1.760132974870162,1.8405496415391047,0.0015335153262551807
a_subj.19,1.8739561844671568,0.08406136042505415,1.7096785068258993,1.8174514050615858,1.8742529194857855,1.9313355827538425,2.037114890625334,0.002805409211080529
a_subj.20,1.9219730557429833,0.06638971136022317,1.7982882249834555,1.8759471571995452,1.9188172909846113,1.9669432989667393,2.0532679715223847,0.0017901906123460455
a_subj.21,2.2542255750929145,0.0897157959367357,2.081870365116896,2.1940289243715694,2.2508039916445877,2.314610989984489,2.43849841716501,0.003306091160036654
a_subj.22,1.7899282257373637,0.0773395886541603,1.6485973540170837,1.7372897448252917,1.7865903456570011,1.8376418561567882,1.9573578693651226,0.0025159038426058123
a_subj.23,1.6535430435767635,0.050574043092364844,1.5583954681779877,1.618340676769035,1.6537241733962837,1.6857138179173152,1.7560739407709132,0.0014642365468591624
a_subj.24,1.4225944727850155,0.041904235233700765,1.3434080390107925,1.3951883285981292,1.4213607914643134,1.4489412136478155,1.510098098770977,0.0009133798991181928
a_subj.25,2.047918691301386,0.06618888683280835,1.926595573586833,2.002487169186641,2.044525281913483,2.092796730397165,2.1847044080149516,0.0018197806097382974
a_subj.26,2.025905387515565,0.07749834919309001,1.8777537709883454,1.974142712858955,2.0241579173412942,2.074762943843679,2.1891364362279226,0.0025885397534539632
t,0.425024971913734,0.017828429234481902,0.392647227399595,0.4126559061199412,0.4245756009962251,0.43625007471162824,0.46193260178344603,0.0003969860411736739
t_std,0.07909331290851182,0.014180581947645475,0.056976774277147854,0.06923967053778925,0.0771835841989929,0.08652329845855684,0.11339179548209877,0.00033527123936126556
t_subj.2,0.390765315859673,0.014252400276902145,0.3655723173902149,0.3808408039005881,0.3891841765821839,0.4004369556069506,0.4200011290413917,0.0004123367211600678
