draw,rt_quintile,p_choose_S
0,1,0.0
0,2,0.0
0,3,0.46076146076146074
0,4,1.0
0,5,1.0
1,1,0.0
1,2,0.0
1,3,0.4592074592074592
1,4,1.0
1,5,1.0
2,1,0.0
2,2,0.0
2,3,0.466977466977467
2,4,1.0
2,5,1.0
3,1,0.0
3,2,0.0
3,3,0.45843045843045843
3,4,1.0
3,5,1.0
4,1,0.0
4,2,0.0
4,3,0.4428904428904429
4,4,1.0
4,5,1.0
5,1,0.0
5,2,0.0
5,3,0.4428904428904429
5,4,1.0
5,5,1.0
6,1,0.0
6,2,0.0
6,3,0.48795648795648794
6,4,1.0
6,5,1.0
7,1,0.0
7,2,0.0
7,3,0.4358974358974359
7,4,1.0
7,5,1.0
8,1,0.0
8,2,0.0
8,3,0.45843045843045843
8,4,1.0
8,5,1.0
9,1,0.0
9,2,0.0
9,3,0.473970473970474
9,4,1.0
9,5,1.0
10,1,0.0
10,2,0.0
10,3,0.4296814296814297
10,4,1.0
10,5,1.0
11,1,0.0
11,2,0.0
11,3,0.4560994560994561
11,4,1.0
11,5,1.0
12,1,0.0
12,2,0.0
12,3,0.46464646464646464
12,4,1.0
12,5,1.0
13,1,0.0
13,2,0.0
13,3,0.44988344988344986
13,4,1.0
13,5,1.0
14,1,0.0
14,2,0.0
14,3,0.47863247863247865
14,4,1.0
14,5,1.0
15,1,0.0
15,2,0.0
15,3,0.4677544677544678
15,4,1.0
15,5,1.0
16,1,0.0
16,2,0.0
16,3,0.45454545454545453
16,4,1.0
16,5,1.0
17,1,0.0
17,2,0.0
17,3,0.4397824397824398
17,4,1.0
17,5,1.0
18,1,0.0
18,2,0.0
18,3,0.4094794094794095
18,4,1.0
18,5,1.0
19,1,0.0
19,2,0.0
19,3,0.47785547785547783
19,4,1.0
19,5,1.0
20,1,0.0
20,2,0.0
20,3,0.45376845376845376
20,4,1.0
20,5,1.0
21,1,0.0
21,2,0.0
21,3,0.49417249417249415
21,4,1.0
21,5,1.0
22,1,0.0
22,2,0.0
22,3,0.47707847707847706
22,4,1.0
22,5,1.0
23,1,0.0
23,2,0.0
23,3,0.445998445998446
23,4,1.0
23,5,1.0
24,1,0.0
24,2,0.0
24,3,0.48951048951048953
24,4,1.0
24,5,1.0
25,1,0.0
25,2,0.0
25,3,0.4716394716394716
25,4,1.0
25,5,1.0
26,1,0.0
26,2,0.0
26,3,0.45765345765345766
26,4,1.0
26,5,1.0
27,1,0.0
27,2,0.0
27,3,0.48174048174048173
27,4,1.0
27,5,1.0
28,1,0.0
28,2,0.0
28,3,0.47241647241647244
28,4,1.0
28,5,1.0
29,1,0.0
29,2,0.0
29,3,0.4234654234654235
29,4,1.0
29,5,1.0
30,1,0.0
30,2,0.0
30,3,0.4188034188034188
30,4,1.0
30,5,1.0
31,1,0.0
31,2,0.0
31,3,0.5003885003885004
31,4,1.0
31,5,1.0
32,1,0.0
32,2,0.0
32,3,0.43745143745143744
32,4,1.0
32,5,1.0
33,1,0.0
33,2,0.0
33,3,0.4281274281274281
33,4,1.0
33,5,1.0
34,1,0.0
34,2,0.0
34,3,0.49106449106449107
34,4,1.0
34,5,1.0
35,1,0.0
35,2,0.0
35,3,0.43356643356643354
35,4,1.0
35,5,1.0
36,1,0.0
36,2,0.0
36,3,0.45998445998445997
36,4,1.0
36,5,1.0
37,1,0.0
37,2,0.0
37,3,0.4467754467754468
37,4,1.0
37,5,1.0
38,1,0.0
38,2,0.0
38,3,0.49572649572649574
38,4,1.0
38,5,1.0
39,1,0.0
39,2,0.0
39,3,0.46386946386946387
39,4,1.0
39,5,1.0
40,1,0.0
40,2,0.0
40,3,0.46464646464646464
40,4,1.0
40,5,1.0
41,1,0.0
41,2,0.0
41,3,0.44133644133644134
41,4,1.0
41,5,1.0
42,1,0.0
42,2,0.0
42,3,0.47086247086247085
42,4,1.0
42,5,1.0
43,1,0.0
43,2,0.0
43,3,0.473970473970474
43,4,1.0
43,5,1.0
44,1,0.0
44,2,0.0
44,3,0.47474747474747475
44,4,1.0
44,5,1.0
45,1,0.0
45,2,0.0
45,3,0.45843045843045843
45,4,1.0
45,5,1.0
46,1,0.0
46,2,0.0
46,3,0.46076146076146074
46,4,1.0
46,5,1.0
47,1,0.0
47,2,0.0
47,3,0.49106449106449107
47,4,1.0
47,5,1.0
48,1,0.0
48,2,0.0
48,3,0.46076146076146074
48,4,1.0
48,5,1.0
49,1,0.0
49,2,0.0
49,3,0.46386946386946387
49,4,1.0
49,5,1.0
50,1,0.0
50,2,0.0
50,3,0.4444444444444444
50,4,1.0
50,5,1.0
51,1,0.0
51,2,0.0
51,3,0.4156954156954157
51,4,1.0
51,5,1.0
52,1,0.0
52,2,0.0
52,3,0.4662004662004662
52,4,1.0
52,5,1.0
53,1,0.0
53,2,0.0
53,3,0.4366744366744367
53,4,1.0
53,5,1.0
54,1,0.0
54,2,0.0
54,3,0.4840714840714841
54,4,1.0
54,5,1.0
55,1,0.0
55,2,0.0
55,3,0.4491064491064491
55,4,1.0
55,5,1.0
56,1,0.0
56,2,0.0
56,3,0.43745143745143744
56,4,1.0
56,5,1.0
57,1,0.0
57,2,0.0
57,3,0.4716394716394716
57,4,1.0
57,5,1.0
58,1,0.0
58,2,0.0
58,3,0.4654234654234654
58,4,1.0
58,5,1.0
59,1,0.0
59,2,0.0
59,3,0.48484848484848486
59,4,1.0
59,5,1.0
60,1,0.0
60,2,0.0
60,3,0.45843045843045843
60,4,1.0
60,5,1.0
61,1,0.0
61,2,0.0
61,3,0.41802641802641805
61,4,1.0
61,5,1.0
62,1,0.0
62,2,0.0
62,3,0.47707847707847706
62,4,1.0
62,5,1.0
63,1,0.0
63,2,0.0
63,3,0.45143745143745145
63,4,1.0
63,5,1.0
64,1,0.0
64,2,0.0
64,3,0.43045843045843046
64,4,1.0
64,5,1.0
65,1,0.0
65,2,0.0
65,3,0.4156954156954157
65,4,1.0
65,5,1.0
66,1,0.0
66,2,0.0
66,3,0.43045843045843046
66,4,1.0
66,5,1.0
67,1,0.0
67,2,0.0
67,3,0.46853146853146854
67,4,1.0
67,5,1.0
68,1,0.0
68,2,0.0
68,3,0.4568764568764569
68,4,1.0
68,5,1.0
69,1,0.0
69,2,0.0
69,3,0.47707847707847706
69,4,1.0
69,5,1.0
70,1,0.0
70,2,0.0
70,3,0.4405594405594406
70,4,1.0
70,5,1.0
71,1,0.0
71,2,0.0
71,3,0.47086247086247085
71,4,1.0
71,5,1.0
72,1,0.0
72,2,0.0
72,3,0.45998445998445997
72,4,1.0
72,5,1.0
73,1,0.0
73,2,0.0
73,3,0.4972804972804973
73,4,1.0
73,5,1.0
74,1,0.0
74,2,0.0
74,3,0.48174048174048173
74,4,1.0
74,5,1.0
75,1,0.0
75,2,0.0
75,3,0.45843045843045843
75,4,1.0
75,5,1.0
76,1,0.0
76,2,0.0
76,3,0.4296814296814297
76,4,1.0
76,5,1.0
77,1,0.0
77,2,0.0
77,3,0.4506604506604507
77,4,1.0
77,5,1.0
78,1,0.0
78,2,0.0
78,3,0.43123543123543123
78,4,1.0
78,5,1.0
79,1,0.0
79,2,0.0
79,3,0.46076146076146074
79,4,1.0
79,5,1.0
80,1,0.0
80,2,0.0
80,3,0.45143745143745145
80,4,1.0
80,5,1.0
81,1,0.0
81,2,0.0
81,3,0.41025641025641024
81,4,1.0
81,5,1.0
82,1,0.0
82,2,0.0
82,3,0.4188034188034188
82,4,1.0
82,5,1.0
83,1,0.0
83,2,0.0
83,3,0.41802641802641805
83,4,1.0
83,5,1.0
84,1,0.0
84,2,0.0
84,3,0.439005439005439
84,4,1.0
84,5,1.0
85,1,0.0
85,2,0.0
85,3,0.43278943278943277
85,4,1.0
85,5,1.0
86,1,0.0
86,2,0.0
86,3,0.4397824397824398
86,4,1.0
86,5,1.0
87,1,0.0
87,2,0.0
87,3,0.4281274281274281
87,4,1.0
87,5,1.0
88,1,0.0
88,2,0.0
88,3,0.4226884226884227
88,4,1.0
88,5,1.0
89,1,0.0
89,2,0.0
89,3,0.44988344988344986
89,4,1.0
89,5,1.0
90,1,0.0
90,2,0.0
90,3,0.4677544677544678
90,4,1.0
90,5,1.0
91,1,0.0
91,2,0.0
91,3,0.445998445998446
91,4,1.0
91,5,1.0
92,1,0.0
92,2,0.0
92,3,0.4662004662004662
92,4,1.0
92,5,1.0
93,1,0.0
93,2,0.0
93,3,0.44133644133644134
93,4,1.0
93,5,1.0
94,1,0.0
94,2,0.0
94,3,0.5003885003885004
94,4,1.0
94,5,1.0
95,1,0.0
95,2,0.0
95,3,0.46464646464646464
95,4,1.0
95,5,1.0
96,1,0.0
96,2,0.0
96,3,0.4491064491064491
96,4,1.0
96,5,1.0
97,1,0.0
97,2,0.0
97,3,0.4731934731934732
97,4,1.0
97,5,1.0
98,1,0.0
98,2,0.0
98,3,0.4491064491064491
98,4,1.0
98,5,1.0
99,1,0.0
99,2,0.0
99,3,0.4382284382284382
99,4,1.0
99,5,1.0
100,1,0.0
100,2,0.0
100,3,0.4125874125874126
100,4,1.0
100,5,1.0
101,1,0.0
101,2,0.0
101,3,0.4560994560994561
101,4,1.0
101,5,1.0
102,1,0.0
102,2,0.0
102,3,0.44988344988344986
102,4,1.0
102,5,1.0
103,1,0.0
103,2,0.0
103,3,0.46153846153846156
103,4,1.0
103,5,1.0
104,1,0.0
104,2,0.0
104,3,0.4467754467754468
104,4,1.0
104,5,1.0
105,1,0.0
105,2,0.0
105,3,0.46231546231546233
105,4,1.0
105,5,1.0
106,1,0.0
106,2,0.0
106,3,0.43278943278943277
106,4,1.0
106,5,1.0
107,1,0.0
107,2,0.0
107,3,0.40404040404040403
107,4,1.0
107,5,1.0
108,1,0.0
108,2,0.0
108,3,0.4677544677544678
108,4,1.0
108,5,1.0
109,1,0.0
109,2,0.0
109,3,0.432012432012432
109,4,1.0
109,5,1.0
110,1,0.0
110,2,0.0
110,3,0.43045843045843046
110,4,1.0
110,5,1.0
111,1,0.0
111,2,0.0
111,3,0.48174048174048173
111,4,1.0
111,5,1.0
112,1,0.0
112,2,0.0
112,3,0.42657342657342656
112,4,1.0
112,5,1.0
113,1,0.0
113,2,0.0
113,3,0.44366744366744365
113,4,1.0
113,5,1.0
114,1,0.0
114,2,0.0
114,3,0.4560994560994561
114,4,1.0
114,5,1.0
115,1,0.0
115,2,0.0
115,3,0.4358974358974359
115,4,1.0
115,5,1.0
116,1,0.0
116,2,0.0
116,3,0.44988344988344986
116,4,1.0
116,5,1.0
117,1,0.0
117,2,0.0
117,3,0.4382284382284382
117,4,1.0
117,5,1.0
