draw,dwell_quintile,p_choose_S
0,E>>S,0.5843045843045843
0,E>S,0.4891135303265941
0,S~E,0.44616576297443844
0,S>E,0.46297739672642246
0,S>>E,0.5042735042735043
1,E>>S,0.5912975912975913
1,E>S,0.5077760497667185
1,S~E,0.4500387296669249
1,S>E,0.4512860483242401
1,S>>E,0.5042735042735043
2,E>>S,0.5672105672105672
2,E>S,0.4891135303265941
2,S~E,0.4322230828814872
2,S>E,0.4302416212003118
2,S>>E,0.5128205128205128
3,E>>S,0.578088578088578
3,E>S,0.484447900466563
3,S~E,0.45081332300542215
3,S>E,0.4481683554169914
3,S>>E,0.5112665112665112
4,E>>S,0.5804195804195804
4,E>S,0.4797822706065319
4,S~E,0.4539116963594113
4,S>E,0.44583008573655497
4,S>>E,0.5128205128205128
5,E>>S,0.5710955710955711
5,E>S,0.5
5,S~E,0.46630518977536795
5,S>E,0.4466095089633671
5,S>>E,0.5019425019425019
6,E>>S,0.5804195804195804
6,E>S,0.49300155520995337
6,S~E,0.45313710302091403
6,S>E,0.4520654715510522
6,S>>E,0.4801864801864802
7,E>>S,0.5912975912975913
7,E>S,0.4860031104199067
7,S~E,0.4407436096049574
7,S>E,0.45752143413873736
7,S>>E,0.515928515928516
8,E>>S,0.574980574980575
8,E>S,0.4751166407465008
8,S~E,0.45236250968241676
8,S>E,0.4520654715510522
8,S>>E,0.4988344988344988
9,E>>S,0.5703185703185704
9,E>S,0.49222395023328147
9,S~E,0.4314484895429899
9,S>E,0.45518316445830087
9,S>>E,0.49417249417249415
10,E>>S,0.5928515928515928
10,E>S,0.48522550544323484
10,S~E,0.4399690162664601
10,S>E,0.4583008573655495
10,S>>E,0.49417249417249415
11,E>>S,0.5710955710955711
11,E>S,0.48289269051321926
11,S~E,0.43919442292796285
11,S>E,0.4489477786438036
11,S>>E,0.5019425019425019
12,E>>S,0.5602175602175602
12,E>S,0.5007776049766719
12,S~E,0.4322230828814872
12,S>E,0.4372564302416212
12,S>>E,0.5104895104895105
13,E>>S,0.5672105672105672
13,E>S,0.505443234836703
13,S~E,0.44616576297443844
13,S>E,0.45908028059236167
13,S>>E,0.4933954933954934
14,E>>S,0.5796425796425796
14,E>S,0.4891135303265941
14,S~E,0.4384198295894655
14,S>E,0.44972720187061577
14,S>>E,0.5050505050505051
15,E>>S,0.5734265734265734
15,E>S,0.48755832037325036
15,S~E,0.42989930286599537
15,S>E,0.4466095089633671
15,S>>E,0.4996114996114996
16,E>>S,0.5796425796425796
16,E>S,0.4704510108864697
16,S~E,0.42835011618900076
16,S>E,0.46141855027279816
16,S>>E,0.4988344988344988
17,E>>S,0.5718725718725719
17,E>S,0.48833592534992226
17,S~E,0.447714949651433
17,S>E,0.4676539360872954
17,S>>E,0.5003885003885004
18,E>>S,0.5726495726495726
18,E>S,0.4821150855365474
18,S~E,0.42602633617350893
18,S>E,0.44972720187061577
18,S>>E,0.5120435120435121
19,E>>S,0.5718725718725719
19,E>S,0.4906687402799378
19,S~E,0.4314484895429899
19,S>E,0.4544037412314887
19,S>>E,0.5097125097125097
20,E>>S,0.5905205905205905
20,E>S,0.49222395023328147
20,S~E,0.4469403563129357
20,S>E,0.4388152766952455
20,S>>E,0.4933954933954934
21,E>>S,0.5912975912975913
21,E>S,0.52099533437014
21,S~E,0.4322230828814872
21,S>E,0.4450506625097428
21,S>>E,0.48951048951048953
22,E>>S,0.5734265734265734
22,E>S,0.49455676516329705
22,S~E,0.45236250968241676
22,S>E,0.4466095089633671
22,S>>E,0.49106449106449107
23,E>>S,0.5695415695415695
23,E>S,0.49144634525660963
23,S~E,0.4415182029434547
23,S>E,0.4372564302416212
23,S>>E,0.4988344988344988
24,E>>S,0.5889665889665889
24,E>S,0.4953343701399689
24,S~E,0.447714949651433
24,S>E,0.460639127045986
24,S>>E,0.5112665112665112
25,E>>S,0.581973581973582
25,E>S,0.4937791601866252
25,S~E,0.43687064291247096
25,S>E,0.4442712392829306
25,S>>E,0.5081585081585082
26,E>>S,0.5889665889665889
26,E>S,0.4782270606531882
26,S~E,0.44461657629744383
26,S>E,0.4442712392829306
26,S>>E,0.48562548562548563
27,E>>S,0.5703185703185704
27,E>S,0.49222395023328147
27,S~E,0.43919442292796285
27,S>E,0.4450506625097428
27,S>>E,0.5019425019425019
28,E>>S,0.578088578088578
28,E>S,0.4867807153965785
28,S~E,0.447714949651433
28,S>E,0.436477007014809
28,S>>E,0.49417249417249415
29,E>>S,0.581973581973582
29,E>S,0.5038880248833593
29,S~E,0.4430673896204493
29,S>E,0.4380358534684334
29,S>>E,0.49572649572649574
30,E>>S,0.5827505827505828
30,E>S,0.4821150855365474
30,S~E,0.4492641363284276
30,S>E,0.4403741231488698
30,S>>E,0.5066045066045066
31,E>>S,0.5757575757575758
31,E>S,0.49300155520995337
31,S~E,0.44229279628195195
31,S>E,0.4512860483242401
31,S>>E,0.5003885003885004
32,E>>S,0.5703185703185704
32,E>S,0.49455676516329705
32,S~E,0.4252517428350116
32,S>E,0.4395946999220577
32,S>>E,0.5003885003885004
33,E>>S,0.5874125874125874
33,E>S,0.5007776049766719
33,S~E,0.43919442292796285
33,S>E,0.4419329696024942
33,S>>E,0.48562548562548563
34,E>>S,0.5889665889665889
34,E>S,0.47200622083981336
34,S~E,0.4492641363284276
34,S>E,0.45908028059236167
34,S>>E,0.49572649572649574
35,E>>S,0.5811965811965812
35,E>S,0.5007776049766719
35,S~E,0.43532145623547636
35,S>E,0.4388152766952455
35,S>>E,0.5042735042735043
