draw,rt_quintile,p_choose_S
0,1,0.48484848484848486
0,2,0.48484848484848486
0,3,0.4755244755244755
0,4,0.526029526029526
0,5,0.5151515151515151
1,1,0.5058275058275058
1,2,0.4491064491064491
1,3,0.4840714840714841
1,4,0.5563325563325563
1,5,0.508935508935509
2,1,0.4996114996114996
2,2,0.4483294483294483
2,3,0.48951048951048953
2,4,0.4700854700854701
2,5,0.5236985236985237
3,1,0.5128205128205128
3,2,0.47474747474747475
3,3,0.5019425019425019
3,4,0.4933954933954934
3,5,0.48951048951048953
4,1,0.45765345765345766
4,2,0.4662004662004662
4,3,0.5019425019425019
4,4,0.5314685314685315
4,5,0.515928515928516
5,1,0.49417249417249415
5,2,0.45143745143745145
5,3,0.48329448329448327
5,4,0.5299145299145299
5,5,0.5268065268065268
6,1,0.47086247086247085
6,2,0.46853146853146854
6,3,0.4933954933954934
6,4,0.5151515151515151
6,5,0.5104895104895105
7,1,0.4794094794094794
7,2,0.4972804972804973
7,3,0.46464646464646464
7,4,0.5229215229215229
7,5,0.5268065268065268
8,1,0.4662004662004662
8,2,0.43278943278943277
8,3,0.5135975135975136
8,4,0.5291375291375291
8,5,0.5112665112665112
9,1,0.48329448329448327
9,2,0.45843045843045843
9,3,0.48174048174048173
9,4,0.5128205128205128
9,5,0.5066045066045066
10,1,0.49805749805749805
10,2,0.4553224553224553
10,3,0.48484848484848486
10,4,0.5050505050505051
10,5,0.5268065268065268
11,1,0.47863247863247865
11,2,0.46231546231546233
11,3,0.48329448329448327
11,4,0.5019425019425019
11,5,0.5174825174825175
12,1,0.466977466977467
12,2,0.466977466977467
12,3,0.4700854700854701
12,4,0.5322455322455323
12,5,0.5042735042735043
13,1,0.49106449106449107
13,2,0.4560994560994561
13,3,0.5034965034965035
13,4,0.4996114996114996
13,5,0.5205905205905206
14,1,0.48795648795648794
14,2,0.4763014763014763
14,3,0.4801864801864802
14,4,0.5128205128205128
14,5,0.5042735042735043
15,1,0.48484848484848486
15,2,0.4382284382284382
15,3,0.4972804972804973
15,4,0.5042735042735043
