parameter,n,pearson_r,r2,p_value
a(medium),21,-0.6815538628944443,0.464515668026339,0.0006683865352306756
a(low),21,-0.6189178664427798,0.3830593254020826,0.0027775731148118824
a(high),21,-0.5921650232468519,0.3506594147569447,0.004680549948568004
v_ES_InattentionW_E,21,-0.551261985489613,0.30388977664595035,0.009590240712337978
theta_InatWS,21,-0.4379991224159749,0.19184323123716415,0.04704416141927021
v_ES_AttentionW,21,0.40148024863544196,0.1611863900443763,0.07124263910662096
theta_InatWE,21,-0.35133381008333603,0.12343544610767362,0.11835982094238061
z,21,0.34724514933553025,0.1205791937370547,0.12300371922877398
t,21,-0.31197099750199764,0.09732590328239142,0.16859294955197374
v_ES_InattentionW_S,21,0.010434718375049737,0.00010888334756660062,0.9641943259536068
