parameter,n,pearson_r,r2,p_value
v_ES_InattentionW_E,16,-0.4528582783422719,0.2050806202631266,0.07816006330849927
theta_InatWE,16,-0.44066004011917315,0.19418127095783128,0.08756759329444934
t,16,0.4280204328279421,0.1832014909182189,0.0981428379246745
v_ES_AttentionW,16,0.3698079742960078,0.1367579378529168,0.15859543756091965
theta_InatWS,16,-0.31355815169103163,0.098318714491896,0.23696288434310225
a(low),16,-0.23561909740874615,0.0555163590637122,0.37967895576662436
v_ES_InattentionW_S,16,0.15290247681274194,0.023379167415471087,0.5718430889457572
z,16,0.11690689474923187,0.013667222039907978,0.6663386173696147
a(high),16,-0.07347663860710121,0.005398816420998556,0.7868290630310033
a(medium),16,0.07229735453079325,0.005226907472151212,0.7901786668803061
