parameter,n,pearson_r,r2,p_value
a(medium),16,0.3225251018426908,0.10402244131863807,0.22309454305305326
v_ES_AttentionW,16,0.2921465580546009,0.08534961138315028,0.2722182510596194
v_ES_InattentionW_S,16,0.28036435346524846,0.07860417069398677,0.2929053025580811
v_ES_InattentionW_E,16,-0.2165083827243251,0.04687587978990283,0.4205864801775193
a(low),16,0.20390124186986414,0.041575716436072836,0.44877632707391296
theta_InatWS,16,-0.17860339748464357,0.031899173593057585,0.5080893775828298
t,16,0.16604452196472685,0.027570783274494658,0.538824134553062
theta_InatWE,16,-0.07464092555384536,0.005571267767534685,0.7835254898700897
z,16,-0.07242604382469062,0.005245531824096006,0.7898129730902737
a(high),16,0.04931554645762004,0.0024320231224136805,0.8560772765228108
