parameter,n,pearson_r,r2,p_value
v_ES_AttentionW,16,-0.5173322152647132,0.2676326209506955,0.04014407318392323
theta_InatWS,16,0.4436016366814317,0.19678241206644495,0.0852284117126326
v_ES_InattentionW_E,16,0.4324524123795488,0.18701508897289132,0.094336784505414
v_ES_InattentionW_S,16,-0.3484382560660706,0.12140921829036458,0.18596761234582604
a(low),16,-0.30976470452058325,0.09595417216672425,0.24298893532824692
a(high),16,-0.2160619019330448,0.04668274546692467,0.42156872335839535
t,16,-0.16710225684663832,0.027923164243239883,0.5362040904911957
a(medium),16,-0.15612439363915565,0.024374826289194025,0.5636696999586732
theta_InatWE,16,0.12302743140444683,0.01513574887797587,0.6498849454882453
z,16,0.07364555168923259,0.0054236672836114296,0.786349572592467
