,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,std,2.5q,25q,50q,75q,97.5q
a,1.419,0.072,1.286,1.555,0.001,0.001,2541.0,3099.0,1.0,,,,,,
a_std,0.28,0.067,0.164,0.403,0.002,0.001,1150.0,2070.0,1.0,,,,,,
a_subj.2,1.27,0.088,1.122,1.453,0.002,0.002,1639.0,2446.0,1.0,,,,,,
a_subj.3,1.486,0.11,1.281,1.693,0.003,0.002,1873.0,2695.0,1.0,,,,,,
a_subj.7,1.333,0.118,1.124,1.562,0.003,0.002,1669.0,2195.0,1.0,,,,,,
a_subj.8,1.076,0.092,0.909,1.247,0.003,0.002,1232.0,2005.0,1.0,,,,,,
a_subj.9,1.385,0.13,1.148,1.628,0.003,0.002,1745.0,2693.0,1.0,,,,,,
a_subj.10,1.324,0.13,1.085,1.574,0.003,0.002,1674.0,2272.0,1.0,,,,,,
a_subj.11,1.306,0.158,0.996,1.585,0.004,0.003,1711.0,2466.0,1.0,,,,,,
a_subj.12,1.363,0.095,1.188,1.541,0.002,0.002,1654.0,2543.0,1.0,,,,,,
a_subj.13,1.006,0.178,0.676,1.335,0.006,0.005,725.0,1866.0,1.0,,,,,,
a_subj.15,1.559,0.12,1.344,1.798,0.003,0.002,2082.0,2565.0,1.0,,,,,,
a_subj.16,1.457,0.147,1.177,1.721,0.004,0.003,1121.0,2270.0,1.0,,,,,,
a_subj.17,1.226,0.13,0.982,1.467,0.003,0.002,1399.0,1859.0,1.0,,,,,,
a_subj.18,1.76,0.202,1.403,2.158,0.004,0.003,2426.0,2715.0,1.0,,,,,,
a_subj.19,1.752,0.179,1.426,2.092,0.004,0.003,2493.0,3195.0,1.0,,,,,,
a_subj.20,1.471,0.095,1.289,1.645,0.002,0.001,2073.0,2672.0,1.0,,,,,,
a_subj.21,1.325,0.111,1.111,1.53,0.002,0.002,2004.0,2795.0,1.0,,,,,,
a_subj.22,1.461,0.101,1.282,1.66,0.002,0.002,1934.0,2695.0,1.0,,,,,,
a_subj.23,1.238,0.086,1.074,1.399,0.003,0.002,1072.0,2223.0,1.0,,,,,,
a_subj.24,1.397,0.103,1.205,1.594,0.002,0.002,2003.0,2743.0,1.0,,,,,,
a_subj.25,1.352,0.091,1.185,1.522,0.002,0.001,2083.0,2859.0,1.0,,,,,,
a_subj.26,2.082,0.112,1.88,2.292,0.003,0.002,1770.0,2744.0,1.0,,,,,,
v,8.547,1.168,6.271,10.591,0.115,0.082,106.0,176.0,1.03,,,,,,
v_std,1.845,1.065,0.129,3.6,0.212,0.152,30.0,169.0,1.1,,,,,,
v_subj.2,8.842,1.68,5.776,12.188,0.096,0.068,308.0,408.0,1.01,,,,,,
v_subj.3,8.556,2.146,4.178,12.523,0.134,0.095,239.0,428.0,1.01,,,,,,
v_subj.7,7.396,2.479,2.24,11.227,0.266,0.189,94.0,304.0,1.04,,,,,,
v_subj.8,8.82,1.964,5.076,12.648,0.098,0.07,392.0,444.0,1.01,,,,,,
v_subj.9,9.682,2.111,6.057,14.116,0.1,0.072,506.0,1230.0,1.02,,,,,,
v_subj.10,9.049,1.814,5.76,12.697,0.079,0.057,539.0,611.0,1.01,,,,,,
v_subj.11,9.285,2.142,5.122,13.426,0.089,0.066,571.0,1170.0,1.01,,,,,,
v_subj.12,7.405,2.097,3.314,10.708,0.232,0.17,79.0,284.0,1.05,,,,,,
v_subj.13,10.247,2.237,6.51,14.812,0.153,0.112,277.0,769.0,1.02,,,,,,
v_subj.15,9.159,1.946,5.63,13.059,0.092,0.066,455.0,853.0,1.01,,,,,,
v_subj.16,9.417,1.896,6.006,13.086,0.097,0.07,388.0,815.0,1.01,,,,,,
