Parameter,MAP,HDI_lower,HDI_upper
a(high),1.7417605511801608,1.5632045377617416,1.928664565943604
a(low),1.9889545035833256,1.79867674421705,2.172339060510609
a(med),1.9336488489524482,1.7518389569847117,2.129279703214697
t,0.4163825670325502,0.38174582213939007,0.4487259497846272
z,0.48722691119006983,0.465449325496212,0.5091782159827949
v_ES_AttentionW,0.04225120523304529,0.03677090657087629,0.0475256375187785
v_ES_InattentionW_E,0.04436719167315447,0.038207165287691226,0.05071281637805592
v_ES_InattentionW_S,0.04273319316865136,0.037031440911294934,0.047934811666462296
θE,1.054270519764268,0.8667612138481554,1.2556466717805417
θS,1.0154660661801294,0.8470208286150182,1.2015032950435152
