,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.40514349833772245,0.015688127099111847,0.3762856877727372,0.39436591546118616,0.40506463216260813,0.41530985765965617,0.4381239229680414,0.0004830562415704229
t_std,0.07156290304295718,0.012981389300907085,0.05103061480307844,0.06211470463248814,0.07005431543187264,0.0788755748450619,0.1019485355762119,0.00044642425913699366
t_subj.2,0.3832042310477279,0.012564646320662875,0.3591870194117743,0.37461640128292967,0.3826070548268179,0.39174060826511903,0.4086818300268359,0.0005676904669923365
t_subj.3,0.31117408274560504,0.010873077755104568,0.2906328511225879,0.30318063669960643,0.3110450066452905,0.3196409894160668,0.33113098226892984,0.00039937025629944393
t_subj.7,0.41327911849488524,0.01603694790978984,0.37895043555834296,0.40426021911536714,0.414328683072602,0.42334651383907196,0.4434519789481836,0.0007638793702633873
t_subj.8,0.29412784106720785,0.009104750607639388,0.2767867262814516,0.28793768495003275,0.294394574509751,0.3001063725973774,0.31164308123853185,0.0003776039911176757
t_subj.9,0.42323729775690494,0.01354057449372537,0.39513115106774654,0.4148314993065296,0.42353707630291026,0.4321631476877864,0.4479188644876977,0.0005685700238909079
t_subj.10,0.5815517045238588,0.010462591980605286,0.5586535831200827,0.5755057519742713,0.5825422063696498,0.5885591412754395,0.6003147800782992,0.00041366617353496594
t_subj.11,0.37513144419511607,0.013901126266062417,0.3519666499313725,0.3647965771299889,0.3725530876812565,0.38651556190237435,0.4013670774680083,0.0007992439181213524
t_subj.12,0.44924660645932574,0.012052047321775849,0.42296927691663677,0.4415507445728741,0.4499776230932406,0.4575985302552372,0.4708590474107383,0.0005823526566038212
t_subj.13,0.37304827245955147,0.004146452888606303,0.3645756990478049,0.3703748564644861,0.37316650741999813,0.375765323812302,0.380972107617377,0.0001535916424833622
t_subj.15,0.45367360703522186,0.008539780264602007,0.4359032934994268,0.4480857254472778,0.4541796885369097,0.45951291810615474,0.469455175118977,0.00031296726691809834
t_subj.16,0.38421660198451535,0.010643184008399947,0.36575433931062795,0.3730816056006693,0.38771842577563803,0.39324443723397734,0.3990884866412824,0.0007427272520574107
t_subj.17,0.394417372022615,0.008775097194306128,0.3779568991088762,0.3883131156076731,0.3945358515221565,0.400757742715787,0.4110728442428559,0.0003837310571566452
