rep,parameter,true,recovered
0,t,0.4237168897732183,0.42712098341996996
0,a(low),1.9549428368259691,1.9502135001924794
0,a(medium),2.1107948263621097,2.081640084240054
0,a(high),2.018336319676921,2.027002602839982
0,v_Intercept,1.5322656871338842,1.6049531664157242
0,v_z_IAW_chart,1.0821147835490503,1.0202003825821784
0,v_z_IAW_image,0.7989820768647535,0.7627684444603455
0,v_z_AttentionW:C(OVcate)[low],0.9982871213854254,0.9371700723716081
0,v_z_AttentionW:C(OVcate)[medium],1.178558855634548,1.1465270414923454
0,v_z_AttentionW:C(OVcate)[high],1.1486663995162387,1.1062648417540326
1,t,0.39804181979420433,0.408309517465433
1,a(low),2.0219197300017506,1.979808065606715
1,a(medium),1.97639862964353,1.9002286672825872
1,a(high),1.8777818176304597,1.8560266080114165
1,v_Intercept,1.5037962893978436,1.5569252425586921
1,v_z_IAW_chart,1.310274449111485,1.2896246384318832
1,v_z_IAW_image,0.819439159105681,0.8178740142124064
1,v_z_AttentionW:C(OVcate)[low],1.3065772714873234,1.2590184935242505
1,v_z_AttentionW:C(OVcate)[medium],0.9404449047870033,0.9324984259252819
1,v_z_AttentionW:C(OVcate)[high],1.157636895691327,1.1368122657952084
2,t,0.4354507801348506,0.43778957059019397
2,a(low),2.229733665075666,2.26073620060555
2,a(medium),2.0234017297544797,2.066420865465336
2,a(high),2.093243353228017,2.102571241286944
2,v_Intercept,1.6807895978292058,1.7993976158699252
2,v_z_IAW_chart,1.3536408143067353,1.418794100932345
2,v_z_IAW_image,0.9362436254257109,0.9934369263334051
2,v_z_AttentionW:C(OVcate)[low],1.162221176001391,1.2261074940530388
2,v_z_AttentionW:C(OVcate)[medium],1.103703357202876,1.1574229061545112
2,v_z_AttentionW:C(OVcate)[high],1.271620332982491,1.363277938700498
3,t,0.4191678475940403,0.421885872760321
3,a(low),2.1595441278692613,2.1333399663794963
3,a(medium),2.2145626356790418,2.2068714514147394
3,a(high),1.7155825232808228,1.7013502316787124
3,v_Intercept,1.7205597843081264,1.7674702062248575
3,v_z_IAW_chart,1.2746109806342538,1.2398138912529593
3,v_z_IAW_image,0.9623083111326097,0.9343795291917973
3,v_z_AttentionW:C(OVcate)[low],1.2274906810663897,1.260510617917369
3,v_z_AttentionW:C(OVcate)[medium],1.389472913517327,1.3355349046491942
3,v_z_AttentionW:C(OVcate)[high],1.1487634164556795,1.0802361654303922
4,t,0.4239714381242144,0.429367101316099
4,a(low),1.9476517950331773,1.9518635740181307
4,a(medium),2.032979730747896,2.0300683599654477
4,a(high),2.0307643925616996,2.0375078250561036
4,v_Intercept,1.5299440957737138,1.6236837680082343
4,v_z_IAW_chart,1.2621963093245805,1.2328889441560331
4,v_z_IAW_image,1.0086660292106475,0.9748595372514751
4,v_z_AttentionW:C(OVcate)[low],1.1954721536426556,1.1969272771752404
4,v_z_AttentionW:C(OVcate)[medium],1.1973450709949185,1.1649849704202517
4,v_z_AttentionW:C(OVcate)[high],1.0848060430599955,1.0541253767288186
5,t,0.42425356873566883,0.42589959718041986
5,a(low),2.216870849729396,2.1955592854678807
5,a(medium),1.935030903140753,1.8816795456870268
5,a(high),2.062143956607803,2.0753088401621462
5,v_Intercept,1.7039705979146569,1.7174159256127213
5,v_z_IAW_chart,1.3272165268789593,1.3397477060589882
5,v_z_IAW_image,0.953193461759804,0.9387485407318618
5,v_z_AttentionW:C(OVcate)[low],1.502846126480624,1.4088727947862016
5,v_z_AttentionW:C(OVcate)[medium],1.1494059711630582,1.1599550243321586
5,v_z_AttentionW:C(OVcate)[high],1.105363002985868,1.0133201400020173
6,t,0.4100914495545249,0.4168123345726376
6,a(low),2.175008193410634,2.1021921856351526
6,a(medium),1.6930290477294292,1.6869287625106735
6,a(high),1.8956867057003737,1.8421267517010924
6,v_Intercept,1.5176995378708344,1.5683242132601791
6,v_z_IAW_chart,1.2565769684539314,1.2541980889308484
6,v_z_IAW_image,0.8849297152776273,0.8359011150778257
6,v_z_AttentionW:C(OVcate)[low],1.345907127289085,1.3723936216073462
6,v_z_AttentionW:C(OVcate)[medium],0.7564904030389313,0.658980750644499
6,v_z_AttentionW:C(OVcate)[high],1.066199896228213,1.0232059598805512
7,t,0.42518488135250204,0.43028255163527535
7,a(low),2.056036195791515,2.066685495132599
7,a(medium),1.7848763644519865,1.7713375220400844
7,a(high),1.9140463048985732,1.8728549946622834
7,v_Intercept,1.5543249826404546,1.6172633647839676
7,v_z_IAW_chart,1.2421154607876006,1.285871614582417
7,v_z_IAW_image,0.954091924138233,0.9610545959621786
7,v_z_AttentionW:C(OVcate)[low],1.1013768898482323,1.1322058436756737
7,v_z_AttentionW:C(OVcate)[medium],1.1906243238979535,1.159654336046654
7,v_z_AttentionW:C(OVcate)[high],1.1970176010562519,1.2246409596101684
8,t,0.45143226449336715,0.4563905156183897
8,a(low),2.0563866064663783,2.0505037370883503
8,a(medium),1.9448523407511848,1.9270422615506426
8,a(high),1.7526871773092243,1.7285914700203875
8,v_Intercept,1.530317875277175,1.5809354071056017
8,v_z_IAW_chart,1.1543167995350578,1.1671926672058244
8,v_z_IAW_image,0.9274596577834943,1.003190297344638
8,v_z_AttentionW:C(OVcate)[low],1.234640482047178,1.1758292199116427
8,v_z_AttentionW:C(OVcate)[medium],1.1069227566300657,1.1040752069258466
8,v_z_AttentionW:C(OVcate)[high],1.1331741878076924,1.1440101688778177
9,t,0.43643187449029647,0.4444835152609525
9,a(low),1.8645352053033317,1.8430186076697226
9,a(medium),2.089415365722822,2.0352465232509993
9,a(high),2.0003925995430833,1.9332937818284923
9,v_Intercept,1.5176102745255262,1.5195987178028774
9,v_z_IAW_chart,1.2393552272658477,1.178532501249767
9,v_z_IAW_image,1.0788860829178302,0.971325221679259
9,v_z_AttentionW:C(OVcate)[low],1.0493857906980624,0.8714690560363076
9,v_z_AttentionW:C(OVcate)[medium],1.1163479657324118,1.0318504867122498
9,v_z_AttentionW:C(OVcate)[high],1.410847796509074,1.3384641985449488
10,t,0.4184774646040872,0.4230733635032176
10,a(low),2.049325275801308,2.0552750349148794
10,a(medium),1.9158965021007566,1.8707146245662352
