,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(high),1.9274462516408306,0.12103573276110537,1.6941763659835487,1.847936670642088,1.9268386937905944,2.0080913409501484,2.1620806586365426,0.0020362872986117745
a(low),2.0618117969073735,0.12002767618796907,1.831577241466166,1.9819563996154381,2.0605588445680274,2.140268614199849,2.2938338250581403,0.0018034957652207449
a(medium),1.9737040393413825,0.12246481024173594,1.7384454755045444,1.891512662844648,1.9737175048077757,2.0549726355185736,2.219689643135938,0.0019923326720279106
a_std,0.5617093799700464,0.0605669027005723,0.45883127915906485,0.5198436115690213,0.5570133466272462,0.5982039531707591,0.694906250690467,0.0012191979682407872
a_subj(high).2,1.5053082786780252,0.07872911341250019,1.3609331461383842,1.450173455236049,1.5028591587203493,1.557992382339715,1.6670808177872134,0.0016488462046529667
a_subj(high).3,1.298134672723924,0.08560357827720243,1.1373411798434356,1.239871669515205,1.294873223608962,1.3557595698674736,1.4712136217381935,0.001491335811061277
a_subj(high).7,2.8610370761553265,0.16660738226044203,2.5445088921157533,2.748643608749808,2.856950201767459,2.971465091194026,3.1991575325134534,0.003238556128494805
a_subj(high).8,2.0116863924355566,0.13109943526621898,1.7677321867876865,1.9203026036953548,2.0073649691232855,2.0987826263244482,2.278580370876289,0.0027543509488004853
a_subj(high).9,2.2368321777549047,0.12959998927195399,1.9969585679789228,2.1470187594082595,2.230366061174042,2.3232208090860595,2.5030762918725475,0.0022025656264672614
a_subj(high).10,1.718378595678722,0.10811181785702997,1.5164828406969375,1.6435447002633423,1.7146743951548291,1.7881886132697784,1.9409929281795333,0.0015912683978973527
a_subj(high).11,1.5025763074088856,0.08909637841701451,1.3330534492080124,1.4427537525191905,1.499115504038426,1.5617484466429254,1.6834882484810474,0.001855782843554302
a_subj(high).12,1.7440965634911496,0.09247748696674389,1.5696486269581158,1.6813576060360869,1.7418851624663902,1.8048620945502403,1.9332333137562978,0.0017611667901349178
a_subj(high).13,1.083749865949971,0.1457882501457955,0.8406202527675237,0.9806741052130996,1.0685665202329098,1.1707472802110659,1.4094366182573277,0.0032438092008089713
a_subj(high).15,1.6417798047669823,0.11126703612974148,1.436795420561207,1.5615858393549984,1.6383193716203193,1.716022700221595,1.86822201484997,0.0018472903097141273
a_subj(high).16,1.49836137899996,0.08806060469445302,1.3314055206877993,1.4397546334136075,1.495387490246914,1.5546421814348215,1.6786210601893994,0.0014089303839279325
a_subj(high).17,1.7591596411382577,0.10737358873196977,1.5640238404603815,1.6846674668014803,1.7547693076553401,1.8277019845594726,1.9800594099341158,0.0020354441024057605
a_subj(high).18,2.331307869352376,0.1768652831653866,2.0025208664239535,2.2107891370081614,2.324562930995666,2.4416269157471358,2.7065305656540373,0.00336401616911741
a_subj(high).19,2.911843228036549,0.2542630679349223,2.4316395485725537,2.735080704465802,2.9050416721625303,3.0787520334497316,3.439569136025789,0.004581823287762573
a_subj(high).20,2.2157228909054854,0.11525976627571033,1.998662897263316,2.1374050350915774,2.213264104580639,2.294776478458468,2.445505025225955,0.0021784465995904273
a_subj(high).21,2.783975072362803,0.1631680213049816,2.4821456065743384,2.6720965970127915,2.77658193145634,2.889294954575419,3.125393822250105,0.003343154876500798
a_subj(high).22,1.9131338703181597,0.13053175573429815,1.6721636296698992,1.8243806417982404,1.9062448236768326,1.996252211548767,2.192008555490777,0.0033926771805612814
