parameter,n,pearson_r,r2,p_value
a_OVcate[T.low],21,-0.35723993350944333,0.12762037009383148,0.1118764752646874
v_Intercept,21,0.3480395205858585,0.12113150788963424,0.12209140936356407
v_z_AttentionW:C(OVcate)[high],21,0.34352890544003173,0.11801210887282626,0.1273366818706309
theta_image_medium,21,0.3347264358414376,0.11204178685111202,0.13803268164093338
theta_chart_medium,21,0.32541691253847016,0.10589616696607033,0.1500203925934445
v_z_IAW_image,21,0.2972605604068693,0.088363840773406,0.19066198002029053
a_Intercept,21,0.26818099227243897,0.07192104461622997,0.23983782621414004
v_z_IAW_chart,21,0.2262669962755717,0.05119675360356958,0.3240039320789594
v_z_AttentionW:C(OVcate)[low],21,0.21503378433341064,0.04623952840474776,0.349230043151916
t,21,0.19556520714555814,0.038245750245885064,0.3955677840321713
v_z_AttentionW:C(OVcate)[medium],21,-0.16399791141836098,0.026895314949584574,0.4774894982592635
a_OVcate[T.medium],21,-0.11467895157496756,0.013151261934333755,0.6206115657370069
theta_image_low,21,0.09981481822415696,0.009962997937121496,0.6668478132440587
theta_chart_high,21,-0.07518242900687912,0.005652397631374419,0.7460203204714067
theta_chart_low,21,0.07233428927674893,0.005232249405172394,0.7553534304637898
theta_image_high,21,0.01906961307740293,0.0003636501429218569,0.9346117618868436
