parameter,R2,p,RMSE
t,0.0032272707363671595,0.41279234340565585,0.4111967606092015
v_Intercept,0.03975807338954106,0.003714482354654488,1.7765175470826524
a_Intercept,0.9715087992210512,1.0927498241542478e-162,0.10979265957088694
a_OVcate[T.low],0.8382111589247497,3.243113020416712e-84,0.12279586883932268
a_OVcate[T.medium],0.7829756217443734,6.191944761639022e-71,0.1175645955106481
v_z_AttentionW:C(OVcate)[high],0.7777967140698501,7.217954207061597e-70,0.17322279613558345
v_z_AttentionW:C(OVcate)[low],0.7371232186470237,2.8981021311699587e-62,0.24885760510445534
v_z_AttentionW:C(OVcate)[medium],0.689423627651903,1.0179618932702676e-54,0.19342106131995193
v_z_IAW_chart,0.8127751381503294,1.2963792082618936e-77,0.20154274134960698
v_z_IAW_image,0.6932283284960956,2.817241513478685e-55,0.1520489464429937
