parameter,R2,p,RMSE
t,0.9287827520888502,4.4539980324555994e-85,0.015837901389444596
v_Intercept,0.9166817067133156,3.9156724428914636e-80,0.10988577410479719
a_Intercept,0.9744496025830525,2.3034589888432873e-117,0.10165409673077064
a_OVcate[T.low],0.8329473080417695,3.284620208801812e-58,0.12632572643300577
a_OVcate[T.medium],0.7518242584788991,1.003530326432309e-45,0.12179679514730583
v_z_AttentionW:C(OVcate)[high],0.7587003598895016,1.3028557750712319e-46,0.1796627018042799
v_z_AttentionW:C(OVcate)[low],0.6865935016487962,2.3369466914946626e-38,0.25579045353106783
v_z_AttentionW:C(OVcate)[medium],0.6759673271190929,2.641360214303718e-37,0.19532413095149906
v_z_IAW_chart,0.7693303628155201,4.936007240602276e-48,0.19685243646464268
v_z_IAW_image,0.6727437218850874,5.42670056348458e-37,0.15848220768491098
