rep,subj,parameter,true,recovered
0,2,t,0.459842652457983,0.4524777156777885
0,3,t,0.49223274287927865,0.48652037841050944
0,7,t,0.4322490390773023,0.4538617837870828
0,8,t,0.5633754933493847,0.5688410231741454
0,9,t,0.4845594233930012,0.47359512389366976
0,10,t,0.4589635379714214,0.41832695149315585
0,11,t,0.3478185389298706,0.34936579368857656
0,12,t,0.3707681598760966,0.3866730571271196
0,13,t,0.4684129347180278,0.4859469442122014
0,15,t,0.4801705773601142,0.47008719734808685
0,16,t,0.42135427869488595,0.4292887663534996
0,17,t,0.4671531570618422,0.42402189875091345
0,18,t,0.384981994196434,0.380619227947439
0,19,t,0.42069781794379785,0.5095128879081824
0,20,t,0.46602511872635977,0.47557979741239836
0,21,t,0.43372727154040613,0.4510402673200981
0,22,t,0.38827244138594824,0.4023501227314698
0,23,t,0.40576316818696523,0.41959857281602103
0,24,t,0.5162769293134494,0.5306825744721809
0,25,t,0.5398172525835545,0.5435329729189207
0,26,t,0.4616945608865129,0.46469478678869874
0,2,v_Intercept,1.203655686405328,1.2901223380993974
0,3,v_Intercept,1.7716128892922,1.6290599650584368
0,7,v_Intercept,1.3158409171211942,1.33765588153188
0,8,v_Intercept,1.4016119361640442,1.2658808060837223
0,9,v_Intercept,1.698301243601723,1.880953872794892
0,10,v_Intercept,1.7258383630556784,1.7360966368476904
0,11,v_Intercept,1.4239612080580177,1.400104418285788
0,12,v_Intercept,1.1745034856440892,1.3068893275964077
0,13,v_Intercept,1.3217785206261379,1.4983875797636337
0,15,v_Intercept,1.4978233459312664,1.5063332876867142
0,16,v_Intercept,1.9345336952985697,1.8884027185517627
0,17,v_Intercept,1.602874344325337,1.7682016957210718
0,18,v_Intercept,1.5846087501098827,1.4387639795954121
0,19,v_Intercept,1.098454415617095,1.2563769463801906
0,20,v_Intercept,1.2194173427189468,1.382520362577918
0,21,v_Intercept,1.2050086888415668,1.235968370239192
0,22,v_Intercept,1.3020006380686766,1.5625854157130823
0,23,v_Intercept,1.6679683214708465,1.6627735613154695
0,24,v_Intercept,1.597139987808705,1.824693167115907
0,25,v_Intercept,1.472504665918717,1.5937499441973189
0,26,v_Intercept,1.9683571090383805,1.8497605877797325
0,2,a_Intercept,2.0554268620759526,1.9440670978877037
0,3,a_Intercept,1.5632258292005652,1.5894562854674978
0,7,a_Intercept,2.5775339081648743,2.5661342122141355
0,8,a_Intercept,1.6541587310192578,1.5632854542788475
0,9,a_Intercept,2.4688914567720808,2.7609116462338776
0,10,a_Intercept,3.442621210851994,3.492608001763724
0,11,a_Intercept,1.9435211320233277,1.9604106903023035
0,12,a_Intercept,2.4190648665649124,2.4087673321291927
0,13,a_Intercept,2.3072078694780287,2.452535165737628
0,15,a_Intercept,1.5338424858146076,1.6365024594632618
0,16,a_Intercept,2.0379715225415955,1.8241714244765674
0,17,a_Intercept,2.3143752266200184,2.75475452758057
0,18,a_Intercept,1.387159298711429,1.263357921017718
0,19,a_Intercept,2.9395636812692025,3.0786367187454653
0,20,a_Intercept,2.189806156450487,2.316305242769805
0,21,a_Intercept,3.0503234208360546,2.8059635367855873
0,22,a_Intercept,2.592474336801015,2.599873966293472
0,23,a_Intercept,2.4201769008968967,2.3047705066857715
0,24,a_Intercept,1.359811921139391,1.2988784521175565
0,25,a_Intercept,1.9954086279955527,1.9760683473455962
0,26,a_Intercept,1.3641438564024866,1.2191730400390197
1,2,t,0.4574235006418036,0.48730899334870986
1,3,t,0.49658163056548665,0.4906382736554543
1,7,t,0.5298619522615139,0.5185556117269745
1,8,t,0.4748506641082759,0.4671109380770245
1,9,t,0.4248413845054708,0.43311666056638537
1,10,t,0.4138888332001883,0.4131660022698727
1,11,t,0.5146999138108143,0.5066257115619021
1,12,t,0.36780119859534854,0.37643066012269555
1,13,t,0.5762949181189103,0.583130444844398
1,15,t,0.5305769569454418,0.5307201520296144
1,16,t,0.4289142014152544,0.4275453302764426
1,17,t,0.4542095284834722,0.46300151712556176
1,18,t,0.440692866098852,0.4409581665554298
1,19,t,0.46464639857565726,0.4536307560505058
1,20,t,0.44580915188637205,0.44895660077395605
1,21,t,0.37502890742327116,0.421935903066817
1,22,t,0.4295340434936067,0.430603829415551
1,23,t,0.3907658934437382,0.41039542866334444
1,24,t,0.4255740018428379,0.4431678113710128
1,25,t,0.5248643047929227,0.5142222666978014
1,26,t,0.44550969620526176,0.4549165467479901
1,2,v_Intercept,1.770606092824468,1.9124411422006926
1,3,v_Intercept,1.498437296316392,1.6741542661632696
1,7,v_Intercept,1.2929859244037745,1.4013260093511417
1,8,v_Intercept,1.6747057241118664,1.7582830722468967
1,9,v_Intercept,1.263402788759994,1.2447621781533056
1,10,v_Intercept,1.757815338713293,1.9805731993479396
1,11,v_Intercept,1.158975242488543,1.2545483709679681
1,12,v_Intercept,1.5379279596873456,1.5086044166435608
1,13,v_Intercept,1.5488113392701295,1.7439910943829462
1,15,v_Intercept,1.3055920568943846,1.6064639620823673
1,16,v_Intercept,1.1914935222320628,1.2530296600728579
1,17,v_Intercept,1.371335972805333,1.6612352258463476
1,18,v_Intercept,1.0193821387650923,1.0846031984643385
1,19,v_Intercept,2.180646431126754,2.0648535115629465
1,20,v_Intercept,1.2491488042713825,1.3725791306124806
1,21,v_Intercept,1.485140205333949,1.4644370596817764
1,22,v_Intercept,1.1115897522804208,1.3078993608815161
1,23,v_Intercept,1.7440450685448865,1.8216289637728698
1,24,v_Intercept,1.5142328915021728,1.552555688775586
1,25,v_Intercept,2.067604371948549,2.119571834009123
1,26,v_Intercept,2.1251690222178135,2.052075043822212
1,2,a_Intercept,2.1386343460465156,2.0024081448821343
1,3,a_Intercept,2.337076844033828,2.5603665487482408
1,7,a_Intercept,2.067777978763326,2.0917972628343837
1,8,a_Intercept,2.0447137018583947,1.9791803775272732
1,9,a_Intercept,2.277382506970013,2.2318122141598
1,10,a_Intercept,1.3574829023873165,1.3882933612604305
1,11,a_Intercept,2.0441335828340375,2.246664658261967
1,12,a_Intercept,2.4859660999116566,2.4281325312699162
1,13,a_Intercept,1.503399996056951,1.6018010050362699
1,15,a_Intercept,0.799396977661051,0.8950351484728768
1,16,a_Intercept,1.743819686402997,1.7495949091521121
1,17,a_Intercept,1.356410935411064,1.3107206333532282
1,18,a_Intercept,0.8355700466841007,0.8699262017104594
1,19,a_Intercept,2.4085582831025802,2.763915608824856
1,20,a_Intercept,1.3502525977862876,1.457716221293672
