,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.892907219032977,0.10321834583250886,1.6970789722314228,1.825215012316934,1.8877812691603189,1.9540746535856486,2.1074961775132364,0.0029541250960836594
a_std,0.4741792330556799,0.08595882322807856,0.3362791877288645,0.41337204129239685,0.4614123127652927,0.5238052071654073,0.6776514117069893,0.0028120962843453503
a_subj.2,1.7919628049000138,0.0601215174485221,1.6786556827519594,1.7486963857262254,1.7919656346922463,1.8349415423850617,1.9054128878444172,0.0025027413612135874
a_subj.3,1.6649052034440932,0.05202777061069489,1.5670215766037363,1.6294905411166694,1.6630809247364866,1.6992150298801256,1.7717466092812637,0.0020739577297190356
a_subj.7,2.2029333182313047,0.08509818898809199,2.0362470826816397,2.1445675885791693,2.201087541875285,2.2623513641783535,2.3684710943455305,0.004205216091586901
a_subj.8,1.7184040938485463,0.05930754324122676,1.6090551630920176,1.6777995262755265,1.7169682270983722,1.7579941436964575,1.836822077785618,0.0023320191214343646
a_subj.9,2.0277448765899164,0.06859014807269985,1.8993233600863981,1.9809899477891357,2.0259721235140233,2.06971747384194,2.1704389813653004,0.002879271652424956
a_subj.10,1.5680614323493682,0.05071359587717423,1.4718050853873959,1.5340123593880914,1.5684900545381573,1.6020192092262042,1.6647605899219642,0.0018655076413746263
a_subj.11,1.561400788581618,0.05938351134912825,1.4504161098959956,1.5199847275969454,1.561054807957213,1.5999701029877251,1.681992638617572,0.002586998680990252
a_subj.12,1.8824739322476283,0.06425101872483814,1.7605104347403757,1.8388768356945384,1.8814866003126598,1.924155716826912,2.0113312596366635,0.0026770434862124952
a_subj.13,1.0061453917392567,0.03435692929786468,0.9375814487584452,0.9831897907932847,1.005569276864354,1.0288889585982661,1.0724255656793482,0.0013140931816801702
a_subj.15,1.6653110161235696,0.05912587394950227,1.5598410491465675,1.6220241584886164,1.6630491871647775,1.7057124621358808,1.7855690259056025,0.002337289128377134
a_subj.16,1.2592491220015098,0.045003948801318444,1.1640260343037914,1.2321330352478164,1.262177226841281,1.2888364186768826,1.3451474313127816,0.0022980718858097177
a_subj.17,1.7003698586670235,0.05811078307714476,1.591846734835697,1.6597271912030311,1.7011310618298972,1.738038174830672,1.822897819546837,0.002335961542397515
a_subj.18,1.9622976516851465,0.0751310838718537,1.8229383306959752,1.911086914148716,1.9620681446852872,2.010680609240793,2.113014546645096,0.003548533076777844
a_subj.19,2.351817318061572,0.10163148550860375,2.1605940403729393,2.28337995148862,2.3478952044304724,2.417344651881288,2.564344109508613,0.004430083116263544
a_subj.20,2.231821560751872,0.08145218871863999,2.0812651400762183,2.1734558094546834,2.2273497204307824,2.2885695673659665,2.4006919911319864,0.003555711282420894
a_subj.21,2.625530808277059,0.09756906848618392,2.446065483227696,2.556498391362819,2.624457458456149,2.692677318890606,2.8241400565193038,0.004514394689589309
a_subj.22,2.541798957877842,0.116736322516613,2.3155344912942364,2.4666096002782076,2.53648410779758,2.6148907936466474,2.790976028273564,0.00649322084037558
a_subj.23,1.812997484322814,0.05663703238558803,1.6984892985939282,1.775701381195693,1.8123347951364635,1.8514941427463658,1.9241068842135338,0.002174892302336333
a_subj.24,1.4366050363761436,0.03950567774606951,1.3628670010106179,1.409145638377701,1.4358100169066221,1.4618649662424517,1.5173022565385361,0.001505444169879505
a_subj.25,2.2338935240658078,0.07359733428293286,2.0918084262551706,2.1820863273826374,2.2344428842338626,2.2822996689643915,2.38283556144392,0.003108593347517876
a_subj.26,2.4384430701249182,0.09030782949778657,2.2678095929629682,2.378441115111681,2.4377654544679848,2.4993035053720973,2.6178450453118884,0.004300382708514852
t,0.4089952845055706,0.01760387628037888,0.37496741385564614,0.3967419350028817,0.40881966574928597,0.4207933554682257,0.44416785856861485,0.0005068532467736196
t_std,0.08043844536427265,0.013782591135978003,0.0587534463499315,0.07054465255604353,0.079005478267061,0.088408680380664,0.11325349659396752,0.0004775994341210673
t_subj.2,0.3850382776522221,0.010602878136211087,0.36451296863159316,0.3785031237181104,0.38487267000708236,0.39144416688955846,0.40780766998655377,0.00044225519852358533
t_subj.3,0.2847474842344137,0.00933600088274996,0.2664393237896548,0.278545951283372,0.28484754794799527,0.29114031970104465,0.30348460808053745,0.000341794585174147
t_subj.7,0.428584062391836,0.013161710976619284,0.4007293476454414,0.41982773048759786,0.4286213935664675,0.43727496809472044,0.4538754380089623,0.0006211864960112165
t_subj.8,0.2934388163746698,0.009911883247860848,0.27274511270341767,0.287148404069181,0.29352042220914054,0.3002008945838776,0.31208319154392605,0.0004159815438959312
t_subj.9,0.4350009628591332,0.012443406401824937,0.40643923316047254,0.42768383926139697,0.43573546436092514,0.44355349938700966,0.45768737099143064,0.0004877708925327551
t_subj.10,0.580712247935867,0.01053417719579995,0.5600358123203022,0.573077137081937,0.5816702303573886,0.5883266217383744,0.5993701101602565,0.00042558691904318583
t_subj.11,0.3846011067865176,0.009910250121054604,0.36480317830206904,0.37799867533367415,0.38450934581064744,0.3913192200957124,0.40248379630870695,0.0004249775661381806
t_subj.12,0.45635205659151107,0.010644324037468391,0.4333839095824594,0.4498791048209302,0.4567240914122537,0.46356224234025956,0.4750837367581078,0.00043445062629910764
t_subj.13,0.373800870885697,0.003189829063565974,0.3669528884888723,0.37166103010102236,0.3740213676801928,0.37612258290663,0.37922173376611823,0.0001290675673803488
t_subj.15,0.4558407720898555,0.008322668375521841,0.4386331891196632,0.4501066500308275,0.4568444708331823,0.46190721945541946,0.47060047451300746,0.000308911482859299
t_subj.16,0.37496282944450393,0.0074060486975835735,0.36510359906454076,0.37058173129643596,0.3730694633605679,0.3762548242330046,0.3948157855512667,0.00043359790625384354
t_subj.17,0.3908172261513508,0.008193611658289671,0.3755308248233005,0.3853716429928513,0.3908013756630675,0.39591673605036304,0.40851789876078787,0.00032279793421243267
t_subj.18,0.364132800979239,0.014209368631620038,0.3335108227852389,0.35526110734871946,0.3652501879859136,0.3734594176961772,0.391696037342633,0.0006072709488371751
t_subj.19,0.41186710153993317,0.01865450546894051,0.37055697141178723,0.40035578134212835,0.41315321939791805,0.42486823687551356,0.44469331191452943,0.0007958261390827056
t_subj.20,0.45022618361766825,0.011110857747585341,0.42805841111599635,0.44246082746143256,0.4509962538617076,0.45772915394968455,0.47063322179758693,0.0004428935800753515
t_subj.21,0.47574114452209687,0.015436005205164244,0.4439688939700571,0.46592176437378513,0.4758327971032144,0.4865293802638369,0.5056365255111579,0.000618010455369909
t_subj.22,0.3455670762157044,0.017479025723087946,0.31192013752579906,0.3339790891438465,0.3452459865821064,0.3564323027907509,0.381764689376023,0.0009445952009010892
t_subj.23,0.33281071296444775,0.01079412174644799,0.31074482559094263,0.3256884831170915,0.3331731699938445,0.3400628698841114,0.3535207270071494,0.0004152152824288248
t_subj.24,0.3283488850946247,0.0067697351879637295,0.31468320594335375,0.3239239914127865,0.3286451673934614,0.33314781820313344,0.34020346549338293,0.00023162147381230292
t_subj.25,0.448502962843297,0.019286283152354283,0.4098799765680628,0.43625255959031656,0.4481380162615623,0.46066336796743695,0.4854821178108857,0.0007940740952905331
t_subj.26,0.5525981405649515,0.01365113624733191,0.5233318090317497,0.5437815914556332,0.5535395115610443,0.5621670321486878,0.5771632385650718,0.0006473660718395954
v_Intercept,-0.06115462270922754,0.07291097182070422,-0.20634990695613203,-0.10869463256509457,-0.060955995838090415,-0.014299147576240935,0.08516775770236486,0.0018489532469587564
v_Intercept_std,0.31821712992608997,0.056345192857248684,0.22684714366611125,0.27847071088973524,0.3115542023131497,0.35198504343520237,0.44361693900465204,0.0017265073563615843
v_Intercept_subj.2,0.1571510376960137,0.07290771308552148,0.013186968853329657,0.1071024504675358,0.15773781887137794,0.20728267804046635,0.2947982433770448,0.0020016803583383703
v_Intercept_subj.3,-0.8128158738273059,0.08484235620133711,-0.9784724890494915,-0.8694490263593722,-0.8134784846072137,-0.7533987756049507,-0.6483375570446648,0.0031583038554771096
v_Intercept_subj.7,-0.1926159558920597,0.06543165611403708,-0.3223812615549426,-0.23495212585607747,-0.19114547762041917,-0.14879883886336015,-0.06587865858720476,0.0015546235064645313
v_Intercept_subj.8,-0.3354182370635102,0.08347967719576573,-0.501788875269596,-0.3864222050814212,-0.3353755674610941,-0.28122706104192424,-0.16864167711674874,0.0023988671050958177
v_Intercept_subj.9,0.1300939320801914,0.0660483272485176,0.0041439923230296195,0.08664965488238933,0.1302833382924269,0.174521109630407,0.26102117636050065,0.0016567937379150161
v_Intercept_subj.10,-0.20406696372289812,0.0825240846946353,-0.3689586585827999,-0.2585297434051361,-0.20256073845731593,-0.14981014032479673,-0.042826794391626066,0.0019177670651039477
v_Intercept_subj.11,-0.16123850848373295,0.08698489536976847,-0.332532140636289,-0.218422186911816,-0.16306702936970197,-0.1010710691161921,0.01262571562523268,0.002448160456836007
