,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.4778772929045656,0.06354355891264299,1.3588704362452693,1.4349570239975176,1.4757781751576604,1.5180917845610378,1.6093463548668323,0.0005983303312122356
a_std,0.2802577190129804,0.050754933440394265,0.20195383452165763,0.24431928131429884,0.27347826765406563,0.30845049662802493,0.40004877459985666,0.0005456082358327086
a_subj.2,1.4544615548229163,0.048712667032619096,1.3600719404126167,1.4211762069348202,1.4540859438749414,1.4866242593120291,1.5523252506515686,0.0005777454585520153
a_subj.3,1.5044663377709409,0.044149290523735125,1.4181256857677786,1.474639578811044,1.5042737401042896,1.5333609496538618,1.5932182626103393,0.0005014007028424863
a_subj.7,1.560272549321428,0.051769049088690205,1.4595787261031328,1.524982328348433,1.559863690861917,1.5953348766061821,1.6632665837928156,0.0006608829053968877
a_subj.8,1.2965774042422393,0.03837690200209441,1.2220740298519435,1.2707203936084448,1.2966364101976193,1.3222315815710106,1.3729252921718862,0.0005030523070272302
a_subj.9,1.6091620106675386,0.0462090275957338,1.5207325860146836,1.5774165587808116,1.6087679426633075,1.640006198139468,1.7020671500180908,0.000513807158840883
a_subj.10,1.372651758844351,0.040159663957717515,1.2945383591249322,1.346257058940896,1.3719571122703051,1.3988724257108518,1.4532284166409004,0.0004715537610220911
a_subj.11,1.1945803360295573,0.03383896486357429,1.1307181060763223,1.1716151758797597,1.1935628141265884,1.2168577793533375,1.2639025374148871,0.0004002084271253309
a_subj.12,1.5429937376805722,0.04411057228048846,1.4594968015770948,1.5128671731604857,1.5418356657922998,1.572667646864461,1.632016302523481,0.0005343543231453692
a_subj.13,0.8898899322361911,0.027806321553230828,0.8375109300901027,0.8707517154484713,0.8890936135850628,0.9084977996044484,0.9459851975910744,0.000310616958529666
a_subj.15,1.389865703026446,0.04042211019993379,1.3127204184793873,1.3623914024244848,1.3888131135715844,1.4163549421514015,1.472495517909411,0.00039755740709428183
a_subj.16,1.0248064465788247,0.03290093385459209,0.967286089468881,1.0020712047139424,1.0219106754650207,1.0446818441601216,1.0973288239073562,0.0005355129273595548
a_subj.17,1.3122995376401072,0.03864280795087441,1.2372592654700927,1.2861223559719783,1.312110678191863,1.3378052023152025,1.3887494404554628,0.00040036770161277363
a_subj.18,1.608832088330964,0.05080408892387331,1.5123003431871904,1.5740831805484317,1.6081579937601784,1.6419777217837883,1.709842979188763,0.0006261185335915073
a_subj.19,1.7002347145003263,0.07736947466859864,1.552284438234311,1.6462487722381953,1.6996534263539798,1.7554025414707568,1.8498112496295933,0.0014279242225252247
a_subj.20,1.6461570706033064,0.05282220663025941,1.539742957905039,1.611139459840726,1.6469513903253612,1.6818813611939882,1.7480146796197298,0.000674769902011219
a_subj.21,1.8118050830657118,0.05514369392746998,1.7036865215000558,1.7743221586438964,1.8119165115546976,1.8487864715527436,1.9204554281518613,0.0006439370683969818
a_subj.22,1.5346665707415128,0.0516956692828464,1.4358851898185434,1.4995006719536348,1.5337638976860437,1.5683452750780944,1.6403833880999708,0.0006103790000715214
a_subj.23,1.5075780675254977,0.040503868771533835,1.431456143986727,1.4798981475814956,1.506870642910739,1.5351265653009931,1.5897214955592078,0.00040044227690939574
a_subj.24,1.3728380928427166,0.03712528230446273,1.302653997328102,1.3472514962763897,1.3721648689143748,1.397297856707227,1.4476084287351016,0.0004010749489958284
a_subj.25,1.921837277630779,0.05649603491630225,1.8141339241331886,1.8831486848335242,1.9206762147438474,1.9590801592459743,2.0372226107485285,0.000675330051938788
a_subj.26,1.6836661734904306,0.05535712573025197,1.5697707293821062,1.6485772451862877,1.6841130365515578,1.720389647231145,1.7917456090875115,0.0007317642501201448
v,0.0036072015685027887,0.03474086335711731,-0.06486650998003507,-0.018766441488454865,0.003657802941273565,0.02599105425065048,0.0724956161432403,0.00046631307331712493
v_std,0.11473924009115444,0.037331655807484605,0.04801328931676485,0.08928981407241603,0.11202281231943834,0.13741117047718115,0.1950197825251357,0.0009927211071888973
v_subj.2,-0.07107811730841665,0.07763563793422412,-0.23129793894028458,-0.12155947954938218,-0.06789799633890004,-0.01879017135016102,0.07477836385498471,0.0010671904858736655
v_subj.3,0.14084147506538702,0.08331800107587138,-0.010566224118447043,0.08175315446954357,0.13735887483686443,0.19601993583819866,0.311821301201909,0.0014891113209040438
v_subj.7,-0.02522467292666545,0.07003531719020648,-0.16779879383580715,-0.07102458512429555,-0.022994592924332036,0.021865780490987585,0.111254977599478,0.0007710360116514332
v_subj.8,-0.03302665533130454,0.08106708177535041,-0.19817457935789828,-0.08646402118404617,-0.030466802613272864,0.021901574923905376,0.12133382197422349,0.0009050186906270742
v_subj.9,-0.05534759691238807,0.06976438311284991,-0.19543777671251147,-0.1014026015439744,-0.05270407686608064,-0.008010688501236318,0.07908236534198765,0.0008441775594122218
v_subj.10,-0.01745082502184392,0.07867568102748508,-0.17756529267189472,-0.06841744981240903,-0.016289948876859417,0.03447121853257415,0.13656715545017745,0.0009992984477868398
v_subj.11,0.06047409465995012,0.08484063687625912,-0.09987428264380638,0.003047338494842719,0.05747966518077208,0.115652833497256,0.23528268924731077,0.0010777420512550955
v_subj.12,-0.017227739243769156,0.0708974866740059,-0.16035183442085701,-0.06368629395640767,-0.01717781794005957,0.030027244156874078,0.12060466437352832,0.0007294783393156046
v_subj.13,0.03166029451215246,0.10185928105528845,-0.16550494892159678,-0.03435503669975379,0.028529275988976255,0.09463977038911559,0.2405275277171115,0.001089767720785555
v_subj.15,0.08794358669910762,0.08372195317415478,-0.0667175701675301,0.03061410394093861,0.08357915395720616,0.1421598447869606,0.26148752660292185,0.001146151101350505
v_subj.16,-0.13517663710644331,0.10392229651790774,-0.3602848049501922,-0.2018987115414873,-0.12844138085811546,-0.060578306439649454,0.04636265008739038,0.0018115952153829214
v_subj.17,-0.1504088799579773,0.09121959575393059,-0.33811684684141996,-0.21114802748103348,-0.14643318030543506,-0.08474613249041929,0.014352562726813622,0.0016332356474186142
v_subj.18,-0.09216472033662072,0.07827565486192208,-0.2543710666959418,-0.14339161085795885,-0.08952190442661134,-0.037206729935553184,0.04974071643201511,0.0012279833602038483
v_subj.19,0.04553941487288613,0.07542039174566789,-0.09798552050860909,-0.004717354760732706,0.04454905473246031,0.09412123180701923,0.19694332859135577,0.0009445080811356872
v_subj.20,-0.021842343180098183,0.0685768557531866,-0.1591438712062715,-0.06711714770898869,-0.02129171432159932,0.0241901617196128,0.11225366025225414,0.0008353339968751716
v_subj.21,0.04365056963482559,0.06432836993130457,-0.08166843867602291,0.0013592268684620434,0.04250445754226506,0.08513928949184912,0.17529901304855183,0.0007498922425984652
v_subj.22,0.07044791823587986,0.07320645012831271,-0.06725216981445642,0.0212177928605286,0.06735153727329685,0.11729103563989518,0.22043503546010154,0.0008902747820274898
v_subj.23,-0.03851097039700678,0.07273008181621243,-0.18754512342888366,-0.08653620783938075,-0.035887911837095776,0.010963950670826918,0.09859851862048577,0.0007520841783278785
v_subj.24,0.10081622040190426,0.08047872764409489,-0.046367868386936184,0.04465841384076319,0.09739530507957736,0.15451571974376221,0.2655600390078024,0.0010824770193107807
v_subj.25,0.03657123278461527,0.06265094334070433,-0.08365992678245544,-0.004909750205164876,0.035545440137613626,0.07797072289156143,0.16212676542178217,0.00076548950247479
v_subj.26,0.11177654497015294,0.07298777866935874,-0.024929116730728618,0.060723861519099934,0.11036931154875579,0.15974166868422035,0.2598902690325875,0.0010624224522742401
t,0.44077185472018693,0.018519751582365414,0.4051083916077222,0.4285647174195675,0.4402427967453229,0.4527596889465111,0.47881517887692415,0.00015607795959852663
t_std,0.08393246312660484,0.014948311056965317,0.060660269166499074,0.07319038841559977,0.0819226752032912,0.09235895062928848,0.1191685119784271,0.00014935604849823157
t_subj.2,0.4076615158604684,0.01589438374118963,0.3786706880151574,0.39464372854561186,0.4086861958390939,0.4199879279487879,0.4357699811087177,0.00019284580321117541
t_subj.3,0.3210902781137938,0.008818246341555175,0.3047831893612378,0.31549796743000025,0.32057082586963287,0.3259180952967785,0.34095878208405384,0.00011630361334317959
t_subj.7,0.4865873166046259,0.016848935527032947,0.45406504975447115,0.4749978976218344,0.48525344652905705,0.4994995179648762,0.5175776079066162,0.0002237617406724091
t_subj.8,0.32067662434193833,0.00854850087372469,0.30521405623761205,0.31456039676039804,0.3202156490952182,0.32664301548221797,0.3379178653277986,0.00010667585742831366
t_subj.9,0.4629261841171832,0.011305109784473986,0.44020202574661227,0.45565023746961514,0.46292276421629774,0.4701404941518204,0.4858765033780239,0.0001354206957409843
t_subj.10,0.5984761070976703,0.009691899423621284,0.581659190554684,0.5924776895581174,0.5975916199139416,0.603259154392177,0.6225593712107874,0.00011988124255189522
t_subj.11,0.4054298918101305,0.00694757855069129,0.38751903785751385,0.40226226203561954,0.4060278616405387,0.4095230288590898,0.41705206283696,8.242234668112239e-05
t_subj.12,0.4737402604343155,0.00938488526451201,0.4539568800555857,0.46777354389500875,0.47432919147400787,0.48031838983276187,0.4905742267529751,0.00011130921037468967
t_subj.13,0.3756938719998746,0.003059638073666644,0.36921416044778943,0.37376423456102714,0.3758161954084218,0.37773631083095904,0.38133108768879737,3.455137280913083e-05
t_subj.15,0.46896331154407006,0.00748831039888338,0.4533184843024336,0.4642954564087052,0.46927454861498025,0.4739688986584546,0.48325409517865037,7.665914712086238e-05
t_subj.16,0.3945372508922604,0.007571606930495674,0.373556764510817,0.39302087208977204,0.39657602711983325,0.3991985030531194,0.4036170920356094,0.0001547502682627682
t_subj.17,0.4105378012134255,0.009070961594619014,0.39246188099057727,0.4043741279278707,0.41097849914416773,0.4166764186852908,0.4284356402244008,0.00010625448542245718
t_subj.18,0.4042773817462493,0.010668953750546892,0.3812918872417373,0.39767486005656577,0.4050415890711363,0.41173286319439273,0.4229995736002393,0.00014400567410729204
t_subj.19,0.4828012604590193,0.027989527929768446,0.4323014587669353,0.459770918292243,0.4835166187602507,0.5062403601915063,0.5300434006837557,0.0005229301660695244
t_subj.20,0.48225296793110867,0.01751429409516235,0.45582440882639347,0.4702171235450662,0.47799011751861425,0.49057288760962603,0.520038319408946,0.00028850236189471975
t_subj.21,0.5208583505670236,0.01574344805804016,0.4903709277173847,0.5098814006490449,0.5205591752937357,0.5323299530608449,0.5502112444788543,0.00017816259547566706
t_subj.22,0.42347984486556284,0.010374717824211411,0.401676049306671,0.4169980574329917,0.42412332017658083,0.43051766827565446,0.44224883153997846,0.00012345015580744322
t_subj.23,0.3690614946158348,0.00860817240603271,0.3511279571814206,0.36363903451182,0.3693715103890081,0.3749115059444157,0.38509994077190435,9.596726927452164e-05
