parameter,n,pearson_r,r2,p_value
v_ES_AttentionW,16,0.37621934958781833,0.14154099900428105,0.15094280991073294
v_ES_InattentionW_E,16,-0.3659461203834376,0.1339165630236894,0.1633285308785291
t,16,0.3199856181216193,0.10239079580467478,0.22696854732471994
theta_InatWS,16,-0.27263085889921773,0.07432758522412516,0.3069783645653278
theta_InatWE,16,-0.2648222967339523,0.07013084884744548,0.3215836566862339
v_ES_InattentionW_S,16,0.26261075564799075,0.0689644089820087,0.3257920701884991
a(medium),16,0.25161548341897605,0.06331035149616501,0.3471832843035768
a(low),16,0.021974424582898736,0.0004828753357495043,0.9356196151858294
z,16,0.008381025811296655,7.024159364962076e-05,0.9754251121367246
a(high),16,-0.0027211954786891396,7.404904833238215e-06,0.9920198935529438
