parameter,n,pearson_r,r2,p_value
v_ES_AttentionW,16,-0.368837088055737,0.1360407975254355,0.1597765800156179
theta_InatWS,16,0.31373670594000114,0.09843072065408275,0.23668157634763148
a(low),16,-0.29340850866386176,0.08608855295635144,0.27005664386141476
v_ES_InattentionW_E,16,0.25693901649026296,0.06601765819498362,0.33672937022611404
v_ES_InattentionW_S,16,-0.25030540523423467,0.06265279588947444,0.3497836979775192
a(high),16,-0.10534198383704309,0.011096933558723846,0.6978156607238871
t,16,-0.0737120182735006,0.005433461637952886,0.7861609148512942
a(medium),16,-0.06669210079468901,0.004447836308408959,0.8061458772266341
z,16,-0.02482393786286459,0.0006162278910193621,0.9272905319572335
theta_InatWE,16,-0.014951195566145173,0.0002235382488571191,0.95617346291318
