parameter,n,pearson_r,r2,p_value
v_ES_AttentionW,16,-0.5977457007203035,0.3572999227296067,0.014467220771065084
v_ES_InattentionW_E,16,0.5820510109953062,0.33878337940065806,0.018006614975618673
theta_InatWS,16,0.5166162832201449,0.26689238408819693,0.040469024676718486
v_ES_InattentionW_S,16,-0.3995802622234614,0.15966438595857016,0.12518336570898275
a(high),16,-0.32772716576918814,0.10740509518310493,0.21529065131085717
theta_InatWE,16,0.30674850962887346,0.09409464815953507,0.24784788749334857
t,16,-0.2659045585723712,0.0707052342695676,0.3195357291170058
a(medium),16,-0.2519267108572395,0.06346706764334716,0.34656712977337
a(low),16,-0.24158404352601745,0.058362850086380695,0.36737286053071067
z,16,0.20907302725004356,0.04371153072349746,0.43709875623258987
