rep,subj,parameter,true
0,2,a(high),1.829793683646007
0,2,a(low),2.1875232100511472
0,2,a(medium),2.081779672806439
0,2,t,0.4560606380651195
0,2,z,0.27641192593727937
0,2,v_ES_AttentionW,0.04789521124053871
0,2,v_ES_InattentionW_E,-0.023977706475183394
0,2,v_ES_InattentionW_S,0.01946641361082322
0,3,a(high),1.829793683646007
0,3,a(low),2.1875232100511472
0,3,a(medium),2.081779672806439
0,3,t,0.36362218639318966
0,3,z,0.49706584678549565
0,3,v_ES_AttentionW,0.034663167462680174
0,3,v_ES_InattentionW_E,-0.03864033079834769
0,3,v_ES_InattentionW_S,0.034572531517577276
0,7,a(high),1.829793683646007
0,7,a(low),2.1875232100511472
0,7,a(medium),2.081779672806439
0,7,t,0.4891197736633264
0,7,z,0.6198705599932781
0,7,v_ES_AttentionW,0.0394051627412866
0,7,v_ES_InattentionW_E,-0.021118645664756616
0,7,v_ES_InattentionW_S,0.05274064824421614
0,8,a(high),1.829793683646007
0,8,a(low),2.1875232100511472
0,8,a(medium),2.081779672806439
0,8,t,0.38909973918156227
0,8,z,0.5425845182072285
0,8,v_ES_AttentionW,0.02669139447576714
0,8,v_ES_InattentionW_E,-0.02492902546227352
0,8,v_ES_InattentionW_S,0.04562179564347805
0,9,a(high),1.829793683646007
0,9,a(low),2.1875232100511472
0,9,a(medium),2.081779672806439
0,9,t,0.4278970548663317
0,9,z,0.34425328072084266
0,9,v_ES_AttentionW,0.05375135993748843
0,9,v_ES_InattentionW_E,-0.04074972150968687
0,9,v_ES_InattentionW_S,0.040415757955386815
0,10,a(high),1.829793683646007
0,10,a(low),2.1875232100511472
0,10,a(medium),2.081779672806439
0,10,t,0.4182746002173433
0,10,z,0.5734879649849565
0,10,v_ES_AttentionW,0.04311930340773082
0,10,v_ES_InattentionW_E,-0.03206176719778467
0,10,v_ES_InattentionW_S,0.05223589160536999
0,11,a(high),1.829793683646007
0,11,a(low),2.1875232100511472
0,11,a(medium),2.081779672806439
0,11,t,0.5617320388354639
0,11,z,0.39612126811903403
0,11,v_ES_AttentionW,0.0322318395422763
0,11,v_ES_InattentionW_E,-0.05084642154869639
0,11,v_ES_InattentionW_S,0.054783293407698316
0,12,a(high),1.829793683646007
0,12,a(low),2.1875232100511472
0,12,a(medium),2.081779672806439
0,12,t,0.5034768042974201
0,12,z,0.45138138043449594
0,12,v_ES_AttentionW,0.028164159467959658
0,12,v_ES_InattentionW_E,-0.051010428364410894
0,12,v_ES_InattentionW_S,0.055259502640993684
0,13,a(high),1.829793683646007
0,13,a(low),2.1875232100511472
