,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.7494909936688285,0.09369565719240479,1.5794311408148194,1.6850856263112437,1.7457854009971472,1.808220312664055,1.9459405206500473,0.0012133744236359355
a_std,0.38294629004184005,0.08052794028762895,0.2556470242856872,0.3263430049873152,0.3722826672861693,0.4287933886070133,0.5705292044271215,0.0013251181449514318
a_subj.2,1.6173877613892487,0.12205203793805605,1.3892689674318763,1.5320032290991703,1.6142076619483239,1.697735299081278,1.8688061066795985,0.0021074048399402257
a_subj.3,1.626527252062194,0.09642076325082966,1.4483256834512286,1.559100778529005,1.6217079562314656,1.690380783725032,1.8258838096957994,0.0012675250267417495
a_subj.7,1.2640431407226658,0.08509410936344176,1.1078811167884508,1.2050851774368636,1.2605600699697173,1.3188843495357212,1.439589788351475,0.001352023562351846
a_subj.8,1.6634188338012437,0.18126336122115444,1.3471063716646572,1.5388970369820107,1.6506796001378226,1.7732053842231168,2.054455014118183,0.005011959810156111
a_subj.9,1.9636982210155047,0.1599424941569268,1.6727431411137959,1.8542148207698008,1.95559270077257,2.064494347145303,2.3040957718526487,0.0029628203081766722
a_subj.10,2.390747962557225,0.2867710135961356,1.9029140543483851,2.1837402625747355,2.3624225846658504,2.5749299876180984,3.013367211660624,0.009240825034163182
a_subj.11,1.7096789247181008,0.14668947508567956,1.433526771946081,1.610380124424755,1.7051480388090343,1.8041793493501188,2.0121758230983238,0.0030594328766363945
a_subj.12,1.4924456140236566,0.08428066983144612,1.3382954045934787,1.4336488373838858,1.48891034577169,1.547275463603683,1.6655134146111306,0.0010469851322958898
a_subj.13,1.4112526361443964,0.14470993143817856,1.1537336250275934,1.3099113135752056,1.3996575106100284,1.50377306365712,1.7199625521807151,0.003326619815647846
a_subj.15,2.039845377333893,0.1491712154659199,1.7694900768227901,1.9366808051032312,2.0325154725648966,2.1337455798786196,2.3527593907204576,0.002717505850198187
a_subj.16,1.8308077263136529,0.14616025240537578,1.5673252063659,1.7299577284283074,1.8212977265144483,1.92385721017774,2.143705178136319,0.0027086668510594887
a_subj.17,1.3195461950346083,0.10792728174707772,1.1248358787164057,1.24390095678545,1.3138807397663825,1.3878003179798055,1.5497829237428937,0.0016146307364983971
a_subj.18,1.2496954448390558,0.10910052766983984,1.0470688634160106,1.1733095640713995,1.2463863462610463,1.321296987467142,1.4731441554824827,0.0015332432002952306
a_subj.19,1.9494839026710182,0.1373997034338565,1.6941433909643338,1.855377188925167,1.9453342520524397,2.038520913097024,2.23329458974364,0.0016972332924317652
a_subj.20,1.9805798431858441,0.15148908223927368,1.7062279994825673,1.8746527682108107,1.9736148638048803,2.0779992609025952,2.293637445333117,0.002663755288214212
a_subj.21,1.6990256596299518,0.11861500657172866,1.4808593552412974,1.6167752023509672,1.695017266257616,1.7756305200901445,1.9448665972302703,0.0017127408296757998
a_subj.22,1.935264842574738,0.16335774110453813,1.645214144615504,1.8201789900857575,1.9251779612694921,2.040209517528939,2.2855562183791167,0.0028078394445635625
a_subj.23,1.8803772896064324,0.1558844510717987,1.6000810003909525,1.771667232339951,1.87168725573838,1.9800588095950225,2.2125624584791104,0.0033410010393225705
