,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
t,0.436,0.013,0.411,0.461,0.0,0.0,4071.123,3859.77,1.001
v_Intercept,1.538,0.08,1.389,1.693,0.002,0.001,2536.581,4108.653,1.001
v_z_AttentionW,1.214,0.086,1.053,1.375,0.003,0.002,1068.584,1799.898,1.004
v_z_IAW_chart:C(OVcate)[low],1.365,0.296,1.027,1.806,0.054,0.039,130.6,23.511,1.024
v_z_IAW_chart:C(OVcate)[medium],1.24,0.156,0.951,1.539,0.003,0.002,2919.86,4047.685,1.0
v_z_IAW_chart:C(OVcate)[high],1.229,0.136,0.963,1.476,0.003,0.002,2142.982,3384.987,1.001
v_z_IAW_image:C(OVcate)[low],0.967,0.191,0.622,1.316,0.006,0.004,1719.644,1127.587,1.002
v_z_IAW_image:C(OVcate)[medium],0.89,0.097,0.702,1.07,0.003,0.002,1366.762,2634.917,1.003
v_z_IAW_image:C(OVcate)[high],0.961,0.135,0.699,1.208,0.003,0.002,1903.346,3298.123,1.002
a(low),2.062,0.12,1.833,2.278,0.002,0.001,4132.113,3869.432,1.001
a(medium),1.974,0.122,1.737,2.196,0.002,0.001,3983.151,3833.206,1.001
a(high),1.927,0.121,1.705,2.154,0.002,0.001,3793.481,3835.52,1.001
