,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
t,0.426,0.013,0.403,0.451,0.0,0.0,800.15,599.564,
v_Intercept,1.664,0.08,1.508,1.808,0.005,0.003,284.188,616.487,
v_z_AttentionW,1.245,0.074,1.117,1.393,0.01,0.007,47.922,207.235,
v_z_IAW_chart:C(OVcate)[low],1.399,0.139,1.125,1.619,0.013,0.009,112.712,271.308,
v_z_IAW_chart:C(OVcate)[medium],1.363,0.168,1.024,1.659,0.008,0.006,426.868,648.76,
v_z_IAW_chart:C(OVcate)[high],1.221,0.113,1.04,1.452,0.014,0.01,68.384,264.608,
v_z_IAW_image:C(OVcate)[low],1.214,0.213,0.756,1.581,0.011,0.008,393.261,482.583,
v_z_IAW_image:C(OVcate)[medium],0.866,0.103,0.716,1.058,0.034,0.025,9.725,62.676,
v_z_IAW_image:C(OVcate)[high],1.071,0.132,0.802,1.315,0.011,0.008,146.57,320.768,
a(low),2.093,0.031,2.034,2.139,0.024,0.022,1.777,21.7,
a(medium),2.055,0.027,2.001,2.098,0.009,0.007,9.897,11.101,
a(high),1.912,0.02,1.872,1.948,0.004,0.003,20.486,54.128,
