rep,parameter,true,recovered
0,t,0.4236109957331982,0.4266558281056796
0,a(low),2.008382720548393,1.981108549075274
0,a(medium),2.1064310503050976,2.0812241214725264
0,a(high),1.9751907303989156,1.950016979995974
0,v_Intercept,1.5743328082982022,1.6084200826682244
0,v_z_AttentionW,1.244198201321693,1.1855634585110453
0,v_z_IAW_chart:C(OVcate)[low],1.1434688965521684,1.0290238630416733
0,v_z_IAW_chart:C(OVcate)[medium],1.1955457770695266,1.1397830988508084
0,v_z_IAW_chart:C(OVcate)[high],1.3759269698163457,1.2461757133179512
0,v_z_IAW_image:C(OVcate)[low],1.1551030663836828,0.9060458084436277
0,v_z_IAW_image:C(OVcate)[medium],0.9005424214186915,0.9391144651018148
0,v_z_IAW_image:C(OVcate)[high],0.88203813260256,0.7251828630318136
1,t,0.4465676599827845,0.45404658116691476
1,a(low),1.9964882438568727,1.9568739716941563
1,a(medium),1.9492038957347806,1.8931935758980984
1,a(high),1.933772723857649,1.9014429122079037
1,v_Intercept,1.491286309658828,1.4999579978455284
1,v_z_AttentionW,1.2512919241947908,1.148430607404496
1,v_z_IAW_chart:C(OVcate)[low],1.329829329145072,1.429700837626724
1,v_z_IAW_chart:C(OVcate)[medium],1.4323273219800536,1.4069884851328844
1,v_z_IAW_chart:C(OVcate)[high],1.4256709078011172,1.3180992262177182
1,v_z_IAW_image:C(OVcate)[low],0.8647369890702754,0.6480695394303215
1,v_z_IAW_image:C(OVcate)[medium],0.8491786304895914,0.8059087271886306
1,v_z_IAW_image:C(OVcate)[high],1.0199381150260058,0.9645977317173481
2,t,0.412172098483751,0.41690906095469077
2,a(low),2.0696734274612347,2.0183427097283544
2,a(medium),2.007600028039943,1.974972575641072
2,a(high),1.773530537122217,1.7270529898822677
2,v_Intercept,1.526226384883822,1.5689355446740427
2,v_z_AttentionW,1.2209845079240156,1.2148796278961063
2,v_z_IAW_chart:C(OVcate)[low],1.428681707588831,1.4495965389182148
2,v_z_IAW_chart:C(OVcate)[medium],1.3374989865993183,1.2956490148731927
2,v_z_IAW_chart:C(OVcate)[high],1.1978071911046502,1.1778799085829486
2,v_z_IAW_image:C(OVcate)[low],0.8445662702139306,0.8331632073713687
2,v_z_IAW_image:C(OVcate)[medium],1.0221910859188277,1.0513047094832337
2,v_z_IAW_image:C(OVcate)[high],1.0808486515356943,1.1759735240133715
3,t,0.44958058020707387,0.4548398253017592
3,a(low),2.116089463098766,2.11612348242938
3,a(medium),1.9120959493915484,1.825443547295074
3,a(high),1.750724781763786,1.731424749514967
3,v_Intercept,1.6047948550084812,1.568826330770554
3,v_z_AttentionW,1.2826626993636532,0.951901953077372
3,v_z_IAW_chart:C(OVcate)[low],1.423069023343071,1.2215062872124838
3,v_z_IAW_chart:C(OVcate)[medium],1.2136566518772178,0.9016899539548769
3,v_z_IAW_chart:C(OVcate)[high],1.3698339046213146,1.0106162445271762
3,v_z_IAW_image:C(OVcate)[low],0.8947884033611218,0.7669457863289775
3,v_z_IAW_image:C(OVcate)[medium],0.9220238612963175,0.853555559855045
3,v_z_IAW_image:C(OVcate)[high],1.1636785047619334,0.42351819221207676
